action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,age,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,,,,,,,6913866606384,jesus_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,240,240,0,2025-11-30,2025-11-30,1,2,,,,,2,0.48,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,6913866606384,jesus_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,65+,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,1620,1620,0,2025-11-30,2025-11-30,1,1,,,,,1,1.62,,1,,,,
,,,,,,,,,,,,,,5,,5,,,,5,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,18-24,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.09,0.09,,,0.09,,15.517241,15.517241,0,2025-11-30,2025-11-30,1,29,,,,,29,0.45,,2,,5,1,
,47,,,8,1,1,47,,,,,,,136,,136,,,,128,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,7,"[{'action_type': 'start_trial_mobile_app', 'value': '10.82'}, {'action_type': 'start_trial_total', 'value': '10.82'}]",1.3525,"[{'action_type': 'outbound_click', 'value': '1.3525'}]",1.3525,10.82,0.230213,,0.079559,0.079559,,,0.084531,1.545714,23.572985,24.873563,1.525054,2025-11-30,2025-11-30,1.055172,459,1.742919,8,"[{'action_type': 'outbound_click', 'value': '8'}]","[{'action_type': 'outbound_click', 'value': '1.742919'}]",435,10.82,21,3,21,124,76,42
,157,,,29,9,9,157,,,,,,,655,,655,2,2,,624,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,30,"[{'action_type': 'subscribe_mobile_app', 'value': '26.09'}, {'action_type': 'subscribe_total', 'value': '26.09'}, {'action_type': 'start_trial_mobile_app', 'value': '17.393333'}, {'action_type': 'start_trial_total', 'value': '17.393333'}]",1.79931,"[{'action_type': 'outbound_click', 'value': '1.79931'}]",1.79931,5.797778,0.332357,,0.079664,0.079664,26.09,,0.083622,1.739333,28.828729,30.443407,1.657459,2025-11-30,2025-11-30,1.056009,1810,1.60221,29,"[{'action_type': 'outbound_click', 'value': '29'}]","[{'action_type': 'outbound_click', 'value': '1.60221'}]",1714,52.18,119,3,115,593,331,206
,184,,,35,14,14,184,,,,,,,863,,863,9,9,,819,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,32,"[{'action_type': 'subscribe_mobile_app', 'value': '61.99'}, {'action_type': 'subscribe_total', 'value': '61.99'}, {'action_type': 'start_trial_mobile_app', 'value': '30.995'}, {'action_type': 'start_trial_total', 'value': '30.995'}]",1.771143,"[{'action_type': 'outbound_click', 'value': '1.771143'}]",1.771143,4.427857,0.336902,,0.071831,0.071831,6.887778,,0.07569,1.937188,31.643696,33.653637,1.633486,2025-11-30,2025-11-30,1.063518,1959,1.786626,35,"[{'action_type': 'outbound_click', 'value': '35'}]","[{'action_type': 'outbound_click', 'value': '1.786626'}]",1842,61.99,164,4,161,788,433,287
,70,,,10,5,5,70,,,,,,,205,,205,3,3,,192,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,11,"[{'action_type': 'subscribe_mobile_app', 'value': '16.43'}, {'action_type': 'subscribe_total', 'value': '16.43'}, {'action_type': 'start_trial_mobile_app', 'value': '8.215'}, {'action_type': 'start_trial_total', 'value': '8.215'}]",1.643,"[{'action_type': 'outbound_click', 'value': '1.643'}]",1.643,3.286,0.234714,,0.080146,0.080146,5.476667,,0.085573,1.493636,37.770115,38.933649,2.528736,2025-11-30,2025-11-30,1.030806,435,2.298851,10,"[{'action_type': 'outbound_click', 'value': '10'}]","[{'action_type': 'outbound_click', 'value': '2.298851'}]",422,16.43,32,4,30,182,94,61
,1,,,1,,,1,,,,,,,50,,50,1,1,,48,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,65+,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,3.53,"[{'action_type': 'outbound_click', 'value': '3.53'}]",3.53,,3.53,,0.0706,0.0706,3.53,,0.073542,3.53,35.3,36.770833,1,2025-11-30,2025-11-30,1.041667,100,1,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1'}]",96,3.53,15,6,13,46,31,21
,,,,2,,,,,,,,,,43,1,43,2,1,,39,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,18-24,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,2,,1.235,"[{'action_type': 'outbound_click', 'value': '1.235'}]",1.235,,,,0.057442,0.057442,1.235,,0.063333,1.235,16.038961,16.577181,1.298701,2025-11-30,2025-11-30,1.033557,154,1.298701,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '1.298701'}]",149,2.47,7,3,7,36,16,11
,2,,,2,1,1,2,,,,,,,281,,281,,,,279,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,2,,8.595,"[{'action_type': 'outbound_click', 'value': '8.595'}]",8.595,17.19,8.595,,0.061174,0.061174,,,0.061613,8.595,15.293594,15.828729,0.177936,2025-11-30,2025-11-30,1.034991,1124,0.177936,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '0.177936'}]",1086,17.19,14,3,14,262,93,47
