action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
2,376,,,58,30,30,376,2,2,,13,1,1,,2,1812,1,1812,15,13,2,1739,2,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,61,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '17.244'}, {'action_type': 'subscribe_total', 'value': '17.244'}, {'action_type': 'start_trial_mobile_app', 'value': '21.555'}, {'action_type': 'start_trial_total', 'value': '21.555'}]",1.486552,"[{'action_type': 'outbound_click', 'value': '1.486552'}]",1.486552,2.874,0.229309,43.11,0.047583,0.047583,5.748,43.11,0.04958,1.413443,22.400624,23.047314,1.584827,2025-12-12,2025-12-12,ABOVE_AVERAGE,1.028869,3849,1.506885,58,"[{'action_type': 'outbound_click', 'value': '58'}]","[{'action_type': 'outbound_click', 'value': '1.506885'}]",AVERAGE,3741,86.22,194,5,174,1577,872,536
,,,,,,,,,,,,,,,,,,,,,,,,6920992822984,02 Mike_sicko - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,20,20,0,2025-12-12,2025-12-12,UNKNOWN,1,1,,,,,UNKNOWN,1,0.02,,2,,,,
,14,,,6,1,1,14,,,,4,,,,,239,,239,4,4,,229,,6920992823584,02 Eddie_Snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,10,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '10.84'}, {'action_type': 'subscribe_total', 'value': '10.84'}, {'action_type': 'start_trial_mobile_app', 'value': '5.42'}, {'action_type': 'start_trial_total', 'value': '5.42'}]",1.806667,"[{'action_type': 'outbound_click', 'value': '1.806667'}]",1.806667,10.84,0.774286,,0.045356,0.045356,2.71,,0.047336,1.084,19.889908,19.889908,1.834862,2025-12-12,2025-12-12,ABOVE_AVERAGE,1,545,1.100917,6,"[{'action_type': 'outbound_click', 'value': '6'}]","[{'action_type': 'outbound_click', 'value': '1.100917'}]",AVERAGE,545,10.84,14,4,14,201,90,53
,,,,,,,,,,,,,,,,,,,,,,,,6920992824184,01 Jesus_travis - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,10,10,0,2025-12-12,2025-12-12,UNKNOWN,1,1,,,,,UNKNOWN,1,0.01,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920992824784,01 Bob_snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,10,10,0,2025-12-12,2025-12-12,UNKNOWN,1,1,,,,,UNKNOWN,1,0.01,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6920994402584,07_nose ring_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-12,2025-12-12,UNKNOWN,1,1,,,,,UNKNOWN,1,0.01,,5,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6920994402984,06_green hair_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,40,40,0,2025-12-12,2025-12-12,UNKNOWN,1,1,,,,,UNKNOWN,1,0.04,,13,,,1,1
,,,,,,,,,,,,,,,,,,,,,,,,6920994403384,10_Red pants_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,20,20,0,2025-12-12,2025-12-12,UNKNOWN,1,2,,,,,UNKNOWN,2,0.04,,1,,,,
,582,2,,76,35,35,582,,,,28,,,3,,1818,1,1818,32,31,,1710,,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,75,AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '12.23375'}, {'action_type': 'subscribe_total', 'value': '12.23375'}, {'action_type': 'start_trial_mobile_app', 'value': '10.874444'}, {'action_type': 'start_trial_total', 'value': '10.874444'}]",1.287763,"[{'action_type': 'outbound_click', 'value': '1.287763'}]",1.287763,2.796286,0.168162,,0.053834,0.053834,3.058438,,0.057234,1.304933,29.206207,29.206207,2.238138,2025-12-12,2025-12-12,ABOVE_AVERAGE,1,3351,2.26798,76,"[{'action_type': 'outbound_click', 'value': '76'}]","[{'action_type': 'outbound_click', 'value': '2.26798'}]",AVERAGE,3351,97.87,302,6,278,1600,1008,749
,,,,,,,,,,,,,,,,,,,,,,,,6920994404384,05_greendress_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,10,10,0,2025-12-12,2025-12-12,UNKNOWN,1,2,,,,,UNKNOWN,2,0.02,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920994404584,02_blackNew_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,15,15,0,2025-12-12,2025-12-12,UNKNOWN,1,2,,,,,UNKNOWN,2,0.03,,2,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6920995425184,06_WillS_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.05,0.05,,,0.05,,50,50,0,2025-12-12,2025-12-12,UNKNOWN,1,1,,,,,UNKNOWN,1,0.05,,5,,1,,
,415,1,,58,27,27,415,,,,30,2,2,,,1961,4,1961,36,30,,1867,,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,67,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '16.325'}, {'action_type': 'subscribe_total', 'value': '16.325'}, {'action_type': 'start_trial_mobile_app', 'value': '16.325'}, {'action_type': 'start_trial_total', 'value': '16.325'}]",1.688793,"[{'action_type': 'outbound_click', 'value': '1.688793'}]",1.688793,3.627778,0.236024,,0.049949,0.049949,2.720833,,0.052464,1.46194,24.24505,25.238341,1.658416,2025-12-12,2025-12-12,ABOVE_AVERAGE,1.040969,4040,1.435644,58,"[{'action_type': 'outbound_click', 'value': '58'}]","[{'action_type': 'outbound_click', 'value': '1.435644'}]",BELOW_AVERAGE_35,3881,97.95,147,4,141,1632,794,438
