action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_conversion.post_unsave,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,152,,,23,20,20,152,,,12,,,1,,,555,,555,13,13,,519,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,29,"[{'action_type': 'subscribe_mobile_app', 'value': '9.428333'}, {'action_type': 'subscribe_total', 'value': '9.428333'}, {'action_type': 'start_trial_mobile_app', 'value': '11.314'}, {'action_type': 'start_trial_total', 'value': '11.314'}]",2.459565,"[{'action_type': 'outbound_click', 'value': '2.459565'}]",2.459565,2.8285,0.372171,,0.101928,0.101928,4.351538,,0.108998,1.95069,33.394333,34.620563,1.711924,2025-12-14,2025-12-14,1.03672,1694,1.357733,23,"[{'action_type': 'outbound_click', 'value': '23'}]","[{'action_type': 'outbound_click', 'value': '1.357733'}]",instagram,1634,56.57,60,4,60,465,228,155
,,,,2,,,,,,,,,,,,36,,36,,,,34,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,2,,0.735,"[{'action_type': 'outbound_click', 'value': '0.735'}]",0.735,,,,0.040833,0.040833,,,0.043235,0.735,22.272727,22.272727,3.030303,2025-12-14,2025-12-14,1,66,3.030303,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '3.030303'}]",threads,66,1.47,8,8,8,34,20,13
,61,,,9,3,3,61,,,,,,,,,105,,105,,,,96,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,8,"[{'action_type': 'subscribe_mobile_app', 'value': '2.815'}, {'action_type': 'subscribe_total', 'value': '2.815'}, {'action_type': 'start_trial_mobile_app', 'value': '2.815'}, {'action_type': 'start_trial_total', 'value': '2.815'}]",0.625556,"[{'action_type': 'outbound_click', 'value': '0.625556'}]",0.625556,1.876667,0.092295,,0.053619,0.053619,,,0.058646,0.70375,19.347079,21.245283,2.749141,2025-12-14,2025-12-14,1.098113,291,3.092784,9,"[{'action_type': 'outbound_click', 'value': '9'}]","[{'action_type': 'outbound_click', 'value': '3.092784'}]",facebook,265,5.63,11,3,9,80,45,26
,114,,,12,7,7,114,,,3,1,1,,,,353,1,353,5,3,,336,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,18,"[{'action_type': 'subscribe_mobile_app', 'value': '8.42'}, {'action_type': 'subscribe_total', 'value': '8.42'}, {'action_type': 'start_trial_mobile_app', 'value': '12.63'}, {'action_type': 'start_trial_total', 'value': '12.63'}]",2.105,"[{'action_type': 'outbound_click', 'value': '2.105'}]",2.105,3.608571,0.221579,,0.071558,0.071558,5.052,,0.075179,1.403333,25.184447,25.854657,1.794616,2025-12-14,2025-12-14,1.026612,1003,1.196411,12,"[{'action_type': 'outbound_click', 'value': '12'}]","[{'action_type': 'outbound_click', 'value': '1.196411'}]",instagram,977,25.26,19,3,19,288,138,70
,,,,,,,,,,,,,,,,9,,9,,,,9,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.022222,0.022222,,,0.022222,,15.384615,15.384615,0,2025-12-14,2025-12-14,1,13,,,,,threads,13,0.2,1,6,1,9,4,3
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916171454184,15 tyson,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0,0,,,0,,0,0,0,2025-12-14,2025-12-14,1,1,,,,,facebook,1,0,,12,,1,1,1
,3,,,,,,3,,,,,,,,,,,,,,,,,6916171454184,15 tyson,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,0,,,,,,,,0,0,0,2025-12-14,2025-12-14,1,1,,,,,instagram,1,0,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916171835184,16 Curry,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.03,0.03,,,0.03,,6,6,0,2025-12-14,2025-12-14,1,5,,,,,facebook,5,0.03,,1,,,,
,2,,,1,,,2,,,,,,,,,3,,3,,,,2,,6916171835184,16 Curry,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,0.09,"[{'action_type': 'outbound_click', 'value': '0.09'}]",0.09,,0.045,,0.03,0.03,,,0.045,0.09,10,10,11.111111,2025-12-14,2025-12-14,1,9,11.111111,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '11.111111'}]",instagram,9,0.09,,3,,2,1,1
,,,,,,,,,,,,,,,,,,,,,,,,6916172137384,17 Lebrone,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,11.25,11.25,0,2025-12-14,2025-12-14,1,8,,,,,facebook,8,0.09,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916172137384,17 Lebrone,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.04,0.04,,,0.04,,13.333333,13.333333,0,2025-12-14,2025-12-14,1,3,,,,,instagram,3,0.04,1,5,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,6916172137384,17 Lebrone,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,0,0,0,2025-12-14,2025-12-14,1,1,,,,,threads,1,0,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.02,0.02,,,0.02,,10,10,0,2025-12-14,2025-12-14,1,2,,,,,instagram,2,0.02,,1,,,,
,,,,,,,,,,,,,,,,3,,3,,,,3,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.023333,0.023333,,,0.023333,,23.333333,35,0,2025-12-14,2025-12-14,1.5,3,,,,,audience_network,2,0.07,,3,,,,
,230,4,,91,29,29,230,,,15,,,1,,,2649,1,2649,17,16,,2541,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,88,"[{'action_type': 'subscribe_mobile_app', 'value': '16.39'}, {'action_type': 'subscribe_total', 'value': '16.39'}, {'action_type': 'start_trial_mobile_app', 'value': '20.4875'}, {'action_type': 'start_trial_total', 'value': '20.4875'}]",0.900549,"[{'action_type': 'outbound_click', 'value': '0.900549'}]",0.900549,2.825862,0.356304,,0.030936,0.030936,4.820588,,0.032251,0.93125,11.697117,12.269801,1.256066,2025-12-14,2025-12-14,1.048959,7006,1.298887,91,"[{'action_type': 'outbound_click', 'value': '91'}]","[{'action_type': 'outbound_click', 'value': '1.298887'}]",facebook,6679,81.95,213,4,197,2284,1161,704
,39,,,17,2,2,39,,,3,,,,,,452,,452,3,3,,432,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,19,"[{'action_type': 'subscribe_mobile_app', 'value': '19.16'}, {'action_type': 'subscribe_total', 'value': '19.16'}, {'action_type': 'start_trial_mobile_app', 'value': '19.16'}, {'action_type': 'start_trial_total', 'value': '19.16'}]",1.127059,"[{'action_type': 'outbound_click', 'value': '1.127059'}]",1.127059,9.58,0.491282,,0.042389,0.042389,6.386667,,0.044352,1.008421,13.715104,14.203113,1.360057,2025-12-14,2025-12-14,1.035582,1397,1.216893,17,"[{'action_type': 'outbound_click', 'value': '17'}]","[{'action_type': 'outbound_click', 'value': '1.216893'}]",instagram,1349,19.16,32,3,32,382,169,98
,,,,,,,,,,,,,,,,2,,2,,,,2,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.095,0.095,,,0.095,,8.26087,8.26087,0,2025-12-14,2025-12-14,1,23,,,,,messenger,23,0.19,,7,,2,2,2
,,,1,2,,,,,,2,,,,,,166,,166,3,2,,161,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,2,,1.7,"[{'action_type': 'outbound_click', 'value': '1.7'}]",1.7,,,,0.020482,0.020482,1.133333,,0.021118,1.7,10.932476,10.932476,0.643087,2025-12-14,2025-12-14,1,311,0.643087,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '0.643087'}]",threads,311,3.4,21,8,22,150,84,50
,,,,,,,,,,,,,,,,2,,2,,,,2,,6917505479784,06 fbg og - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.09,0.09,,,0.09,,25.714286,25.714286,0,2025-12-14,2025-12-14,1,7,,,,,facebook,7,0.18,1,5,1,2,1,1
,2,,,2,1,1,2,,,,,,,,,55,,55,,,,53,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,2,,1.44,"[{'action_type': 'outbound_click', 'value': '1.44'}]",1.44,2.88,1.44,,0.052364,0.052364,,,0.05434,1.44,16.941176,18.227848,1.176471,2025-12-14,2025-12-14,1.075949,170,1.176471,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '1.176471'}]",facebook,158,2.88,7,4,8,42,22,13
,,,,,,,,,,,,,,,,7,,7,,,,7,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.112857,0.112857,,,0.112857,,26.333333,26.333333,0,2025-12-14,2025-12-14,1,30,,,,,instagram,30,0.79,1,2,1,6,2,1
