action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,8,1,1,,,,,,,207,,207,2,2,,197,,6916173252384,10 Asian baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,7,ABOVE_AVERAGE,,2.6925,"[{'action_type': 'outbound_click', 'value': '2.6925'}]",2.6925,21.54,,,0.104058,0.104058,10.77,,0.10934,3.077143,25.551601,28.120104,0.830368,2025-11-29,2025-11-29,AVERAGE,1.100522,843,0.948992,8,"[{'action_type': 'outbound_click', 'value': '8'}]","[{'action_type': 'outbound_click', 'value': '0.948992'}]",AVERAGE,766,21.54,12,2,12,167,66,41
,187,,,40,19,19,187,,,,,,837,1,837,13,12,,784,,6916177448584,10 Asian baby - Copy,6916176486384,FB_iOS_itoshi_rap_baby,6913347651784,FB_iOS_itoshi_rap_install,39,ABOVE_AVERAGE,,0.69825,"[{'action_type': 'outbound_click', 'value': '0.69825'}]",0.69825,1.47,0.149358,,0.033369,0.033369,2.148462,,0.035625,0.716154,11.234916,11.56043,1.568785,2025-11-29,2025-11-29,AVERAGE,1.028974,2486,1.60901,40,"[{'action_type': 'outbound_click', 'value': '40'}]","[{'action_type': 'outbound_click', 'value': '1.60901'}]",AVERAGE,2416,27.93,77,3,68,699,340,207
,103,,,18,9,9,103,,,,,,519,1,519,7,6,,494,,6916177448784,11 black baby - Copy,6916176486384,FB_iOS_itoshi_rap_baby,6913347651784,FB_iOS_itoshi_rap_install,19,ABOVE_AVERAGE,,1.002778,"[{'action_type': 'outbound_click', 'value': '1.002778'}]",1.002778,2.005556,0.175243,,0.034778,0.034778,2.578571,,0.036538,0.95,14.003103,14.474739,1.474011,2025-11-29,2025-11-29,ABOVE_AVERAGE,1.033681,1289,1.396431,18,"[{'action_type': 'outbound_click', 'value': '18'}]","[{'action_type': 'outbound_click', 'value': '1.396431'}]",AVERAGE,1247,18.05,55,4,52,436,218,151
,,,,,,,,,,,,,1,,1,,,,1,,6916177884784,18 esha - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,0,UNKNOWN,,,,,,,,0.02,0.02,,,0.02,,20,20,0,2025-11-29,2025-11-29,UNKNOWN,1,1,,,,,UNKNOWN,1,0.02,,9,,1,1,
,,,,,,,,,,,,,1,,1,,,,1,,6916177885384,13 blonde - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,0,UNKNOWN,,,,,,,,0.02,0.02,,,0.02,,20,20,0,2025-11-29,2025-11-29,UNKNOWN,1,1,,,,,UNKNOWN,1,0.02,,4,,1,,
,,,,,,,,,,,,,,,,,,,,,6916177885784,05 blonde - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,0,UNKNOWN,,,,,,,,,,,,,,50,50,0,2025-11-29,2025-11-29,UNKNOWN,1,1,,,,,UNKNOWN,1,0.05,,2,,,,
,53,,,21,5,5,53,,,,,,337,,337,3,3,,313,,6916177885984,07 black_4 - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,20,ABOVE_AVERAGE,,0.51619,"[{'action_type': 'outbound_click', 'value': '0.51619'}]",0.51619,2.168,0.204528,,0.032166,0.032166,3.613333,,0.034633,0.542,12.193476,12.798111,2.249719,2025-11-29,2025-11-29,ABOVE_AVERAGE,1.049587,889,2.362205,21,"[{'action_type': 'outbound_click', 'value': '21'}]","[{'action_type': 'outbound_click', 'value': '2.362205'}]",AVERAGE,847,10.84,34,4,33,277,165,111
,2497,11,,545,181,181,2497,,,2,2,,10984,15,10984,174,157,,10265,,6916177886184,06 fbg og - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,525,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '12.641'}, {'action_type': 'subscribe_total', 'value': '12.641'}, {'action_type': 'start_trial_mobile_app', 'value': '8.155484'}, {'action_type': 'start_trial_total', 'value': '8.155484'}]",0.46389,"[{'action_type': 'outbound_click', 'value': '0.46389'}]",0.46389,1.396796,0.10125,,0.023017,0.023017,1.452989,,0.024629,0.481562,11.780439,12.199382,2.446298,2025-11-29,2025-11-29,ABOVE_AVERAGE,1.035563,21461,2.53949,545,"[{'action_type': 'outbound_click', 'value': '545'}]","[{'action_type': 'outbound_click', 'value': '2.53949'}]",AVERAGE,20724,252.82,1500,5,1380,9193,5178,4122
,,,,,,,,,,,,,,,,,,,,,6916177886984,03 blonde - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,0,UNKNOWN,,,,,,,,,,,,,,13.333333,13.333333,0,2025-11-29,2025-11-29,UNKNOWN,1,3,,,,,UNKNOWN,3,0.04,,1,,,,
,,,,,,,,,,,,,,,,,,,,,6916855008184,01 Bob_snoop,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,0,UNKNOWN,,,,,,,,,,,,,,0,0,0,2025-11-29,2025-11-29,UNKNOWN,1,2,,,,,UNKNOWN,2,0,,1,,,,
