action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,506,1,1,103,38,38,506,,,,12,3,3,1,,3026,2,3026,19,13,,2904,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,102,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '10.132'}, {'action_type': 'subscribe_total', 'value': '10.132'}, {'action_type': 'start_trial_mobile_app', 'value': '10.132'}, {'action_type': 'start_trial_total', 'value': '10.132'}]",0.983689,"[{'action_type': 'outbound_click', 'value': '0.983689'}]",0.983689,2.666316,0.200237,,0.033483,0.033483,5.332632,,0.03489,0.993333,12.636568,12.981422,1.272138,2025-12-15,2025-12-15,AVERAGE,1.02729,8018,1.28461,103,"[{'action_type': 'outbound_click', 'value': '103'}]","[{'action_type': 'outbound_click', 'value': '1.28461'}]",ABOVE_AVERAGE,7805,101.32,286,4,271,2614,1406,846
,,,,,,,,,,,,,,,,3,,3,,,,3,,6917461957184,01 Jesus_travis - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.02,0.02,,,0.02,,10,10,0,2025-12-15,2025-12-15,UNKNOWN,1,6,,,,,UNKNOWN,6,0.06,,4,,3,1,1
,,,,,,,,,,,,,,,,5,,5,,,,5,,6917505479784,06 fbg og - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.04,0.04,,,0.04,,22.222222,25,0,2025-12-15,2025-12-15,UNKNOWN,1.125,9,,,,,UNKNOWN,8,0.2,,3,,4,1,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917505480184,04 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-15,2025-12-15,UNKNOWN,1,1,,,,,UNKNOWN,1,0.01,,3,,,,
,1,,,4,2,2,1,,,,,,,,,101,,101,,,,97,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,4,UNKNOWN,,1.37,"[{'action_type': 'outbound_click', 'value': '1.37'}]",1.37,2.74,5.48,,0.054257,0.054257,,,0.056495,1.37,16.656535,17.178683,1.215805,2025-12-15,2025-12-15,UNKNOWN,1.031348,329,1.215805,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '1.215805'}]",UNKNOWN,319,5.48,13,3,11,94,43,27
,,,,,,,,,,,,,,,,,,,,,,,,6917505480984,13 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,,,,,,,0,0,0,2025-12-15,2025-12-15,UNKNOWN,1,1,,,,,UNKNOWN,1,0,,2,,,,
,163,1,,48,16,16,163,,,,17,1,1,,,1372,,1372,18,17,,1306,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,54,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '15.243333'}, {'action_type': 'subscribe_total', 'value': '15.243333'}, {'action_type': 'start_trial_mobile_app', 'value': '22.865'}, {'action_type': 'start_trial_total', 'value': '22.865'}]",0.952708,"[{'action_type': 'outbound_click', 'value': '0.952708'}]",0.952708,2.858125,0.280552,,0.033331,0.033331,2.540556,,0.035015,0.846852,12.260054,12.731069,1.447721,2025-12-15,2025-12-15,ABOVE_AVERAGE,1.038419,3730,1.286863,48,"[{'action_type': 'outbound_click', 'value': '48'}]","[{'action_type': 'outbound_click', 'value': '1.286863'}]",AVERAGE,3592,45.73,113,4,105,1122,553,312
,,,,,,,,,,,,,,,,,,,,,,,,6917505481384,01 Esha - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,,,,,,,0,0,0,2025-12-15,2025-12-15,UNKNOWN,1,1,,,,,UNKNOWN,1,0,,1,,,,
,,,,,,,,,,,,,,,,2,,2,,,,2,,6917505481584,02 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.045,0.045,,,0.045,,30,30,0,2025-12-15,2025-12-15,UNKNOWN,1,3,,,,,UNKNOWN,3,0.09,,5,,2,2,
,346,,,47,28,28,346,,,,8,2,2,1,,1340,3,1340,14,9,,1279,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,49,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '13.135'}, {'action_type': 'subscribe_total', 'value': '13.135'}]",1.117872,"[{'action_type': 'outbound_click', 'value': '1.117872'}]",1.117872,1.876429,0.15185,,0.039209,0.039209,3.752857,,0.041079,1.072245,14.5985,15.002856,1.361489,2025-12-15,2025-12-15,ABOVE_AVERAGE,1.027698,3599,1.305918,47,"[{'action_type': 'outbound_click', 'value': '47'}]","[{'action_type': 'outbound_click', 'value': '1.305918'}]",AVERAGE,3502,52.54,135,4,128,1156,558,345
,349,,,40,20,20,349,,,,16,,,,,1869,2,1869,18,16,,1811,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,41,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '9.76625'}, {'action_type': 'subscribe_total', 'value': '9.76625'}, {'action_type': 'start_trial_mobile_app', 'value': '26.043333'}, {'action_type': 'start_trial_total', 'value': '26.043333'}]",1.95325,"[{'action_type': 'outbound_click', 'value': '1.95325'}]",1.95325,3.9065,0.223868,,0.041803,0.041803,4.340556,,0.043142,1.90561,19.625722,20.399478,1.029892,2025-12-15,2025-12-15,ABOVE_AVERAGE,1.039426,3981,1.004773,40,"[{'action_type': 'outbound_click', 'value': '40'}]","[{'action_type': 'outbound_click', 'value': '1.004773'}]",AVERAGE,3830,78.13,199,5,187,1649,915,569
,44,,,13,5,5,44,,,,4,,,,,549,,549,4,4,,532,,6920992823584,02 Eddie_Snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,15,ABOVE_AVERAGE,,1.408462,"[{'action_type': 'outbound_click', 'value': '1.408462'}]",1.408462,3.662,0.416136,,0.033352,0.033352,4.5775,,0.034417,1.220667,15.169843,15.582979,1.242751,2025-12-15,2025-12-15,ABOVE_AVERAGE,1.027234,1207,1.077051,13,"[{'action_type': 'outbound_click', 'value': '13'}]","[{'action_type': 'outbound_click', 'value': '1.077051'}]",AVERAGE,1175,18.31,40,4,38,469,220,124
,,,,,,,,,,,,,,,,,,,,,,,,6920994402584,07_nose ring_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,5,5,0,2025-12-15,2025-12-15,UNKNOWN,1,2,,,,,UNKNOWN,2,0.01,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920994402784,09_red lipstick_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,30,45,0,2025-12-15,2025-12-15,UNKNOWN,1.5,3,,,,,UNKNOWN,2,0.09,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920994402984,06_green hair_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,70,70,0,2025-12-15,2025-12-15,UNKNOWN,1,3,,,,,UNKNOWN,3,0.21,,1,,,,
,384,3,,69,28,28,384,,,,31,,,,,1881,1,1881,32,31,,1780,,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,69,AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '19.88'}, {'action_type': 'subscribe_total', 'value': '19.88'}, {'action_type': 'start_trial_mobile_app', 'value': '99.4'}, {'action_type': 'start_trial_total', 'value': '99.4'}]",1.44058,"[{'action_type': 'outbound_click', 'value': '1.44058'}]",1.44058,3.55,0.258854,,0.052844,0.052844,3.10625,,0.055843,1.44058,27.136227,28.302961,1.883702,2025-12-15,2025-12-15,AVERAGE,1.042995,3663,1.883702,69,"[{'action_type': 'outbound_click', 'value': '69'}]","[{'action_type': 'outbound_click', 'value': '1.883702'}]",AVERAGE,3512,99.4,359,6,341,1651,1042,793
,,,,,,,,,,,,,,,,,,,,,,,,6920994404184,04_fbg_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,0,0,0,2025-12-15,2025-12-15,UNKNOWN,1,1,,,,,UNKNOWN,1,0,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920994404384,05_greendress_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,13.333333,13.333333,0,2025-12-15,2025-12-15,UNKNOWN,1,3,,,,,UNKNOWN,3,0.04,,1,,,,
1,382,,2,81,31,31,382,1,1,,26,,,1,1,2625,5,2625,34,27,1,2510,1,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,88,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '19.826'}, {'action_type': 'subscribe_total', 'value': '19.826'}]",1.223827,"[{'action_type': 'outbound_click', 'value': '1.223827'}]",1.223827,3.197742,0.259503,99.13,0.037764,0.037764,2.915588,99.13,0.039494,1.126477,18.056466,19.05247,1.602914,2025-12-15,2025-12-15,ABOVE_AVERAGE,1.05516,5490,1.47541,81,"[{'action_type': 'outbound_click', 'value': '81'}]","[{'action_type': 'outbound_click', 'value': '1.47541'}]",AVERAGE,5203,99.13,242,4,227,2213,1130,661
,,,,,,,,,,,,,,,,,,,,,,,,6920995425984,05_Snoop_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,5,5,0,2025-12-15,2025-12-15,UNKNOWN,1,2,,,,,UNKNOWN,2,0.01,,2,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6920996505584,01_black4_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.44,0.44,,,0.44,,62.857143,62.857143,0,2025-12-15,2025-12-15,UNKNOWN,1,7,,,,,UNKNOWN,7,0.44,,1,,,,
,,,,,,,,,,,,,,,,2,,2,,,,2,,6920996505984,04_fbg_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.035,0.035,,,0.035,,11.666667,11.666667,0,2025-12-15,2025-12-15,UNKNOWN,1,6,,,,,UNKNOWN,6,0.07,,4,,2,1,1
,,,,,,,,,,,,,,,,,,,,,,,,6920996506384,06_green hair_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,10,10,0,2025-12-15,2025-12-15,UNKNOWN,1,3,,,,,UNKNOWN,3,0.03,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6920996506584,11_yellow dress_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.05,0.05,,,0.05,,50,50,0,2025-12-15,2025-12-15,UNKNOWN,1,1,,,,,UNKNOWN,1,0.05,,3,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6920996506784,10_Red pants_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-15,2025-12-15,UNKNOWN,1,1,,,,,UNKNOWN,1,0.01,,12,,1,1,1
,457,,1,74,33,33,457,,,,25,,,,,2237,1,2237,27,25,,2136,,6920996506984,02_blackNew_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,74,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '8.619091'}, {'action_type': 'subscribe_total', 'value': '8.619091'}, {'action_type': 'start_trial_mobile_app', 'value': '23.7025'}, {'action_type': 'start_trial_total', 'value': '23.7025'}]",1.281216,"[{'action_type': 'outbound_click', 'value': '1.281216'}]",1.281216,2.87303,0.207462,,0.042383,0.042383,3.511481,,0.044387,1.281216,20.5617,21.416309,1.604858,2025-12-15,2025-12-15,AVERAGE,1.041563,4611,1.604858,74,"[{'action_type': 'outbound_click', 'value': '74'}]","[{'action_type': 'outbound_click', 'value': '1.604858'}]",AVERAGE,4427,94.81,270,5,254,1958,1190,835
,,,,,,,,,,,,,,,,1,,1,,,,1,,6920996507584,05_greendress_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.04,0.04,,,0.04,,13.333333,13.333333,0,2025-12-15,2025-12-15,UNKNOWN,1,3,,,,,UNKNOWN,3,0.04,,3,,1,,
,,,,,,,,,,,,,,,,2,,2,,,,2,,6920999335984,11_yellow dress_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.14,0.14,,,0.14,,28,28,0,2025-12-15,2025-12-15,UNKNOWN,1,10,,,,,UNKNOWN,10,0.28,,3,,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,6920999336184,07_nose ring_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,26.666667,26.666667,0,2025-12-15,2025-12-15,UNKNOWN,1,3,,,,,UNKNOWN,3,0.08,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920999336384,08_Red dress_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,10,10,0,2025-12-15,2025-12-15,UNKNOWN,1,1,,,,,UNKNOWN,1,0.01,,1,,,,
,,,,,,,,,,,,,,,,2,,2,,,,2,,6920999336784,05_greendress_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.105,0.105,,,0.105,,30,30,0,2025-12-15,2025-12-15,UNKNOWN,1,7,,,,,UNKNOWN,7,0.21,,1,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6920999336984,03_blackbodysuit_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,20,20,0,2025-12-15,2025-12-15,UNKNOWN,1,1,,,,,UNKNOWN,1,0.02,,2,,,,
