action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,308,1,,62,31,31,308,,,10,,,,,1307,,1307,10,10,,1235,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,59,"[{'action_type': 'subscribe_mobile_app', 'value': '47.495'}, {'action_type': 'subscribe_total', 'value': '47.495'}, {'action_type': 'start_trial_mobile_app', 'value': '18.998'}, {'action_type': 'start_trial_total', 'value': '18.998'}]",1.532097,"[{'action_type': 'outbound_click', 'value': '1.532097'}]",1.532097,3.064194,0.308409,,0.072678,0.072678,9.499,,0.076915,1.61,25.548682,27.101284,1.586875,2025-12-10,2025-12-10,1.06077,3718,1.667563,62,"[{'action_type': 'outbound_click', 'value': '62'}]","[{'action_type': 'outbound_click', 'value': '1.667563'}]",facebook,3505,94.99,192,3,182,1172,578,346
,50,,,16,5,5,50,,,6,,,,,296,1,296,7,6,,273,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,18,,1.586875,"[{'action_type': 'outbound_click', 'value': '1.586875'}]",1.586875,5.078,0.5078,,0.085777,0.085777,3.627143,,0.093004,1.410556,25.188492,26.503132,1.785714,2025-12-10,2025-12-10,1.052192,1008,1.587302,16,"[{'action_type': 'outbound_click', 'value': '16'}]","[{'action_type': 'outbound_click', 'value': '1.587302'}]",instagram,958,25.39,23,3,23,262,105,69
,,,,,,,,,,,,,,,4,,4,,,,4,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.1275,0.1275,,,0.1275,,10.2,10.2,0,2025-12-10,2025-12-10,1,50,,,,,messenger,50,0.51,3,4,3,4,3,3
,4,,,2,1,1,4,,,,,,,,166,,166,,,,164,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,2,,2.9,"[{'action_type': 'outbound_click', 'value': '2.9'}]",2.9,5.8,1.45,,0.03494,0.03494,,,0.035366,2.9,16.524217,16.860465,0.569801,2025-12-10,2025-12-10,1.020349,351,0.569801,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '0.569801'}]",threads,344,5.8,42,8,43,162,97,66
,,,,,,,,,,1,,,,,5,,5,1,1,,4,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.078,0.078,0.39,,0.0975,,24.375,24.375,0,2025-12-10,2025-12-10,1,16,,,,,facebook,16,0.39,,2,,4,3,
,,,,,,,,,,,,,,,1,,1,,,,1,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.08,0.08,,,0.08,,26.666667,26.666667,0,2025-12-10,2025-12-10,1,3,,,,,instagram,3,0.08,,4,,1,1,1
,,,,,,,,,,,,,,,5,,5,,,,5,,6916143260984,tyson_rap_2_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.022,0.022,,,0.022,,13.75,13.75,0,2025-12-10,2025-12-10,1,8,,,,,facebook,8,0.11,,5,,5,3,2
,,,,,,,,,,,,,,,,,,,,,,,6916144704984,jesus_rap_1_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,0,0,0,2025-12-10,2025-12-10,1,1,,,,,facebook,1,0,,,,,,
,,,,1,,,,,,2,,,,,155,,155,2,2,,152,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,8.107091,"[{'action_type': 'outbound_click', 'value': '8.107091'}]",8.107091,,,,0.052304,0.052304,4.053546,,0.053336,8.107091,22.272229,22.966265,0.274725,2025-12-10,2025-12-10,1.031161,364,0.274725,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.274725'}]",facebook,353,8.107091,15,4,14,136,70,41
1,404,,,51,30,30,404,1,1,27,3,3,,1,1440,3,1440,33,27,1,1356,1,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,60,"[{'action_type': 'subscribe_mobile_app', 'value': '7.140092'}, {'action_type': 'subscribe_total', 'value': '7.140092'}, {'action_type': 'start_trial_mobile_app', 'value': '8.43829'}, {'action_type': 'start_trial_total', 'value': '8.43829'}]",1.820023,"[{'action_type': 'outbound_click', 'value': '1.820023'}]",1.820023,3.09404,0.229755,92.821193,0.064459,0.064459,2.812763,92.821193,0.068452,1.54702,26.0368,26.11004,1.683029,2025-12-10,2025-12-10,1.002813,3565,1.430575,51,"[{'action_type': 'outbound_click', 'value': '51'}]","[{'action_type': 'outbound_click', 'value': '1.430575'}]",instagram,3555,92.821193,127,4,128,1239,594,363
,,,,,,,,,,,,,,,60,,60,,,,60,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.032695,0.032695,,,0.032695,,17.360318,17.360318,0,2025-12-10,2025-12-10,1,113,,,,,threads,113,1.961716,13,7,13,58,39,25
,,,,,,,,,,,,,,,1,,1,,,,1,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.03,0.03,,,0.03,,15,15,0,2025-12-10,2025-12-10,1,2,,,,,facebook,2,0.03,,4,,1,1,
,,,,,,,,,,2,,,,,25,,25,2,2,,23,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,,,,,,,0.0456,0.0456,0.57,,0.049565,1.14,19.322034,19.322034,1.694915,2025-12-10,2025-12-10,1,59,,,,,instagram,59,1.14,2,3,2,20,12,4
,,,,,,,,,,,,,,,1,,1,,,,1,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.03,0.03,,,0.03,,15,15,0,2025-12-10,2025-12-10,1,2,,,,,threads,2,0.03,,10,,1,1,
,,,,,,,,,,,,,,,4,,4,,,,4,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.19,0.19,,,0.19,,190,760,0,2025-12-10,2025-12-10,4,4,,,,,audience_network,1,0.76,2,11,2,4,4,3
,22,3,,20,4,4,22,,,6,,,,,547,,547,6,6,,521,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,20,,2.4565,"[{'action_type': 'outbound_click', 'value': '2.4565'}]",2.4565,12.2825,2.233182,,0.089817,0.089817,8.188333,,0.094299,2.4565,35.835157,38.322933,1.458789,2025-12-10,2025-12-10,1.069423,1371,1.458789,20,"[{'action_type': 'outbound_click', 'value': '20'}]","[{'action_type': 'outbound_click', 'value': '1.458789'}]",facebook,1282,49.13,102,4,102,462,280,201
,34,,,8,2,2,34,,,1,1,1,,,469,1,469,3,1,,458,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,9,"[{'action_type': 'subscribe_mobile_app', 'value': '57.63'}, {'action_type': 'subscribe_total', 'value': '57.63'}, {'action_type': 'start_trial_mobile_app', 'value': '57.63'}, {'action_type': 'start_trial_total', 'value': '57.63'}]",7.20375,"[{'action_type': 'outbound_click', 'value': '7.20375'}]",7.20375,28.815,1.695,,0.122878,0.122878,19.21,,0.12583,6.403333,45.883758,47.237705,0.716561,2025-12-10,2025-12-10,1.029508,1256,0.636943,8,"[{'action_type': 'outbound_click', 'value': '8'}]","[{'action_type': 'outbound_click', 'value': '0.636943'}]",instagram,1220,57.63,25,3,25,403,174,96
,,,,,,,,,,,,,,,54,,54,,,,54,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.061481,0.061481,,,0.061481,,31.619048,31.619048,0,2025-12-10,2025-12-10,1,105,,,,,threads,105,3.32,13,7,13,46,32,22
,,,,,,,,,,,,,,,,,,,,,,,6917461954784,04 will_rapGod - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,20,20,0,2025-12-10,2025-12-10,1,1,,,,,facebook,1,0.02,,2,,,,
,2,,,2,,,2,,,,,,,,50,1,50,1,,,47,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.725,"[{'action_type': 'outbound_click', 'value': '0.725'}]",0.725,,0.725,,0.029,0.029,1.45,,0.030851,1.45,11.6,11.885246,0.8,2025-12-10,2025-12-10,1.02459,125,1.6,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '1.6'}]",facebook,122,1.45,4,4,3,45,25,18
,22,,,1,1,1,22,,,,,,,,22,,22,,,,21,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,"[{'action_type': 'subscribe_mobile_app', 'value': '1.59'}, {'action_type': 'subscribe_total', 'value': '1.59'}, {'action_type': 'start_trial_mobile_app', 'value': '1.59'}, {'action_type': 'start_trial_total', 'value': '1.59'}]",1.59,"[{'action_type': 'outbound_click', 'value': '1.59'}]",1.59,1.59,0.072273,,0.072273,0.072273,,,0.075714,1.59,19.390244,19.62963,1.219512,2025-12-10,2025-12-10,1.012346,82,1.219512,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.219512'}]",instagram,81,1.59,2,3,2,18,12,5
,,,,,,,,,,,,,,,8,,8,,,,8,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.02625,0.02625,,,0.02625,,12.352941,12.352941,0,2025-12-10,2025-12-10,1,17,,,,,threads,17,0.21,1,6,1,7,5,4
,2,,,,,,2,,,,,,,,1,,1,,,,1,,6917461955384,03 Snoop_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,0.015,,0.03,0.03,,,0.03,,15,15,0,2025-12-10,2025-12-10,1,2,,,,,facebook,2,0.03,,4,,1,,
,,,,,,,,,,,,,,,2,,2,,,,2,,6917461955384,03 Snoop_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.05,0.05,,,0.05,,20,20,0,2025-12-10,2025-12-10,1,5,,,,,instagram,5,0.1,1,6,1,2,2,2
,,,,,,,,,,,,,,,1,,1,,,,1,,6917461955384,03 Snoop_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.01,0.01,,,0.01,,5,5,0,2025-12-10,2025-12-10,1,2,,,,,threads,2,0.01,,4,,1,1,
,,,,,,,,,,,,,,,,,,,,,,,6917461955784,03 Mike_gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,20,20,0,2025-12-10,2025-12-10,1,1,,,,,instagram,1,0.02,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,6917461955784,03 Mike_gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,10,10,0,2025-12-10,2025-12-10,1,1,,,,,threads,1,0.01,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,6917461955984,02 Mike_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,0,0,0,2025-12-10,2025-12-10,1,1,,,,,instagram,1,0,,3,,,,
,,,,,,,,,,,,,,,3,,3,,,,3,,6917461955984,02 Mike_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.016667,0.016667,,,0.016667,,16.666667,16.666667,0,2025-12-10,2025-12-10,1,3,,,,,threads,3,0.05,,9,,3,2,
,,,,,,,,,,,,,,,,,,,,,,,6917461956584,01 Santa_slim - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,0,0,0,2025-12-10,2025-12-10,1,1,,,,,facebook,1,0,,1,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6917461956584,01 Santa_slim - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.03,0.03,,,0.03,,15,15,0,2025-12-10,2025-12-10,1,2,,,,,instagram,2,0.03,,2,,,,
,145,1,,51,17,17,145,,,10,,,,,1757,,1757,10,10,,1696,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,50,"[{'action_type': 'subscribe_mobile_app', 'value': '20.476489'}, {'action_type': 'subscribe_total', 'value': '20.476489'}, {'action_type': 'start_trial_mobile_app', 'value': '20.476489'}, {'action_type': 'start_trial_total', 'value': '20.476489'}]",1.204499,"[{'action_type': 'outbound_click', 'value': '1.204499'}]",1.204499,3.613498,0.423651,,0.034963,0.034963,6.142947,,0.03622,1.228589,14.252777,14.993768,1.160093,2025-12-10,2025-12-10,1.051989,4310,1.183295,51,"[{'action_type': 'outbound_click', 'value': '51'}]","[{'action_type': 'outbound_click', 'value': '1.183295'}]",facebook,4097,61.429467,166,5,162,1521,803,501
,378,,,41,15,15,378,,,21,,,,,1609,1,1609,22,21,,1546,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,53,"[{'action_type': 'subscribe_mobile_app', 'value': '8.659906'}, {'action_type': 'subscribe_total', 'value': '8.659906'}, {'action_type': 'start_trial_mobile_app', 'value': '10.103224'}, {'action_type': 'start_trial_total', 'value': '10.103224'}]",1.478521,"[{'action_type': 'outbound_click', 'value': '1.478521'}]",1.478521,4.041289,0.160369,,0.037675,0.037675,2.755425,,0.03921,1.143761,13.752119,14.484908,1.202359,2025-12-10,2025-12-10,1.053286,4408,0.930127,41,"[{'action_type': 'outbound_click', 'value': '41'}]","[{'action_type': 'outbound_click', 'value': '0.930127'}]",instagram,4185,60.619342,111,4,111,1347,624,369
,10,,,8,1,1,10,,,,,,,,392,,392,,,,384,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,8,,0.966399,"[{'action_type': 'outbound_click', 'value': '0.966399'}]",0.966399,7.731191,0.773119,,0.019722,0.019722,,,0.020133,0.966399,11.436674,11.87587,1.183432,2025-12-10,2025-12-10,1.038402,676,1.183432,8,"[{'action_type': 'outbound_click', 'value': '8'}]","[{'action_type': 'outbound_click', 'value': '1.183432'}]",threads,651,7.731191,59,8,59,352,204,126
,2,,,,,,2,,,,,,,,2,,2,,,,2,,6917461957184,01 Jesus_travis - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,0.135,,0.135,0.135,,,0.135,,33.75,33.75,0,2025-12-10,2025-12-10,1,8,,,,,facebook,8,0.27,,2,,2,1,
,,,,,,,,,,,,,,,1,,1,,,,1,,6917461957184,01 Jesus_travis - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.02,0.02,,,0.02,,20,20,0,2025-12-10,2025-12-10,1,1,,,,,instagram,1,0.02,,4,,1,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6917461957184,01 Jesus_travis - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-10,2025-12-10,1,1,,,,,threads,1,0.01,,4,,1,,
,6,,,1,,,6,,,,,,,,35,,35,,,,34,,6917505479784,06 fbg og - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,1.61,"[{'action_type': 'outbound_click', 'value': '1.61'}]",1.61,,0.268333,,0.046,0.046,,,0.047353,1.61,16.770833,17.888889,1.041667,2025-12-10,2025-12-10,1.066667,96,1.041667,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.041667'}]",facebook,90,1.61,3,3,3,31,9,5
,4,,,1,,,4,,,,,,,,3,,3,,,,2,,6917505479784,06 fbg og - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.26,"[{'action_type': 'outbound_click', 'value': '0.26'}]",0.26,,0.065,,0.086667,0.086667,,,0.13,0.26,26,26,10,2025-12-10,2025-12-10,1,10,10,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '10'}]",instagram,10,0.26,1,4,1,2,1,1
,,,,,,,,,,,,,,,2,,2,,,,2,,6917505479784,06 fbg og - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.115,0.115,,,0.115,,57.5,57.5,0,2025-12-10,2025-12-10,1,4,,,,,threads,4,0.23,,3,,2,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6917505480184,04 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.04,0.04,,,0.04,,40,40,0,2025-12-10,2025-12-10,1,1,,,,,facebook,1,0.04,,6,,1,,
,5,,,1,1,1,5,,,,,,,,2,,2,,,,1,,6917505480384,05 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.05,"[{'action_type': 'outbound_click', 'value': '0.05'}]",0.05,0.05,0.01,,0.025,0.025,,,0.05,0.05,25,25,50,2025-12-10,2025-12-10,1,2,50,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '50'}]",facebook,2,0.05,,4,,1,1,
,,,,,,,,,,,,,,,9,,9,,,,9,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.107778,0.107778,,,0.107778,,20.208333,21.555556,0,2025-12-10,2025-12-10,1.066667,48,,,,,facebook,45,0.97,1,2,1,8,4,3
,,,,,,,,,,,,,,,,,,,,,,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,20,20,0,2025-12-10,2025-12-10,1,11,,,,,instagram,11,0.22,,1,,,,
