action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,21,,21,,,,21,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.071905,0.071905,,,0.071905,,25.59322,31.458333,0,2025-11-30,2025-11-30,1.229167,unknown,59,,,,,48,1.51,4,4,4,21,13,9
,,,,,,,,,,,,,,,,,,,,,,6915585772984,jesus_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,10,10,0,2025-11-30,2025-11-30,1,female,1,,,,,1,0.01,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,6915585772984,jesus_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,285,285,0,2025-11-30,2025-11-30,1,male,2,,,,,2,0.57,,2,,,,
,66,,,24,8,8,66,,,,,,,368,,368,5,5,,339,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,24,,1.152917,"[{'action_type': 'outbound_click', 'value': '1.152917'}]",1.152917,3.45875,0.419242,,0.07519,0.07519,5.534,,0.081622,1.152917,26.682739,29.625268,2.314368,2025-11-30,2025-11-30,1.110278,female,1037,2.314368,24,"[{'action_type': 'outbound_click', 'value': '24'}]","[{'action_type': 'outbound_click', 'value': '2.314368'}]",934,27.67,64,4,60,328,153,107
,213,1,,47,9,9,213,,,,,,,1119,,1119,4,4,,1068,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,50,"[{'action_type': 'subscribe_mobile_app', 'value': '40.31'}, {'action_type': 'subscribe_total', 'value': '40.31'}, {'action_type': 'start_trial_mobile_app', 'value': '40.31'}, {'action_type': 'start_trial_total', 'value': '40.31'}]",1.715319,"[{'action_type': 'outbound_click', 'value': '1.715319'}]",1.715319,8.957778,0.378498,,0.072046,0.072046,20.155,,0.075487,1.6124,24.631836,26.065309,1.52765,2025-11-30,2025-11-30,1.058196,male,3273,1.435991,47,"[{'action_type': 'outbound_click', 'value': '47'}]","[{'action_type': 'outbound_click', 'value': '1.435991'}]",3093,80.62,165,3,158,1017,529,318
,,,,,,,,,,,,,,16,,16,1,1,,15,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.09125,0.09125,1.46,,0.097333,,35.609756,37.435897,0,2025-11-30,2025-11-30,1.051282,unknown,41,,,,,39,1.46,2,3,2,15,6,4
,,,,,,,,,,,,,,2,,2,,,,2,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.315,0.315,,,0.315,,42,48.461538,0,2025-11-30,2025-11-30,1.153846,female,15,,,,,13,0.63,1,3,1,2,2,1
,5,,,2,1,1,5,,,,,,,15,,15,,,,13,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,3,"[{'action_type': 'subscribe_mobile_app', 'value': '1.91'}, {'action_type': 'subscribe_total', 'value': '1.91'}, {'action_type': 'start_trial_mobile_app', 'value': '1.91'}, {'action_type': 'start_trial_total', 'value': '1.91'}]",0.955,"[{'action_type': 'outbound_click', 'value': '0.955'}]",0.955,1.91,0.382,,0.127333,0.127333,,,0.146923,0.636667,40.638298,43.409091,6.382979,2025-11-30,2025-11-30,1.068182,male,47,4.255319,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '4.255319'}]",44,1.91,4,3,4,12,7,5
,,,,,,,,,,,,,,1,,1,,,,1,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.11,0.11,,,0.11,,36.666667,55,0,2025-11-30,2025-11-30,1.5,unknown,3,,,,,2,0.11,,3,,1,,
,,,,,,,,,,,,,,3,,3,,,,3,,6916143260984,tyson_rap_2_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.273333,0.273333,,,0.273333,,41,43.157895,0,2025-11-30,2025-11-30,1.052632,female,20,,,,,19,0.82,,2,,3,,
