action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,2,,,1,1,1,2,,,,1,1,,77,,77,4,3,,72,,6916864174784,04 Morgan_Gin,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,1,,1.650062,"[{'action_type': 'outbound_click', 'value': '1.650062'}]",1.650062,1.650062,0.825031,,0.021429,0.021429,0.412515,,0.022918,1.650062,10.784717,11.786155,0.653595,2025-11-30,2025-11-30,1.092857,unknown,153,0.653595,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.653595'}]",140,1.650062,9,5,8,69,44,27
,,,,,,,,,,,,,,5,,5,1,1,,4,,6916865002784,04 will_rapGod,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.024,0.024,0.12,,0.03,,10,10,0,2025-11-30,2025-11-30,1,female,12,,,,,12,0.12,1,3,1,4,1,1
,,,,1,1,1,,,,,,,,17,,17,,,,16,,6916865002784,04 will_rapGod,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,1,,0.68,"[{'action_type': 'outbound_click', 'value': '0.68'}]",0.68,0.68,,,0.04,0.04,,,0.0425,0.68,13.076923,13.333333,1.923077,2025-11-30,2025-11-30,1.019608,male,52,1.923077,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.923077'}]",51,0.68,1,3,,11,8,4
,,,,,,,,,,,,,,1,,1,,,,1,,6916865002784,04 will_rapGod,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-11-30,2025-11-30,1,unknown,1,,,,,1,0.01,,10,,1,1,
,,,,,,,,,,,,,,,,,,,,,,6917461954184,01 Bob_snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,10,10,0,2025-11-30,2025-11-30,1,male,1,,,,,1,0.01,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,6917461954384,04 Will_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,10,10,0,2025-11-30,2025-11-30,1,male,1,,,,,1,0.01,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,6917461954584,02 snoop_loseYourself - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,13.75,15.714286,0,2025-11-30,2025-11-30,1.142857,female,8,,,,,7,0.11,,1,,,,
,37,,,,,,37,,,,,,,15,,15,,,,15,,6917461954584,02 snoop_loseYourself - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,0.042973,,0.106,0.106,,,0.106,,23.043478,23.731343,0,2025-11-30,2025-11-30,1.029851,male,69,,,,,67,1.59,2,2,1,13,2,2
,,,,,,,,,,,,,,1,,1,,,,1,,6917461954784,04 will_rapGod - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.13,0.13,,,0.13,,21.666667,21.666667,0,2025-11-30,2025-11-30,1,female,6,,,,,6,0.13,1,5,1,1,1,1
,20,,,1,1,1,20,,,,,,,12,,12,,,,11,,6917461954784,04 will_rapGod - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.84,"[{'action_type': 'outbound_click', 'value': '0.84'}]",0.84,0.84,0.042,,0.07,0.07,,,0.076364,0.84,27.096774,28.965517,3.225806,2025-11-30,2025-11-30,1.068966,male,31,3.225806,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '3.225806'}]",29,0.84,1,4,1,11,6,3
,30,,,12,4,4,30,,,,,,,269,,269,8,8,,249,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,12,"[{'action_type': 'start_trial_mobile_app', 'value': '15.59'}, {'action_type': 'start_trial_total', 'value': '15.59'}]",1.299167,"[{'action_type': 'outbound_click', 'value': '1.299167'}]",1.299167,3.8975,0.519667,,0.057955,0.057955,1.94875,,0.06261,1.299167,23.303438,24.983974,1.793722,2025-11-30,2025-11-30,1.072115,female,669,1.793722,12,"[{'action_type': 'outbound_click', 'value': '12'}]","[{'action_type': 'outbound_click', 'value': '1.793722'}]",624,15.59,42,4,41,218,113,81
1,901,3,,118,46,46,901,1,1,,1,1,1,1987,6,1987,27,20,1,1842,1,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,120,"[{'action_type': 'subscribe_mobile_app', 'value': '17.286667'}, {'action_type': 'subscribe_total', 'value': '17.286667'}, {'action_type': 'start_trial_mobile_app', 'value': '8.643333'}, {'action_type': 'start_trial_total', 'value': '8.643333'}]",0.878983,"[{'action_type': 'outbound_click', 'value': '0.886496'}]",0.878983,2.254783,0.115117,103.72,0.052199,0.052199,3.841481,103.72,0.056308,0.864333,19.688686,21.025745,2.277904,2025-11-30,2025-11-30,1.06791,male,5268,2.239939,118,"[{'action_type': 'outbound_click', 'value': '117'}]","[{'action_type': 'outbound_click', 'value': '2.220957'}]",4933,103.72,220,4,204,1653,929,576
,,,,,,,,,,,,,,14,,14,1,1,,13,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.074286,0.074286,1.04,,0.08,,24.186047,27.368421,0,2025-11-30,2025-11-30,1.131579,unknown,43,,,,,38,1.04,4,4,4,11,7,7
,,,,,,,,,,,,,,2,,2,,,,2,,6917461955184,03 will_loseYourself - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.235,0.235,,,0.235,,22.380952,27.647059,0,2025-11-30,2025-11-30,1.235294,male,21,,,,,17,0.47,,1,,2,,
,,,,,,,,,,,,,,2,,2,,,,2,,6917461955384,03 Snoop_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.02,0.02,,,0.02,,10,10,0,2025-11-30,2025-11-30,1,female,4,,,,,4,0.04,,2,,1,,
,25,,,,,,25,,,,,,,4,,4,,,,4,,6917461955384,03 Snoop_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,0.0228,,0.1425,0.1425,,,0.1425,,22.8,24.782609,0,2025-11-30,2025-11-30,1.086957,male,25,,,,,23,0.57,,2,,4,1,
,,,,,,,,,,,,,,,,,,,,,,6917461955384,03 Snoop_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,50,50,0,2025-11-30,2025-11-30,1,unknown,1,,,,,1,0.05,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,6917461955584,03 Snoop_rapGod - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,0,0,0,2025-11-30,2025-11-30,1,male,1,,,,,1,0,,0,,,,
,,,,,,,,,,,,,,6,,6,,,,6,,6917461955784,03 Mike_gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.06,0.06,,,0.06,,24,27.692308,0,2025-11-30,2025-11-30,1.153846,female,15,,,,,13,0.36,,3,,4,1,
,25,,,2,,,25,,,,,,,25,,25,,,,23,,6917461955784,03 Mike_gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.8,"[{'action_type': 'outbound_click', 'value': '0.8'}]",0.8,,0.064,,0.064,0.064,,,0.069565,1.6,17.391304,18.823529,1.086957,2025-11-30,2025-11-30,1.082353,male,92,2.173913,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '2.173913'}]",85,1.6,4,3,3,19,6,4
,,,,,,,,,,,,,,,,,,,,,,6917461955784,03 Mike_gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,0,0,0,2025-11-30,2025-11-30,1,unknown,1,,,,,1,0,,,,,,
,,,,,,,,,,,,,,1,,1,,,,1,,6917461955984,02 Mike_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.05,0.05,,,0.05,,25,25,0,2025-11-30,2025-11-30,1,female,2,,,,,2,0.05,,7,,1,1,1
,,,,,,,,,,,,,,,,,,,,,,6917461955984,02 Mike_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,10,10,0,2025-11-30,2025-11-30,1,male,2,,,,,2,0.02,,2,,,,
,,,,,,,,,,,,,,2,,2,,,,2,,6917461956184,02 Mike_rapGod - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.035,0.035,,,0.035,,14,14,0,2025-11-30,2025-11-30,1,female,5,,,,,5,0.07,,3,,2,1,
,,,,,,,,,,,,,,3,,3,,,,3,,6917461956184,02 Mike_rapGod - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.11,0.11,,,0.11,,17.368421,18.333333,0,2025-11-30,2025-11-30,1.055556,male,19,,,,,18,0.33,,2,,2,1,1
,20,,,1,,,20,,,,,,,3,,3,,,,2,,6917461956384,02 Timothy_slim - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.02,"[{'action_type': 'outbound_click', 'value': '0.02'}]",0.02,,0.001,,0.006667,0.006667,,,0.01,0.02,5,5,25,2025-11-30,2025-11-30,1,male,4,25,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '25'}]",4,0.02,,4,,2,1,
,,,,,,,,,,,,,,2,,2,,,,2,,6917461956584,01 Santa_slim - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.025,0.025,,,0.025,,16.666667,16.666667,0,2025-11-30,2025-11-30,1,female,3,,,,,3,0.05,,4,,2,,
,,,,,,,,,,,,,,,,,,,,,,6917461956584,01 Santa_slim - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,20,20,0,2025-11-30,2025-11-30,1,male,1,,,,,1,0.02,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,6917461956784,01 Jesus_rapGod - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,60,60,0,2025-11-30,2025-11-30,1,female,1,,,,,1,0.06,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,6917461956784,01 Jesus_rapGod - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,70,70,0,2025-11-30,2025-11-30,1,unknown,1,,,,,1,0.07,,1,,,,
,117,,1,36,3,3,117,,,,1,1,,903,3,903,20,15,,847,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,39,"[{'action_type': 'start_trial_mobile_app', 'value': '38.312614'}, {'action_type': 'start_trial_total', 'value': '38.312614'}]",1.064239,"[{'action_type': 'outbound_click', 'value': '1.064239'}]",1.064239,12.770871,0.327458,,0.042428,0.042428,1.915631,,0.045233,0.982375,16.664904,17.71272,1.69639,2025-11-30,2025-11-30,1.062876,female,2299,1.565898,36,"[{'action_type': 'outbound_click', 'value': '36'}]","[{'action_type': 'outbound_click', 'value': '1.565898'}]",2163,38.312614,86,6,85,748,369,221
,1018,5,2,254,78,78,1018,,,,2,2,,6748,6,6748,65,55,,6429,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,285,"[{'action_type': 'subscribe_mobile_app', 'value': '14.050959'}, {'action_type': 'subscribe_total', 'value': '14.050959'}, {'action_type': 'start_trial_mobile_app', 'value': '10.11669'}, {'action_type': 'start_trial_total', 'value': '10.11669'}]",0.995737,"[{'action_type': 'outbound_click', 'value': '0.995737'}]",0.995737,3.242529,0.248445,,0.03748,0.03748,3.891035,,0.03934,0.887429,15.543096,17.15973,1.751475,2025-11-30,2025-11-30,1.10401,male,16272,1.560964,254,"[{'action_type': 'outbound_click', 'value': '254'}]","[{'action_type': 'outbound_click', 'value': '1.560964'}]",14739,252.917259,580,5,546,5799,3026,1868
,,,,3,1,1,,,,,,,,43,,43,,,,40,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,3,,0.620042,"[{'action_type': 'outbound_click', 'value': '0.620042'}]",0.620042,1.860127,,,0.043259,0.043259,,,0.046503,0.620042,17.548367,18.236539,2.830189,2025-11-30,2025-11-30,1.039216,unknown,106,2.830189,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '2.830189'}]",102,1.860127,6,6,6,36,23,19
,19,,,1,1,1,19,,,,,,,5,,5,,,,4,,6917461957184,01 Jesus_travis - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.4,"[{'action_type': 'outbound_click', 'value': '0.4'}]",0.4,0.4,0.021053,,0.08,0.08,,,0.1,0.4,40,40,10,2025-11-30,2025-11-30,1,female,10,10,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '10'}]",10,0.4,1,5,1,4,3,2
,,,,1,,,,,,,,,,18,,18,,,,17,,6917461957184,01 Jesus_travis - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,1.12,"[{'action_type': 'outbound_click', 'value': '1.12'}]",1.12,,,,0.062222,0.062222,,,0.065882,1.12,17.5,20,1.5625,2025-11-30,2025-11-30,1.142857,male,64,1.5625,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.5625'}]",56,1.12,3,4,3,15,8,5
,,,,,,,,,,,,,,2,,2,,,,2,,6917461957184,01 Jesus_travis - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.02,0.02,,,0.02,,20,20,0,2025-11-30,2025-11-30,1,unknown,2,,,,,2,0.04,1,28,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,6917461957384,01 Jesus_loseYourself - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,80,80,0,2025-11-30,2025-11-30,1,female,1,,,,,1,0.08,,1,,,,
,899,5,2,188,71,71,899,,,1,,,,4243,1,4243,44,41,,4011,,6917505479784,06 fbg og - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,180,"[{'action_type': 'subscribe_mobile_app', 'value': '16.507692'}, {'action_type': 'subscribe_total', 'value': '16.507692'}, {'action_type': 'start_trial_mobile_app', 'value': '8.584'}, {'action_type': 'start_trial_total', 'value': '8.584'}]",1.141489,"[{'action_type': 'outbound_click', 'value': '1.141489'}]",1.141489,3.022535,0.23871,,0.050577,0.050577,4.877273,,0.053503,1.192222,20.296983,22.878465,1.70245,2025-11-30,2025-11-30,1.127186,female,10573,1.778114,188,"[{'action_type': 'outbound_click', 'value': '188'}]","[{'action_type': 'outbound_click', 'value': '1.778114'}]",9380,214.6,435,4,392,3507,1797,1368
,3,,,5,,,3,,,,,,,101,,101,2,2,,94,,6917505479784,06 fbg og - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,5,,0.992,"[{'action_type': 'outbound_click', 'value': '0.992'}]",0.992,,1.653333,,0.049109,0.049109,2.48,,0.052766,0.992,17.28223,18.716981,1.74216,2025-11-30,2025-11-30,1.083019,male,287,1.74216,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '1.74216'}]",265,4.96,7,4,5,88,40,29
,,,,1,,,,,,,,,,16,,16,,,,15,,6917505479784,06 fbg og - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.76,"[{'action_type': 'outbound_click', 'value': '0.76'}]",0.76,,,,0.0475,0.0475,,,0.050667,0.76,19,21.714286,2.5,2025-11-30,2025-11-30,1.142857,unknown,40,2.5,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '2.5'}]",35,0.76,,4,,14,7,6
,,,,,,,,,,,,,,,,,,,,,,6917505480184,04 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,15,15,0,2025-11-30,2025-11-30,1,female,4,,,,,4,0.06,,1,,,,
,8,1,,22,6,6,8,,,,2,2,,400,,400,2,,,376,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,19,,1.123147,"[{'action_type': 'outbound_click', 'value': '1.123147'}]",1.123147,4.118205,3.088654,,0.061773,0.061773,12.354614,,0.065716,1.300486,18.425972,19.991286,1.416853,2025-11-30,2025-11-30,1.084951,female,1341,1.640567,22,"[{'action_type': 'outbound_click', 'value': '22'}]","[{'action_type': 'outbound_click', 'value': '1.640567'}]",1236,24.709229,34,3,33,324,167,104
,,,,,,,,,,,,,,9,,9,,,,9,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.096742,0.096742,,,0.096742,,26.384169,27.208674,0,2025-11-30,2025-11-30,1.03125,male,33,,,,,32,0.870678,1,4,1,8,5,2
,,,,,,,,,,,,,,,,,,,,,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,17.156208,17.156208,0,2025-11-30,2025-11-30,1,unknown,7,,,,,7,0.120093,,2,,,,
,,,,,,,,,,,,,,1,,1,,,,1,,6917505480784,18 esha - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.05,0.05,,,0.05,,25,25,0,2025-11-30,2025-11-30,1,female,2,,,,,2,0.05,,4,,1,,
,,,,,,,,,,,,,,2,,2,,,,2,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.295,0.295,,,0.295,,65.555556,65.555556,0,2025-11-30,2025-11-30,1,female,9,,,,,9,0.59,,2,,1,,
,,,,,,,,,,,,,,4,,4,,,,4,,6917505481384,01 Esha - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.195,0.195,,,0.195,,43.333333,52,0,2025-11-30,2025-11-30,1.2,female,18,,,,,15,0.78,,2,,4,1,
,,,,,,,,,,,,,,2,,2,1,1,,1,,6917505481584,02 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.115,0.115,0.23,,0.23,,46,57.5,0,2025-11-30,2025-11-30,1.25,female,5,,,,,4,0.23,,3,,1,1,1
,,,,,,,,,,,,,,,,,,,,,,6917505481584,02 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,20,20,0,2025-11-30,2025-11-30,1,male,1,,,,,1,0.02,,0,,,,
,457,1,,58,31,31,457,,,,1,1,,1405,2,1405,26,23,,1321,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,57,"[{'action_type': 'subscribe_mobile_app', 'value': '16.63'}, {'action_type': 'subscribe_total', 'value': '16.63'}, {'action_type': 'start_trial_mobile_app', 'value': '7.559091'}, {'action_type': 'start_trial_total', 'value': '7.559091'}]",1.433621,"[{'action_type': 'outbound_click', 'value': '1.433621'}]",1.433621,2.682258,0.181947,,0.059181,0.059181,3.198077,,0.062945,1.458772,20.627636,22.912648,1.414041,2025-11-30,2025-11-30,1.110774,female,4031,1.438849,58,"[{'action_type': 'outbound_click', 'value': '58'}]","[{'action_type': 'outbound_click', 'value': '1.438849'}]",3629,83.15,157,4,142,1201,626,387
,14,,,5,,,14,,,,,,,74,,74,1,1,,68,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,6,,1.02,"[{'action_type': 'outbound_click', 'value': '1.02'}]",1.02,,0.364286,,0.068919,0.068919,5.1,,0.075,0.85,19.767442,21.07438,2.325581,2025-11-30,2025-11-30,1.066116,male,258,1.937985,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '1.937985'}]",242,5.1,10,3,10,63,33,23
,2,,,,,,2,,,,,,,5,,5,,,,5,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,0.2,,0.08,0.08,,,0.08,,19.047619,21.052632,0,2025-11-30,2025-11-30,1.105263,unknown,21,,,,,19,0.4,1,6,1,5,1,1
,,,,2,,,,,,,,,,5,,5,,,,3,,6917505482184,08 aiartist3 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,2,,0.235,"[{'action_type': 'outbound_click', 'value': '0.235'}]",0.235,,,,0.094,0.094,,,0.156667,0.235,58.75,67.142857,25,2025-11-30,2025-11-30,1.142857,female,8,25,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '25'}]",7,0.47,1,8,1,3,2,1
,,,,1,,,,,,,,,,1,,1,,,,,,6917505482184,08 aiartist3 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,1.48,"[{'action_type': 'outbound_click', 'value': '1.48'}]",1.48,,,,1.48,1.48,,,,1.48,164.444444,296,11.111111,2025-11-30,2025-11-30,1.8,male,9,11.111111,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '11.111111'}]",5,1.48,,2,,,,
