action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_conversion.post_unsave,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,age,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,4,,,4,1,1,4,,,1,,,,,,186,,186,1,1,,181,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,4,,2.825,"[{'action_type': 'outbound_click', 'value': '2.825'}]",2.825,11.3,2.825,,0.060753,0.060753,11.3,,0.062431,2.825,18.373984,20.035461,0.650407,2025-12-14,2025-12-14,1.090426,615,0.650407,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '0.650407'}]",564,11.3,14,3,13,174,88,47
,103,,1,17,10,10,103,,,3,,,1,,,628,,628,5,4,,606,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,17,"[{'action_type': 'start_trial_mobile_app', 'value': '8.71'}, {'action_type': 'start_trial_total', 'value': '8.71'}]",2.049412,"[{'action_type': 'outbound_click', 'value': '2.049412'}]",2.049412,3.484,0.338252,,0.055478,0.055478,6.968,,0.057492,2.049412,20.578854,21.815905,1.004135,2025-12-14,2025-12-14,1.060113,1693,1.004135,17,"[{'action_type': 'outbound_click', 'value': '17'}]","[{'action_type': 'outbound_click', 'value': '1.004135'}]",1597,34.84,61,3,61,582,251,142
,120,2,,15,5,5,120,,,4,,,,,,569,,569,4,4,,550,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,16,"[{'action_type': 'subscribe_mobile_app', 'value': '16.545'}, {'action_type': 'subscribe_total', 'value': '16.545'}, {'action_type': 'start_trial_mobile_app', 'value': '11.03'}, {'action_type': 'start_trial_total', 'value': '11.03'}]",2.206,"[{'action_type': 'outbound_click', 'value': '2.206'}]",2.206,6.618,0.27575,,0.058155,0.058155,8.2725,,0.060164,2.068125,24.712472,25.993716,1.194922,2025-12-14,2025-12-14,1.051846,1339,1.120239,15,"[{'action_type': 'outbound_click', 'value': '15'}]","[{'action_type': 'outbound_click', 'value': '1.120239'}]",1273,33.09,72,4,68,530,251,144
,1,,,5,,,1,,,,,,,,,95,,95,,,,90,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,55-64,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,5,,1.208,"[{'action_type': 'outbound_click', 'value': '1.208'}]",1.208,,6.04,,0.063579,0.063579,,,0.067111,1.208,28.899522,31.295337,2.392345,2025-12-14,2025-12-14,1.082902,209,2.392345,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '2.392345'}]",193,6.04,13,4,12,86,42,27
,,,,1,,,,,,1,,,,,,15,,15,1,1,,13,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,65+,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.76,"[{'action_type': 'outbound_click', 'value': '0.76'}]",0.76,,,,0.050667,0.050667,0.76,,0.058462,0.76,25.333333,29.230769,3.333333,2025-12-14,2025-12-14,1.153846,30,3.333333,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '3.333333'}]",26,0.76,2,4,2,13,7,3
,,,,1,1,1,,,,,,,,,,13,,13,,,,12,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,18-24,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.88,"[{'action_type': 'outbound_click', 'value': '0.88'}]",0.88,0.88,,,0.067692,0.067692,,,0.073333,0.88,25.142857,25.142857,2.857143,2025-12-14,2025-12-14,1,35,2.857143,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '2.857143'}]",35,0.88,,3,,12,6,5
,5,,,1,,,5,,,,,,,,,33,,33,,,,32,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,3.41,"[{'action_type': 'outbound_click', 'value': '3.41'}]",3.41,,0.682,,0.103333,0.103333,,,0.106563,3.41,22.434211,23.197279,0.657895,2025-12-14,2025-12-14,1.034014,152,0.657895,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.657895'}]",147,3.41,4,3,4,31,13,7
,15,1,,5,,,15,,,,,,,,,78,,78,,,,73,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,5,,1.142,"[{'action_type': 'outbound_click', 'value': '1.142'}]",1.142,,0.380667,,0.073205,0.073205,,,0.078219,1.142,20.915751,21.628788,1.831502,2025-12-14,2025-12-14,1.034091,273,1.831502,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '1.831502'}]",264,5.71,9,3,8,73,44,21
,41,,,8,2,2,41,,,,,,,,,123,,123,,,,115,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,7,,0.78125,"[{'action_type': 'outbound_click', 'value': '0.892857'}]",0.78125,3.125,0.152439,,0.050813,0.050813,,,0.054348,0.892857,22.893773,23.94636,2.564103,2025-12-14,2025-12-14,1.045977,273,2.930403,8,"[{'action_type': 'outbound_click', 'value': '7'}]","[{'action_type': 'outbound_click', 'value': '2.564103'}]",261,6.25,18,4,18,109,53,32
,6,,,3,1,1,6,,,1,,,,,,36,,36,1,1,,32,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,55-64,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,3,"[{'action_type': 'subscribe_mobile_app', 'value': '1.91'}, {'action_type': 'subscribe_total', 'value': '1.91'}, {'action_type': 'start_trial_mobile_app', 'value': '1.91'}, {'action_type': 'start_trial_total', 'value': '1.91'}]",0.636667,"[{'action_type': 'outbound_click', 'value': '0.636667'}]",0.636667,1.91,0.318333,,0.053056,0.053056,1.91,,0.059688,0.636667,29.384615,29.384615,4.615385,2025-12-14,2025-12-14,1,65,4.615385,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '4.615385'}]",65,1.91,6,5,5,32,16,8
,,,,,,,,,,,,,,,,6,,6,,,,6,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,65+,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.05,0.05,,,0.05,,25,27.272727,0,2025-12-14,2025-12-14,1.090909,12,,,,,11,0.3,,3,,6,1,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916144704984,jesus_rap_1_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,13-17,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0,0,,,0,,0,0,0,2025-12-14,2025-12-14,1,1,,,,,1,0,,5,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,15,15,0,2025-12-14,2025-12-14,1,2,,,,,2,0.03,,1,,,,
,,,,,,,,,,,,,,,,4,,4,,,,4,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,18-24,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.07,0.07,,,0.07,,31.111111,31.111111,0,2025-12-14,2025-12-14,1,9,,,,,9,0.28,1,6,1,4,1,1
,,,,,,,,,,1,,,,,,33,,33,1,1,,32,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.068485,0.068485,2.26,,0.070625,,20.733945,22.156863,0,2025-12-14,2025-12-14,1.068627,109,,,,,102,2.26,2,3,2,29,15,9
,139,,,19,12,12,139,,,1,,,1,,,279,,279,2,2,,258,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,21,"[{'action_type': 'subscribe_mobile_app', 'value': '4.216667'}, {'action_type': 'subscribe_total', 'value': '4.216667'}, {'action_type': 'start_trial_mobile_app', 'value': '6.325'}, {'action_type': 'start_trial_total', 'value': '6.325'}]",1.331579,"[{'action_type': 'outbound_click', 'value': '1.331579'}]",1.331579,2.108333,0.182014,,0.090681,0.090681,12.65,,0.098062,1.204762,27.058824,27.650273,2.245989,2025-12-14,2025-12-14,1.021858,935,2.032086,19,"[{'action_type': 'outbound_click', 'value': '19'}]","[{'action_type': 'outbound_click', 'value': '2.032086'}]",915,25.3,26,3,26,229,108,67
,60,,,12,10,10,60,,,7,,,,,,437,,437,7,7,,418,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,16,"[{'action_type': 'subscribe_mobile_app', 'value': '38.21'}, {'action_type': 'subscribe_total', 'value': '38.21'}, {'action_type': 'start_trial_mobile_app', 'value': '38.21'}, {'action_type': 'start_trial_total', 'value': '38.21'}]",3.184167,"[{'action_type': 'outbound_click', 'value': '3.184167'}]",3.184167,3.821,0.636833,,0.087437,0.087437,5.458571,,0.091411,2.388125,33.110919,34.958829,1.386482,2025-12-14,2025-12-14,1.05581,1154,1.039861,12,"[{'action_type': 'outbound_click', 'value': '12'}]","[{'action_type': 'outbound_click', 'value': '1.039861'}]",1093,38.21,62,4,59,384,209,137
