action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,1,,,1,,,1,,,,,,,,42,,42,,,,41,,6917505479984,09 anomansollips - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,UNKNOWN,,1.82,"[{'action_type': 'outbound_click', 'value': '1.82'}]",1.82,,1.82,,0.043333,0.043333,,,0.04439,1.82,14.108527,14.21875,0.775194,2025-12-09,2025-12-09,UNKNOWN,1.007813,129,0.775194,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.775194'}]",UNKNOWN,128,1.82,4,4,4,35,15,9
,,,,,,,,,,,,,,,,,,,,,,,6917505480384,05 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,,,,,,,150,150,0,2025-12-09,2025-12-09,UNKNOWN,1,2,,,,,UNKNOWN,2,0.3,,1,,,,
,10,,,5,1,1,10,,,3,,,,,291,,291,3,3,,283,,6917505480784,18 esha - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,5,UNKNOWN,,1.96,"[{'action_type': 'outbound_click', 'value': '1.96'}]",1.96,9.8,0.98,,0.033677,0.033677,3.266667,,0.034629,1.96,15.193798,15.730337,0.775194,2025-12-09,2025-12-09,UNKNOWN,1.035313,645,0.775194,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '0.775194'}]",UNKNOWN,623,9.8,27,5,26,257,144,78
,,,,,,,,,,,,,,,,,,,,,,,6917505480984,13 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,,,,,,,3.333333,3.333333,0,2025-12-09,2025-12-09,UNKNOWN,1,3,,,,,UNKNOWN,3,0.01,,1,,,,
,696,1,,128,58,58,696,,,25,2,2,,,2270,,2270,27,25,,2115,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,122,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '9.021429'}, {'action_type': 'subscribe_total', 'value': '9.021429'}, {'action_type': 'start_trial_mobile_app', 'value': '7.429412'}, {'action_type': 'start_trial_total', 'value': '7.429412'}]",0.986719,"[{'action_type': 'outbound_click', 'value': '0.986719'}]",0.986719,2.177586,0.181466,,0.055639,0.055639,4.677778,,0.059716,1.035246,18.170047,19.924278,1.755143,2025-12-09,2025-12-09,ABOVE_AVERAGE,1.096545,6951,1.841462,128,"[{'action_type': 'outbound_click', 'value': '128'}]","[{'action_type': 'outbound_click', 'value': '1.841462'}]",AVERAGE,6339,126.3,206,3,188,1815,909,515
,5,,,3,,,5,,,,,,,,46,,46,,,,43,,6917505481384,01 Esha - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,3,UNKNOWN,,0.803333,"[{'action_type': 'outbound_click', 'value': '0.803333'}]",0.803333,,0.482,,0.052391,0.052391,,,0.056047,0.803333,15.960265,16.283784,1.986755,2025-12-09,2025-12-09,UNKNOWN,1.02027,151,1.986755,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '1.986755'}]",UNKNOWN,148,2.41,,2,,36,7,5
,56,,,5,3,3,56,,,4,,,,,214,,214,4,4,,205,,6917505481584,02 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,5,UNKNOWN,"[{'action_type': 'subscribe_mobile_app', 'value': '9.52'}, {'action_type': 'subscribe_total', 'value': '9.52'}, {'action_type': 'start_trial_mobile_app', 'value': '9.52'}, {'action_type': 'start_trial_total', 'value': '9.52'}]",1.904,"[{'action_type': 'outbound_click', 'value': '1.904'}]",1.904,3.173333,0.17,,0.044486,0.044486,2.38,,0.046439,1.904,19.588477,20.042105,1.028807,2025-12-09,2025-12-09,UNKNOWN,1.023158,486,1.028807,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '1.028807'}]",UNKNOWN,475,9.52,19,5,18,176,91,69
3,870,3,2,255,78,78,870,3,3,75,5,5,,3,7137,9,7137,91,75,3,6791,3,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,275,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '33.041818'}, {'action_type': 'subscribe_total', 'value': '33.041818'}, {'action_type': 'start_trial_mobile_app', 'value': '40.384444'}, {'action_type': 'start_trial_total', 'value': '40.384444'}]",1.425333,"[{'action_type': 'outbound_click', 'value': '1.425333'}]",1.425333,4.659744,0.41777,121.153333,0.050926,0.050926,3.994066,121.153333,0.053521,1.321673,23.511223,24.113315,1.778899,2025-12-09,2025-12-09,ABOVE_AVERAGE,1.025609,15459,1.649525,255,"[{'action_type': 'outbound_click', 'value': '255'}]","[{'action_type': 'outbound_click', 'value': '1.649525'}]",AVERAGE,15073,363.46,683,5,664,6144,3360,2013
,,,,,,,,,,,,,,,1,,1,,,,1,,6920992822984,02 Mike_sicko - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.02,0.02,,,0.02,,20,20,0,2025-12-09,2025-12-09,UNKNOWN,1,1,,,,,UNKNOWN,1,0.02,,13,,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,6920992823184,03 Snoop_sicko - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,15,15,0,2025-12-09,2025-12-09,UNKNOWN,1,2,,,,,UNKNOWN,2,0.03,,1,,,,
,,,,,,,,,,,,,,,6,,6,,,,6,,6920992823384,02 Timothy_slim - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.05,0.05,,,0.05,,25,25,0,2025-12-09,2025-12-09,UNKNOWN,1,12,,,,,UNKNOWN,12,0.3,,4,,5,2,2
,128,,,26,11,11,128,,,6,,,,,1085,,1085,6,6,,1053,,6920992823584,02 Eddie_Snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,34,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '48.79'}, {'action_type': 'subscribe_total', 'value': '48.79'}, {'action_type': 'start_trial_mobile_app', 'value': '48.79'}, {'action_type': 'start_trial_total', 'value': '48.79'}]",1.876538,"[{'action_type': 'outbound_click', 'value': '1.876538'}]",1.876538,4.435455,0.381172,,0.044968,0.044968,8.131667,,0.046334,1.435,19.103367,19.922417,1.331245,2025-12-09,2025-12-09,ABOVE_AVERAGE,1.042875,2554,1.018011,26,"[{'action_type': 'outbound_click', 'value': '26'}]","[{'action_type': 'outbound_click', 'value': '1.018011'}]",AVERAGE,2449,48.79,69,4,68,943,428,243
,1,,,2,,,1,,,,,,,,6,,6,,,,4,,6920992824184,01 Jesus_travis - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,1,UNKNOWN,,0.145,"[{'action_type': 'outbound_click', 'value': '0.145'}]",0.145,,0.29,,0.048333,0.048333,,,0.0725,0.29,24.166667,24.166667,8.333333,2025-12-09,2025-12-09,UNKNOWN,1,12,16.666667,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '16.666667'}]",UNKNOWN,12,0.29,1,4,1,4,2,2
,,,,,,,,,,,,,,,1,,1,,,,1,,6920994402584,07_nose ring_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.02,0.02,,,0.02,,20,20,0,2025-12-09,2025-12-09,UNKNOWN,1,1,,,,,UNKNOWN,1,0.02,,8,,1,,
,,,,,,,,,,,,,,,,,,,,,,,6920994403384,10_Red pants_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,5,5,0,2025-12-09,2025-12-09,UNKNOWN,1,2,,,,,UNKNOWN,2,0.01,,2,,,,
3,704,9,,183,49,49,704,3,3,47,1,1,3,3,4081,5,4081,56,50,3,3842,3,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,177,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '28.36375'}, {'action_type': 'subscribe_total', 'value': '28.36375'}, {'action_type': 'start_trial_mobile_app', 'value': '25.212222'}, {'action_type': 'start_trial_total', 'value': '25.212222'}]",1.239945,"[{'action_type': 'outbound_click', 'value': '1.239945'}]",1.239945,4.630816,0.322315,75.636667,0.055602,0.055602,4.051964,75.636667,0.05906,1.281977,27.266282,28.998083,2.126893,2025-12-09,2025-12-09,ABOVE_AVERAGE,1.063514,8322,2.198991,183,"[{'action_type': 'outbound_click', 'value': '183'}]","[{'action_type': 'outbound_click', 'value': '2.198991'}]",AVERAGE,7825,226.91,655,6,624,3491,2147,1528
,,,,,,,,,,,,,,,,,,,,,,,6920994404184,04_fbg_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,50,50,0,2025-12-09,2025-12-09,UNKNOWN,1,2,,,,,UNKNOWN,2,0.1,,1,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920994404584,02_blackNew_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.04,0.04,,,0.04,,40,40,0,2025-12-09,2025-12-09,UNKNOWN,1,1,,,,,UNKNOWN,1,0.04,,4,,1,,
,,,,,,,,,,,,,,,,,,,,,,,6920995425184,06_WillS_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,16.666667,16.666667,0,2025-12-09,2025-12-09,UNKNOWN,1,3,,,,,UNKNOWN,3,0.05,,1,,,,
,,,,,,,,,,1,,,,,4,,4,1,1,,3,,6920995425384,02_jesus_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.0825,0.0825,0.33,,0.11,,55,66,0,2025-12-09,2025-12-09,UNKNOWN,1.2,6,,,,,UNKNOWN,5,0.33,1,6,1,3,2,1
1,812,3,,210,56,56,812,1,1,60,,,1,1,4656,6,4656,67,61,1,4379,1,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,226,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '20.515'}, {'action_type': 'subscribe_total', 'value': '20.515'}, {'action_type': 'start_trial_mobile_app', 'value': '20.515'}, {'action_type': 'start_trial_total', 'value': '20.515'}]",1.172286,"[{'action_type': 'outbound_click', 'value': '1.177895'}]",1.172286,4.396071,0.303177,246.18,0.052874,0.052874,3.674328,246.18,0.056218,1.089292,25.767218,27.601749,2.365501,2025-12-09,2025-12-09,ABOVE_AVERAGE,1.071196,9554,2.198032,210,"[{'action_type': 'outbound_click', 'value': '209'}]","[{'action_type': 'outbound_click', 'value': '2.187565'}]",AVERAGE,8919,246.18,500,5,480,3851,2076,1224
,,,,1,,,,,,,,,,,1,,1,,,,,,6920996505584,01_black4_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,1,UNKNOWN,,0.04,"[{'action_type': 'outbound_click', 'value': '0.04'}]",0.04,,,,0.04,0.04,,,,0.04,20,20,50,2025-12-09,2025-12-09,UNKNOWN,1,2,50,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '50'}]",UNKNOWN,2,0.04,,2,,,,
