action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,196,,,31,11,11,196,,,,,,,574,,574,2,2,,541,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,32,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '22.6'}, {'action_type': 'subscribe_total', 'value': '22.6'}, {'action_type': 'start_trial_mobile_app', 'value': '9.04'}, {'action_type': 'start_trial_total', 'value': '9.04'}]",1.458065,"[{'action_type': 'outbound_click', 'value': '1.458065'}]",1.458065,4.109091,0.230612,,0.078746,0.078746,22.6,,0.083549,1.4125,25.265511,26.952892,1.788709,2025-11-30,2025-11-30,ABOVE_AVERAGE,1.066786,1789,1.732812,31,"[{'action_type': 'outbound_click', 'value': '31'}]","[{'action_type': 'outbound_click', 'value': '1.732812'}]",AVERAGE,1677,45.2,81,4,77,475,282,199
,,,,1,,,,,,,,,,6,,6,,,,5,,6916167702784,08 aiartist3,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,1.04,"[{'action_type': 'outbound_click', 'value': '1.04'}]",1.04,,,,0.173333,0.173333,,,0.208,,86.666667,94.545455,0,2025-11-30,2025-11-30,UNKNOWN,1.090909,12,8.333333,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '8.333333'}]",UNKNOWN,11,1.04,,3,,5,1,
,836,5,,115,54,54,836,,,,2,2,,2715,2,2715,32,28,,2568,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,132,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '17.836364'}, {'action_type': 'subscribe_total', 'value': '17.836364'}, {'action_type': 'start_trial_mobile_app', 'value': '9.81'}, {'action_type': 'start_trial_total', 'value': '9.81'}]",1.706087,"[{'action_type': 'outbound_click', 'value': '1.706087'}]",1.706087,3.633333,0.234689,,0.072265,0.072265,6.13125,,0.076402,1.486364,27.238651,30.423321,1.83257,2025-11-30,2025-11-30,AVERAGE,1.116917,7203,1.596557,115,"[{'action_type': 'outbound_click', 'value': '115'}]","[{'action_type': 'outbound_click', 'value': '1.596557'}]",AVERAGE,6449,196.2,342,4,330,2337,1252,788
,,,,,,,,,,,,,,1,,1,,,,1,,6916169150784,13 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,0.09,0.09,,,0.09,,30,30,0,2025-11-30,2025-11-30,UNKNOWN,1,3,,,,,UNKNOWN,3,0.09,,1,,,,
,,,,1,,,,,,,,,,12,,12,,,,11,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,UNKNOWN,,1.21,"[{'action_type': 'outbound_click', 'value': '1.21'}]",1.21,,,,0.100833,0.100833,,,0.11,1.21,50.416667,52.608696,4.166667,2025-11-30,2025-11-30,UNKNOWN,1.043478,24,4.166667,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '4.166667'}]",UNKNOWN,23,1.21,4,7,4,11,7,5
,,,,,,,,,,,,,,10,,10,,,,10,,6916171454184,15 tyson,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,0.136,0.136,,,0.136,,26.666667,26.666667,0,2025-11-30,2025-11-30,UNKNOWN,1,51,,,,,UNKNOWN,51,1.36,1,2,,10,4,2
,,,,,,,,,,,,,,,,,,,,,,6916171835184,16 Curry,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,,,,,,,10,10,0,2025-11-30,2025-11-30,UNKNOWN,1,2,,,,,UNKNOWN,2,0.02,,1,,,,
,36,,1,16,3,3,36,,,,,,,375,1,375,11,9,,348,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,17,AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '24.415'}, {'action_type': 'subscribe_total', 'value': '24.415'}, {'action_type': 'start_trial_mobile_app', 'value': '24.415'}, {'action_type': 'start_trial_total', 'value': '24.415'}]",3.051875,"[{'action_type': 'outbound_click', 'value': '3.051875'}]",3.051875,16.276667,1.356389,,0.130213,0.130213,4.439091,,0.140316,2.872353,41.068124,46.37227,1.429773,2025-11-30,2025-11-30,AVERAGE,1.129155,1189,1.345669,16,"[{'action_type': 'outbound_click', 'value': '16'}]","[{'action_type': 'outbound_click', 'value': '1.345669'}]",AVERAGE,1053,48.83,57,4,56,312,180,120
,348,2,,88,29,29,348,,,,,,,1484,2,1484,11,9,,1385,,6916177448584,10 Asian baby - Copy,6916176486384,FB_iOS_itoshi_rap_baby,6913347651784,FB_iOS_itoshi_rap_install,83,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '16.62'}, {'action_type': 'subscribe_total', 'value': '16.62'}, {'action_type': 'start_trial_mobile_app', 'value': '12.465'}, {'action_type': 'start_trial_total', 'value': '12.465'}]",0.566591,"[{'action_type': 'outbound_click', 'value': '0.566591'}]",0.566591,1.71931,0.143276,,0.033598,0.033598,4.532727,,0.036,0.600723,11.630511,12.527638,1.936086,2025-11-30,2025-11-30,AVERAGE,1.077136,4287,2.052718,88,"[{'action_type': 'outbound_click', 'value': '88'}]","[{'action_type': 'outbound_click', 'value': '2.052718'}]",AVERAGE,3980,49.86,159,4,143,1209,578,347
,7,,,5,,,7,,,,,,,23,,23,,,,18,,6916177884584,08 aiartist3 - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,5,UNKNOWN,,0.32,"[{'action_type': 'outbound_click', 'value': '0.32'}]",0.32,,0.228571,,0.069565,0.069565,,,0.088889,0.32,29.62963,32,9.259259,2025-11-30,2025-11-30,UNKNOWN,1.08,54,9.259259,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '9.259259'}]",UNKNOWN,50,1.6,3,3,3,15,9,6
,,,,,,,,,,,,,,3,,3,,,,3,,6916177884784,18 esha - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,0,UNKNOWN,,,,,,,,0.026667,0.026667,,,0.026667,,13.333333,13.333333,0,2025-11-30,2025-11-30,UNKNOWN,1,6,,,,,UNKNOWN,6,0.08,,3,,3,,
,,,,,,,,,,,,,,,,,,,,,,6916177884984,14 blonde - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,0,UNKNOWN,,,,,,,,,,,,,,20,20,0,2025-11-30,2025-11-30,UNKNOWN,1,2,,,,,UNKNOWN,2,0.04,,2,,,,
,,,,,,,,,,,,,,2,,2,,,,2,,6916177885184,12 Prerna - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,0,UNKNOWN,,,,,,,,0.02,0.02,,,0.02,,13.333333,13.333333,0,2025-11-30,2025-11-30,UNKNOWN,1,3,,,,,UNKNOWN,3,0.04,,7,,2,2,1
