action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,1,,,,,,1,,,,,,,,,,,,,,,6916864174784,04 Morgan_Gin,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,0,UNKNOWN,,,,,,0,,,,,,,,,,,2025-12-06,2025-12-06,UNKNOWN,0,0,,,,,UNKNOWN,0,0,,,,,,
,1,,,,,,1,,,,,,,,,,,,,,,6920199460384,03_blackbodysuit_Big energy,6920175379584,Test_F_BigEnergy,6920175379984,FB_iOS_Install_Rap_CreativeTest_251202,0,UNKNOWN,,,,,,0,,,,,,,,,,,2025-12-06,2025-12-06,UNKNOWN,0,0,,,,,UNKNOWN,0,0,,,,,,
,2,,,,,,2,,,,,,,,,,,,,,,6920213202984,03_blackbodysuit_I like it,6920211227584,Test_F_ILikeIt,6920175379984,FB_iOS_Install_Rap_CreativeTest_251202,0,UNKNOWN,,,,,,0,,,,,,,,,,,2025-12-06,2025-12-06,UNKNOWN,0,0,,,,,UNKNOWN,0,0,,,,,,
,1,,,,,,1,,,,,,,,,,,,,,,6920229519184,02_blackNew_Wap 2,6920228641784,Test_F_Wap2,6920175379984,FB_iOS_Install_Rap_CreativeTest_251202,0,UNKNOWN,,,,,,0,,,,,,,,,,,2025-12-06,2025-12-06,UNKNOWN,0,0,,,,,UNKNOWN,0,0,,,,,,
11,900,2,,205,57,57,900,11,11,2,2,,11,5629,9,5629,73,62,11,5351,11,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,235,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '53.998'}, {'action_type': 'subscribe_total', 'value': '53.998'}]",1.317024,"[{'action_type': 'outbound_click', 'value': '1.317024'}]",1.317024,4.736667,0.299989,24.544545,0.047964,0.047964,3.698493,24.544545,0.050456,1.148894,20.442947,20.814895,1.779359,2025-12-06,2025-12-06,ABOVE_AVERAGE,1.018194,13207,1.552207,205,"[{'action_type': 'outbound_click', 'value': '205'}]","[{'action_type': 'outbound_click', 'value': '1.552207'}]",BELOW_AVERAGE_35,12971,269.99,551,4,541,4844,2505,1484
,,,,,,,,,,,,,,1,,1,,,,1,,6920992822784,03 Mike_gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-06,2025-12-06,UNKNOWN,1,1,,,,,UNKNOWN,1,0.01,,4,,1,,
,,,,,,,,,,,,,,4,,4,,,,4,,6920992823584,02 Eddie_Snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.1025,0.1025,,,0.1025,,24.117647,24.117647,0,2025-12-06,2025-12-06,UNKNOWN,1,17,,,,,UNKNOWN,17,0.41,,2,,3,1,1
,,,,,,,,,,,,,,,,,,,,,,6920992823984,01 Santa_slim - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,5,5,0,2025-12-06,2025-12-06,UNKNOWN,1,2,,,,,UNKNOWN,2,0.01,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,6920994402784,09_red lipstick_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,40,40,0,2025-12-06,2025-12-06,UNKNOWN,1,1,,,,,UNKNOWN,1,0.04,,2,,,,
,,,,,,,,,,,,,,3,,3,1,1,,2,,6920994402984,06_green hair_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.09,0.09,0.27,,0.135,,45,54,0,2025-12-06,2025-12-06,UNKNOWN,1.2,6,,,,,UNKNOWN,5,0.27,,2,,2,,
2,508,4,,218,69,69,508,2,2,1,1,2,2,4766,8,4766,75,66,2,4473,2,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,217,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '130.995'}, {'action_type': 'subscribe_total', 'value': '130.995'}]",1.201789,"[{'action_type': 'outbound_click', 'value': '1.207327'}]",1.201789,3.796957,0.515728,130.995,0.054971,0.054971,3.4932,130.995,0.058571,1.207327,26.396977,29.982834,2.186398,2025-12-06,2025-12-06,AVERAGE,1.135843,9925,2.196474,218,"[{'action_type': 'outbound_click', 'value': '217'}]","[{'action_type': 'outbound_click', 'value': '2.186398'}]",AVERAGE,8738,261.99,841,5,797,4102,2516,1871
,,,,,,,,,,,,,,,,,,,,,,6920994403984,08_Red dress_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,10,10,0,2025-12-06,2025-12-06,UNKNOWN,1,1,,,,,UNKNOWN,1,0.01,,2,,,,
,,,,,,,,,,,,,,3,,3,1,1,,2,,6920994404184,04_fbg_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.14,0.14,0.42,,0.21,,84,84,0,2025-12-06,2025-12-06,UNKNOWN,1,5,,,,,UNKNOWN,5,0.42,,5,,1,1,
,,,,,,,,,,,,,,,,,,,,,,6920995425184,06_WillS_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,30,30,0,2025-12-06,2025-12-06,UNKNOWN,1,1,,,,,UNKNOWN,1,0.03,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,6920995425384,02_jesus_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,20,20,0,2025-12-06,2025-12-06,UNKNOWN,1,2,,,,,UNKNOWN,2,0.04,,2,,,,
4,899,6,3,235,81,81,899,4,4,1,1,4,4,5591,6,5591,92,82,4,5264,4,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,233,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '66.425'}, {'action_type': 'subscribe_total', 'value': '66.425'}]",1.130638,"[{'action_type': 'outbound_click', 'value': '1.13547'}]",1.130638,3.280247,0.295551,66.425,0.047523,0.047523,2.888043,66.425,0.050475,1.140343,22.726884,24.315915,1.992986,2025-12-06,2025-12-06,AVERAGE,1.069919,11691,2.010093,235,"[{'action_type': 'outbound_click', 'value': '234'}]","[{'action_type': 'outbound_click', 'value': '2.00154'}]",AVERAGE,10927,265.7,842,5,824,4733,2754,1776
,,,,,,,,,,,,,,,,,,,,,,6920996505784,09_red lipstick_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,10,10,0,2025-12-06,2025-12-06,UNKNOWN,1,1,,,,,UNKNOWN,1,0.01,,1,,,,
3,496,,,82,45,45,496,3,3,2,2,1,3,2279,4,2279,34,28,3,2163,3,6920996506984,02_blackNew_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,79,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '61.38'}, {'action_type': 'subscribe_total', 'value': '61.38'}]",1.497073,"[{'action_type': 'outbound_click', 'value': '1.497073'}]",1.497073,2.728,0.2475,40.92,0.053866,0.053866,3.610588,40.92,0.056755,1.553924,25.893271,27.171315,1.666315,2025-12-06,2025-12-06,AVERAGE,1.049358,4741,1.729593,82,"[{'action_type': 'outbound_click', 'value': '82'}]","[{'action_type': 'outbound_click', 'value': '1.729593'}]",AVERAGE,4518,122.76,293,5,277,1927,1155,811
,,,,,,,,,,,,,,,,,,,,,,6920996507384,07_nose ring_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,220,220,0,2025-12-06,2025-12-06,UNKNOWN,1,2,,,,,UNKNOWN,2,0.44,,3,,,,
,,,,,,,,,,,,,,5,,5,,,,5,,6920996507584,05_greendress_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.028,0.028,,,0.028,,15.555556,15.555556,0,2025-12-06,2025-12-06,UNKNOWN,1,9,,,,,UNKNOWN,9,0.14,1,11,1,5,4,3
2,467,4,1,129,47,47,467,2,2,4,4,1,2,3688,5,3688,65,55,2,3494,2,6920999337184,02_blackNew_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,139,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '58.776667'}, {'action_type': 'subscribe_total', 'value': '58.776667'}]",1.366899,"[{'action_type': 'outbound_click', 'value': '1.366899'}]",1.366899,3.751702,0.37758,88.165,0.047812,0.047812,2.712769,88.165,0.050467,1.268561,22.54571,23.128279,1.777266,2025-12-06,2025-12-06,ABOVE_AVERAGE,1.025839,7821,1.649405,129,"[{'action_type': 'outbound_click', 'value': '129'}]","[{'action_type': 'outbound_click', 'value': '1.649405'}]",BELOW_AVERAGE_35,7624,176.33,352,5,339,3137,1879,1190
1,74,,,11,5,5,74,1,1,,,,1,172,,172,1,1,1,160,1,6920999337984,04_fbg_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,11,UNKNOWN,"[{'action_type': 'subscribe_mobile_app', 'value': '9.73'}, {'action_type': 'subscribe_total', 'value': '9.73'}]",0.884545,"[{'action_type': 'outbound_click', 'value': '0.884545'}]",0.884545,1.946,0.131486,9.73,0.05657,0.05657,9.73,9.73,0.060813,0.884545,21.152174,21.865169,2.391304,2025-12-06,2025-12-06,UNKNOWN,1.033708,460,2.391304,11,"[{'action_type': 'outbound_click', 'value': '11'}]","[{'action_type': 'outbound_click', 'value': '2.391304'}]",UNKNOWN,445,9.73,20,4,19,148,88,60
,5,,,1,,,5,,,,,,,19,,19,,,,18,,6922611488184,01_Cristiano_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,1,UNKNOWN,,2.88,"[{'action_type': 'outbound_click', 'value': '2.88'}]",2.88,,0.576,,0.151579,0.151579,,,0.16,2.88,41.73913,43.636364,1.449275,2025-12-06,2025-12-06,UNKNOWN,1.045455,69,1.449275,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.449275'}]",UNKNOWN,66,2.88,4,3,4,17,8,5
,1,,,,1,1,1,,,,,,,8,,8,,,,8,,6922613374584,01_Cristiano_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,0.77,0.77,,0.09625,0.09625,,,0.09625,,35,35,0,2025-12-06,2025-12-06,UNKNOWN,1,22,,,,,UNKNOWN,22,0.77,1,3,1,7,2,2
,1,,,2,,,1,,,,,,,22,,22,,,,20,,6922613549984,01_black4_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,2,UNKNOWN,,0.99,"[{'action_type': 'outbound_click', 'value': '0.99'}]",0.99,,1.98,,0.09,0.09,,,0.099,0.99,30.9375,32.459016,3.125,2025-12-06,2025-12-06,UNKNOWN,1.04918,64,3.125,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '3.125'}]",UNKNOWN,61,1.98,1,3,1,16,7,4
,25,,,,5,5,25,,,,,,,35,,35,1,1,,34,,6922613869184,01_Cristiano_luther - kendrick,6922613868984,luther (kendrick),6922611476584,FB_iOS_Purchase_RapSinging_251205,1,UNKNOWN,,,,,0.67,0.134,,0.095714,0.095714,3.35,,0.098529,3.35,22.18543,22.789116,0.662252,2025-12-06,2025-12-06,UNKNOWN,1.027211,151,,,,,UNKNOWN,147,3.35,5,3,5,29,16,10
,26,,,3,1,1,26,,,,,,,48,,48,1,1,,44,,6922614475984,02_Eddie_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,3,UNKNOWN,,1.11,"[{'action_type': 'outbound_click', 'value': '1.11'}]",1.11,3.33,0.128077,,0.069375,0.069375,3.33,,0.075682,1.11,24.306569,25.227273,2.189781,2025-12-06,2025-12-06,UNKNOWN,1.037879,137,2.189781,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '2.189781'}]",UNKNOWN,132,3.33,7,5,7,38,17,10
,5,,,4,,,5,,,,,,,33,,33,,,,29,,6922615092384,03_Gael_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,4,UNKNOWN,,0.905,"[{'action_type': 'outbound_click', 'value': '0.905'}]",0.905,,0.724,,0.109697,0.109697,,,0.124828,0.905,29.672131,30.940171,3.278689,2025-12-06,2025-12-06,UNKNOWN,1.042735,122,3.278689,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '3.278689'}]",UNKNOWN,117,3.62,3,3,3,24,7,4
,,,,,,,,,,,,,,5,,5,,,,5,,6922616414384,04_Javier_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,,,0.164,0.164,,,0.164,,24.848485,25.625,0,2025-12-06,2025-12-06,UNKNOWN,1.03125,33,,,,,UNKNOWN,32,0.82,1,2,1,5,2,2
,3,,,5,,,3,,,,,,,56,,56,,,,51,,6922617151984,05_Jesus_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,6,UNKNOWN,,1.286,"[{'action_type': 'outbound_click', 'value': '1.286'}]",1.286,,2.143333,,0.114821,0.114821,,,0.126078,1.071667,40.696203,42.026144,3.797468,2025-12-06,2025-12-06,UNKNOWN,1.03268,158,3.164557,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '3.164557'}]",UNKNOWN,153,6.43,6,3,6,46,16,11
1,34,1,,5,6,6,34,1,1,,,,1,68,,68,1,1,1,62,1,6922617314184,06_LioneM_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,6,UNKNOWN,,1.954,"[{'action_type': 'outbound_click', 'value': '1.954'}]",1.954,1.628333,0.287353,9.77,0.143676,0.143676,9.77,9.77,0.157581,1.628333,24.796954,26.693989,1.522843,2025-12-06,2025-12-06,UNKNOWN,1.076503,394,1.269036,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '1.269036'}]",UNKNOWN,366,9.77,13,2,11,55,30,18
,24,,,5,4,4,24,,,,,,,140,,140,1,1,,134,,6922617563384,07_Morgan_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,6,ABOVE_AVERAGE,,3.532,"[{'action_type': 'outbound_click', 'value': '3.532'}]",3.532,4.415,0.735833,,0.126143,0.126143,17.66,,0.131791,2.943333,28.438003,30.239726,0.966184,2025-12-06,2025-12-06,AVERAGE,1.063356,621,0.805153,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '0.805153'}]",BELOW_AVERAGE_35,584,17.66,14,3,11,113,45,30
,3,1,,2,,,3,,,,,,,43,,43,,,,41,,6922617753784,09_oscar_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,2,UNKNOWN,,2.16,"[{'action_type': 'outbound_click', 'value': '2.16'}]",2.16,,1.44,,0.100465,0.100465,,,0.105366,2.16,32.238806,32.977099,1.492537,2025-12-06,2025-12-06,UNKNOWN,1.022901,134,1.492537,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '1.492537'}]",UNKNOWN,131,4.32,7,4,8,36,18,10
,,,,1,,,,,,,,,,10,,10,,,,9,,6922618733184,08_Neymar_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,1,UNKNOWN,,0.52,"[{'action_type': 'outbound_click', 'value': '0.52'}]",0.52,,,,0.052,0.052,,,0.057778,0.52,24.761905,24.761905,4.761905,2025-12-06,2025-12-06,UNKNOWN,1,21,4.761905,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '4.761905'}]",UNKNOWN,21,0.52,3,5,3,9,5,5
,,,,,,,,,,1,1,,,20,,20,1,,,19,,6922620119984,10_Pedro_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,,,0.13,0.13,2.6,,0.136842,,37.142857,41.935484,0,2025-12-06,2025-12-06,UNKNOWN,1.129032,70,,,,,UNKNOWN,62,2.6,2,4,2,15,4,2
,11,,,5,2,2,11,,,,,1,,104,,104,2,2,,97,,6922620236784,11_Timmy_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,6,UNKNOWN,,2.468,"[{'action_type': 'outbound_click', 'value': '2.468'}]",2.468,6.17,1.121818,,0.118654,0.118654,6.17,,0.127216,2.056667,32.473684,35.45977,1.578947,2025-12-06,2025-12-06,UNKNOWN,1.091954,380,1.315789,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '1.315789'}]",UNKNOWN,348,12.34,10,3,9,79,38,25
,7,,,4,3,3,7,,,,,,,91,,91,1,1,,86,,6922620509184,12_Tyson_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,6,UNKNOWN,,2.975,"[{'action_type': 'outbound_click', 'value': '2.975'}]",2.975,3.966667,1.7,,0.130769,0.130769,11.9,,0.138372,1.983333,36.956522,41.034483,1.863354,2025-12-06,2025-12-06,UNKNOWN,1.110345,322,1.242236,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '1.242236'}]",UNKNOWN,290,11.9,12,3,11,78,27,16
,27,,,11,7,7,27,,,,,,,334,,334,2,2,,321,,6922620631584,02_Eddie_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,12,ABOVE_AVERAGE,,2.17,"[{'action_type': 'outbound_click', 'value': '2.17'}]",2.17,3.41,0.884074,,0.071467,0.071467,11.935,,0.074361,1.989167,27.032843,29.003645,1.359003,2025-12-06,2025-12-06,AVERAGE,1.072904,883,1.245753,11,"[{'action_type': 'outbound_click', 'value': '11'}]","[{'action_type': 'outbound_click', 'value': '1.245753'}]",BELOW_AVERAGE_35,823,23.87,31,4,30,270,120,67
,,,,,,,,,,,,,,2,,2,,,,2,,6922620662784,03_Gael_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,,,0.065,0.065,,,0.065,,26,26,0,2025-12-06,2025-12-06,UNKNOWN,1,5,,,,,UNKNOWN,5,0.13,,3,,2,,
,32,,,7,1,1,32,,,,,,,114,,114,1,1,,106,,6922620689584,04_Javier_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,7,UNKNOWN,,1.388571,"[{'action_type': 'outbound_click', 'value': '1.388571'}]",1.388571,9.72,0.30375,,0.085263,0.085263,9.72,,0.091698,1.388571,26.77686,28.338192,1.928375,2025-12-06,2025-12-06,UNKNOWN,1.058309,363,1.928375,7,"[{'action_type': 'outbound_click', 'value': '7'}]","[{'action_type': 'outbound_click', 'value': '1.928375'}]",UNKNOWN,343,9.72,8,3,8,83,31,21
