action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,3,,3,,,,3,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.02,0.02,,,0.02,,20,30,0,2025-12-04,2025-12-04,1.5,3,,,,,audience_network,2,0.06,1,9,1,3,2,1
,,,,1,,,,,,,,,,8,,8,,,,7,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,1.04,"[{'action_type': 'outbound_click', 'value': '1.04'}]",1.04,,,,0.13,0.13,,,0.148571,1.04,33.548387,37.142857,3.225806,2025-12-04,2025-12-04,1.107143,31,3.225806,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '3.225806'}]",facebook,28,1.04,1,3,1,6,2,2
,,,,,,,,,,,,,,3,,3,,,,3,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.176667,0.176667,,,0.176667,,48.181818,53,0,2025-12-04,2025-12-04,1.1,11,,,,,instagram,10,0.53,,2,,2,1,1
,,,,,,,,,,,,,,1,,1,,,,1,,6916167702784,08 aiartist3,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.06,0.06,,,0.06,,60,60,0,2025-12-04,2025-12-04,1,1,,,,,facebook,1,0.06,1,14,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,6916167868984,09 anomansollips,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,13.333333,13.333333,0,2025-12-04,2025-12-04,1,3,,,,,instagram,3,0.04,,1,,,,
,,,,,,,,,,,,,,4,,4,,,,4,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.0125,0.0125,,,0.0125,,12.500293,25.000586,0,2025-12-04,2025-12-04,2,4,,,,,audience_network,2,0.050001,2,12,2,4,4,3
1,95,,,31,6,6,95,1,1,,,2,1,841,,841,11,11,1,799,1,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,30,"[{'action_type': 'subscribe_mobile_app', 'value': '60.511417'}, {'action_type': 'subscribe_total', 'value': '60.511417'}]",1.951981,"[{'action_type': 'outbound_click', 'value': '1.951981'}]",1.951981,10.085236,0.636962,60.511417,0.071952,0.071952,5.501038,60.511417,0.075734,2.017047,29.274996,32.498076,1.451379,2025-12-04,2025-12-04,1.110097,2067,1.499758,31,"[{'action_type': 'outbound_click', 'value': '31'}]","[{'action_type': 'outbound_click', 'value': '1.499758'}]",facebook,1862,60.511417,129,4,124,731,386,245
12,709,,,128,57,57,709,12,12,11,11,6,12,3685,3,3685,78,64,12,3479,12,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,165,"[{'action_type': 'subscribe_mobile_app', 'value': '40.467614'}, {'action_type': 'subscribe_total', 'value': '40.467614'}]",2.845379,"[{'action_type': 'outbound_click', 'value': '2.845379'}]",2.845379,6.389623,0.513693,30.350711,0.098835,0.098835,4.66934,30.350711,0.104688,2.207324,37.894967,40.418214,1.716783,2025-12-04,2025-12-04,1.066585,9611,1.331807,128,"[{'action_type': 'outbound_click', 'value': '128'}]","[{'action_type': 'outbound_click', 'value': '1.331807'}]",instagram,9011,364.20853,397,4,397,3156,1518,965
,,,,1,,,,,,,,,,58,,58,,,,57,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,2.210052,"[{'action_type': 'outbound_click', 'value': '2.210052'}]",2.210052,,,,0.038104,0.038104,,,0.038773,2.210052,19.910376,19.910376,0.900901,2025-12-04,2025-12-04,1,111,0.900901,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.900901'}]",threads,111,2.210052,16,10,16,54,33,22
,,,,,,,,,,,,,,,,,,,,,,6916170650384,18 esha,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,40,40,0,2025-12-04,2025-12-04,1,1,,,,,facebook,1,0.04,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,6916170650384,18 esha,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,10,10,0,2025-12-04,2025-12-04,1,2,,,,,instagram,2,0.02,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,6916171835184,16 Curry,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,0,0,0,2025-12-04,2025-12-04,1,1,,,,,facebook,1,0,,,,,,
,,,,,,,,,,,,,,1,,1,,,,1,,6916171835184,16 Curry,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-04,2025-12-04,1,1,,,,,instagram,1,0.01,,4,,1,,
,,,,,,,,,,,,,,,,,,,,,,6916172137384,17 Lebrone,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,20,20,0,2025-12-04,2025-12-04,1,1,,,,,facebook,1,0.02,,2,,,,
