action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,age,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,1,,,,,,,,,5,,5,,,,4,,6912300992384,16 sina_Anime,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,45-54,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,1,,0.59,"[{'action_type': 'outbound_click', 'value': '0.59'}]",0.59,,,,0.118,0.118,,,0.1475,0.59,31.052632,45.384615,5.263158,2025-11-22,2025-11-22,1.461538,19,5.263158,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '5.263158'}]",13,0.59,2,4,2,4,3,3
,,,,,,,,,,,,,1,,1,,,,1,,6912300992384,16 sina_Anime,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,55-64,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,0,,,,,,,,0.02,0.02,,,0.02,,6.666667,6.666667,0,2025-11-22,2025-11-22,1,3,,,,,3,0.02,,2,,,,
,,,,,,,,,,,,,,,,,,,,,6912300992384,16 sina_Anime,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,65+,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,0,,,,,,,,,,,,,,0,0,0,2025-11-22,2025-11-22,1,1,,,,,1,0,,1,,,,
,1,,,,,,1,,,,,,5,,5,1,1,,4,,6912301641384,02 anomansollips_A_hyperealistic_Y2K,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,18-24,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,0,,,,,,0.67,,0.134,0.134,0.67,,0.1675,,44.666667,44.666667,0,2025-11-22,2025-11-22,1,15,,,,,15,0.67,2,4,2,3,2,2
,9,,,1,1,1,9,,,,,,10,,10,,,,9,,6912301641384,02 anomansollips_A_hyperealistic_Y2K,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,25-34,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,1,,1.08,"[{'action_type': 'outbound_click', 'value': '1.08'}]",1.08,1.08,0.12,,0.108,0.108,,,0.12,1.08,27.692308,29.189189,2.564103,2025-11-22,2025-11-22,1.054054,39,2.564103,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '2.564103'}]",37,1.08,,2,,6,3,
,1,,,,1,1,1,,,,,,7,,7,,,,7,,6912301641384,02 anomansollips_A_hyperealistic_Y2K,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,35-44,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,0,,,,,0.43,0.43,,0.061429,0.061429,,,0.061429,,19.545455,19.545455,0,2025-11-22,2025-11-22,1,22,,,,,22,0.43,,2,,7,2,
,,,,1,,,,,,,,,3,,3,,,,2,,6912301641384,02 anomansollips_A_hyperealistic_Y2K,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,45-54,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,1,,0.34,"[{'action_type': 'outbound_click', 'value': '0.34'}]",0.34,,,,0.113333,0.113333,,,0.17,0.34,28.333333,28.333333,8.333333,2025-11-22,2025-11-22,1,12,8.333333,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '8.333333'}]",12,0.34,,2,,1,,
,,,,,,,,,,,,,4,,4,,,,4,,6912301641384,02 anomansollips_A_hyperealistic_Y2K,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,55-64,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,0,,,,,,,,0.2625,0.2625,,,0.2625,,150,150,0,2025-11-22,2025-11-22,1,7,,,,,7,1.05,2,7,2,3,3,2
,,,,,,,,,,,,,,,,,,,,,6912302343584,04 creatydesign06_natural-looking_y2k,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,18-24,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,0,,,,,,,,,,,,,,23.333333,23.333333,0,2025-11-22,2025-11-22,1,9,,,,,9,0.21,,2,,,,
,1,,,,,,1,,,,,,25,,25,,,,25,,6912302343584,04 creatydesign06_natural-looking_y2k,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,25-34,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,1,,,,,,3.41,,0.1364,0.1364,,,0.1364,3.41,34.1,37.065217,1,2025-11-22,2025-11-22,1.086957,100,,,,,92,3.41,6,3,6,24,14,9
,5,,,2,1,1,5,,,,,,98,,98,1,1,,95,,6912302343584,04 creatydesign06_natural-looking_y2k,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,35-44,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,2,,5.89,"[{'action_type': 'outbound_click', 'value': '5.89'}]",5.89,11.78,2.356,,0.120204,0.120204,11.78,,0.124,5.89,34.647059,36.697819,0.588235,2025-11-22,2025-11-22,1.05919,340,0.588235,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '0.588235'}]",321,11.78,11,3,10,84,39,20
,4,,,3,2,2,4,,,,,,81,1,81,3,2,,75,,6912302343584,04 creatydesign06_natural-looking_y2k,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,45-54,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,3,,3.753333,"[{'action_type': 'outbound_click', 'value': '3.753333'}]",3.753333,5.63,2.815,,0.139012,0.139012,3.753333,,0.150133,3.753333,45.772358,49.385965,1.219512,2025-11-22,2025-11-22,1.078947,246,1.219512,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '1.219512'}]",228,11.26,15,4,15,67,36,22
,2,,1,3,,,2,,,,,,53,,53,2,1,,48,,6912302343584,04 creatydesign06_natural-looking_y2k,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,55-64,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,3,,1.906667,"[{'action_type': 'outbound_click', 'value': '1.906667'}]",1.906667,,2.86,,0.107925,0.107925,2.86,,0.119167,1.906667,55,65,2.884615,2025-11-22,2025-11-22,1.181818,104,2.884615,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '2.884615'}]",88,5.72,8,5,8,39,20,10
,,,,,,,,,,,,,4,,4,,,,4,,6912302343584,04 creatydesign06_natural-looking_y2k,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,65+,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,0,,,,,,,,0.0875,0.0875,,,0.0875,,26.923077,29.166667,0,2025-11-22,2025-11-22,1.083333,13,,,,,12,0.35,1,3,1,3,2,2
,1,,,,,,1,,,,,,,,,,,,,,6912304741984,10 kimk-braids_kpop,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,18-24,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,0,,,,,,0,,,,,,,,,,,2025-11-22,2025-11-22,0,0,,,,,0,0,,,,,,
