action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,age,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,,,,,,,,6916171835184,16 Curry,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,10,10,0,2025-12-09,2025-12-09,1,1,,,,,1,0.01,,3,,,,
,,,,,,,,,,,,,,,,,,,,,,,6916171835184,16 Curry,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,20,20,0,2025-12-09,2025-12-09,1,1,,,,,1,0.02,,2,,,,
,,,,,,,,,,,,,,,3,,3,,,,3,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,18-24,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.326667,0.326667,,,0.326667,,98,98,0,2025-12-09,2025-12-09,1,10,,,,,10,0.98,2,4,2,3,2,2
,2,,,1,,,2,,,1,,,,,39,,39,1,1,,37,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,3,,4.27,"[{'action_type': 'outbound_click', 'value': '4.27'}]",4.27,,2.135,,0.109487,0.109487,4.27,,0.115405,1.423333,27.908497,28.851351,1.960784,2025-12-09,2025-12-09,1.033784,153,0.653595,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.653595'}]",148,4.27,4,2,3,32,15,9
,10,,,6,,,10,,,1,,,,,162,,162,1,1,,155,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,6,,3.081667,"[{'action_type': 'outbound_click', 'value': '3.081667'}]",3.081667,,1.849,,0.114136,0.114136,18.49,,0.11929,3.081667,31.180438,33.255396,1.011804,2025-12-09,2025-12-09,1.066547,593,1.011804,6,"[{'action_type': 'outbound_click', 'value': '6'}]","[{'action_type': 'outbound_click', 'value': '1.011804'}]",556,18.49,17,3,17,134,60,34
,26,,,12,3,3,26,,,1,,,1,,363,1,363,3,2,,348,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,12,,3.226667,"[{'action_type': 'outbound_click', 'value': '3.226667'}]",3.226667,12.906667,1.489231,,0.106667,0.106667,12.906667,,0.111264,3.226667,39.95872,40.757895,1.23839,2025-12-09,2025-12-09,1.02,969,1.23839,12,"[{'action_type': 'outbound_click', 'value': '12'}]","[{'action_type': 'outbound_click', 'value': '1.23839'}]",950,38.72,35,3,34,309,131,93
,15,1,,9,1,1,15,,,4,,,,,279,,279,4,4,,266,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,9,"[{'action_type': 'subscribe_mobile_app', 'value': '26.84'}, {'action_type': 'subscribe_total', 'value': '26.84'}, {'action_type': 'start_trial_mobile_app', 'value': '26.84'}, {'action_type': 'start_trial_total', 'value': '26.84'}]",2.982222,"[{'action_type': 'outbound_click', 'value': '2.982222'}]",2.982222,26.84,1.789333,,0.096201,0.096201,6.71,,0.100902,2.982222,47.087719,49.795918,1.578947,2025-12-09,2025-12-09,1.057514,570,1.578947,9,"[{'action_type': 'outbound_click', 'value': '9'}]","[{'action_type': 'outbound_click', 'value': '1.578947'}]",539,26.84,42,5,39,245,137,94
,,,,2,,,,,,,,,,,57,,57,,,,55,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,65+,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,3,,3.36,"[{'action_type': 'outbound_click', 'value': '3.36'}]",3.36,,,,0.117895,0.117895,,,0.122182,2.24,56.470588,58.434783,2.521008,2025-12-09,2025-12-09,1.034783,119,1.680672,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '1.680672'}]",115,6.72,8,5,7,49,30,20
,,,,,,,,,,,,,,,,,,,,,,,6917461954584,02 snoop_loseYourself - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,18-24,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,30,30,0,2025-12-09,2025-12-09,1,2,,,,,2,0.06,,1,,,,
,,,,,,,,,,,,,,,2,,2,,,,2,,6917461954584,02 snoop_loseYourself - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.07,0.07,,,0.07,,23.333333,23.333333,0,2025-12-09,2025-12-09,1,6,,,,,6,0.14,,2,,2,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6917461954584,02 snoop_loseYourself - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.03,0.03,,,0.03,,7.5,7.5,0,2025-12-09,2025-12-09,1,4,,,,,4,0.03,,2,,1,,
,,,,,,,,,,,,,,,,,,,,,,,6917461955184,03 will_loseYourself - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,18-24,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,25,25,0,2025-12-09,2025-12-09,1,2,,,,,2,0.05,,2,,,,
,,,,,,,,,,,,,,,4,,4,,,,4,,6917461955184,03 will_loseYourself - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.0525,0.0525,,,0.0525,,14,14,0,2025-12-09,2025-12-09,1,15,,,,,15,0.21,,2,,4,1,1
,,,,,,,,,,,,,,,13,,13,,,,13,,6917461955184,03 will_loseYourself - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.033846,0.033846,,,0.033846,,14.666667,14.666667,0,2025-12-09,2025-12-09,1,30,,,,,30,0.44,1,4,1,10,4,2
