action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,2,,,,,,2,,,,,,,,4,,4,,,,4,,6917461955384,03 Snoop_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,0.07,,0.035,0.035,,,0.035,,15.555556,15.555556,0,2025-12-10,2025-12-10,1,male,9,,,,,9,0.14,1,5,1,4,3,2
,,,,,,,,,,,,,,,,,,,,,,,6917461955784,03 Mike_gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,15,15,0,2025-12-10,2025-12-10,1,male,2,,,,,2,0.03,,2,,,,
,,,,,,,,,,,,,,,3,,3,,,,3,,6917461955984,02 Mike_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.016667,0.016667,,,0.016667,,12.5,12.5,0,2025-12-10,2025-12-10,1,male,4,,,,,4,0.05,,7,,3,2,
,,,,,,,,,,,,,,,,,,,,,,,6917461956584,01 Santa_slim - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,10,10,0,2025-12-10,2025-12-10,1,female,1,,,,,1,0.01,,2,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6917461956584,01 Santa_slim - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.02,0.02,,,0.02,,20,20,0,2025-12-10,2025-12-10,1,male,1,,,,,1,0.02,,3,,,,
,,,,,,,,,,,,,,,,,,,,,,,6917461956584,01 Santa_slim - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,0,0,0,2025-12-10,2025-12-10,1,unknown,1,,,,,1,0,,1,,,,
,13,,,8,3,3,13,,,4,,,,,356,,356,4,4,,344,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,8,,1.69,"[{'action_type': 'outbound_click', 'value': '1.69'}]",1.69,4.506667,1.04,,0.037978,0.037978,3.38,,0.039302,1.69,15.943396,16.9,0.943396,2025-12-10,2025-12-10,1.06,female,848,0.943396,8,"[{'action_type': 'outbound_click', 'value': '8'}]","[{'action_type': 'outbound_click', 'value': '0.943396'}]",800,13.52,31,4,31,298,150,88
,520,1,,92,30,30,520,,,27,,,,,3381,1,3381,28,27,,3261,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,103,"[{'action_type': 'subscribe_mobile_app', 'value': '11.541'}, {'action_type': 'subscribe_total', 'value': '11.541'}, {'action_type': 'start_trial_mobile_app', 'value': '12.823333'}, {'action_type': 'start_trial_total', 'value': '12.823333'}]",1.254457,"[{'action_type': 'outbound_click', 'value': '1.254457'}]",1.254457,3.847,0.221942,,0.034135,0.034135,4.121786,,0.035391,1.120485,13.58404,14.248148,1.212335,2025-12-10,2025-12-10,1.048889,male,8496,1.082863,92,"[{'action_type': 'outbound_click', 'value': '92'}]","[{'action_type': 'outbound_click', 'value': '1.082863'}]",8100,115.41,301,5,297,2903,1469,898
,,,,,,,,,,,,,,,21,,21,,,,21,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.040476,0.040476,,,0.040476,,17,17.708333,0,2025-12-10,2025-12-10,1.041667,unknown,50,,,,,48,0.85,4,5,4,19,12,10
,2,,,,,,2,,,,,,,,,,,,,,,,6917461957184,01 Jesus_travis - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,0,,,,,,,,,,,2025-12-10,2025-12-10,0,female,0,,,,,0,0,,,,,,
