action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,age,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,,,,,,,6916172137384,17 Lebrone,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,40,40,0,2025-12-06,2025-12-06,1,1,,,,,1,0.04,,2,,,,
,,,,,,,,,,,,,,16,,16,,,,16,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,18-24,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.085,0.085,,,0.085,,24.727273,25.185185,0,2025-12-06,2025-12-06,1.018519,55,,,,,54,1.36,2,3,2,14,6,2
,1,,1,1,,,1,,,,,,,123,,123,2,1,,120,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,4,,9.6,"[{'action_type': 'outbound_click', 'value': '9.6'}]",9.6,,9.6,,0.078049,0.078049,4.8,,0.08,2.4,19.393939,20.512821,0.808081,2025-12-06,2025-12-06,1.057692,495,0.20202,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.20202'}]",468,9.6,11,3,11,106,45,24
,16,,,12,2,2,16,,,,,,,451,,451,2,2,,437,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,14,,3.440833,"[{'action_type': 'outbound_click', 'value': '3.440833'}]",3.440833,20.645,2.580625,,0.091552,0.091552,20.645,,0.094485,2.949286,25.677861,28.203552,0.870647,2025-12-06,2025-12-06,1.098361,1608,0.746269,12,"[{'action_type': 'outbound_click', 'value': '12'}]","[{'action_type': 'outbound_click', 'value': '0.746269'}]",1464,41.29,29,3,30,376,165,97
,25,,,22,6,6,25,,,,,,,900,,900,9,9,,869,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,22,,3.527273,"[{'action_type': 'outbound_click', 'value': '3.527273'}]",3.527273,12.933333,3.104,,0.086222,0.086222,8.622222,,0.089298,3.527273,32.993197,35.547412,0.935374,2025-12-06,2025-12-06,1.077416,2352,0.935374,22,"[{'action_type': 'outbound_click', 'value': '22'}]","[{'action_type': 'outbound_click', 'value': '0.935374'}]",2183,77.6,105,4,102,739,365,245
,20,1,,13,5,5,20,,,,,,,586,3,586,9,6,,564,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,15,,3.327692,"[{'action_type': 'outbound_click', 'value': '3.327692'}]",3.327692,8.652,2.163,,0.073823,0.073823,4.806667,,0.076702,2.884,38.114537,41.676301,1.321586,2025-12-06,2025-12-06,1.093449,1135,1.145374,13,"[{'action_type': 'outbound_click', 'value': '13'}]","[{'action_type': 'outbound_click', 'value': '1.145374'}]",1038,43.26,79,5,73,507,274,200
,,,1,2,,,,,,,,,,116,,116,1,,,113,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,65+,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,2,,5.785,"[{'action_type': 'outbound_click', 'value': '5.785'}]",5.785,,,,0.099741,0.099741,11.57,,0.102389,5.785,48.410042,51.883408,0.83682,2025-12-06,2025-12-06,1.071749,239,0.83682,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '0.83682'}]",223,11.57,15,5,15,99,52,38
,1,,,,,,1,,,,,,,,,,,,,,,6916177886184,06 fbg og - Copy,6916176936184,FB_iOS_itoshi_rap_female,45-54,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,0,,,,,,,,,,,2025-12-06,2025-12-06,0,0,,,,,0,0,,,,,,
,1,,,,,,1,,,,,,,,,,,,,,,6916864174784,04 Morgan_Gin,6916855007184,FB_iOS_itoshi_rap_set2_271125,35-44,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,0,,,,,,,,,,,2025-12-06,2025-12-06,0,0,,,,,0,0,,,,,,
,1,,,,,,1,,,,,,,,,,,,,,,6920199460384,03_blackbodysuit_Big energy,6920175379584,Test_F_BigEnergy,45-54,6920175379984,FB_iOS_Install_Rap_CreativeTest_251202,0,,,,,,0,,,,,,,,,,,2025-12-06,2025-12-06,0,0,,,,,0,0,,,,,,
