action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916171454184,15 tyson,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.22,0.22,,,0.22,,27.5,27.5,0,2025-12-15,2025-12-15,1,male,8,,,,,8,0.22,1,3,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,15,15,0,2025-12-15,2025-12-15,1,female,2,,,,,2,0.03,,2,,,,
,,,,,,,,,,,,,,,,11,,11,,,,11,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,2,,,,,,,,0.062727,0.062727,,,0.062727,0.345,20.294118,20.294118,5.882353,2025-12-15,2025-12-15,1,male,34,,,,,34,0.69,2,4,2,10,6,5
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917461955784,03 Mike_gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.19,0.19,,,0.19,,27.142857,27.142857,0,2025-12-15,2025-12-15,1,male,7,,,,,7,0.19,,2,,,,
,,,,5,,,,,,,3,,,,,178,,178,3,3,,170,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,5,,1.228,"[{'action_type': 'outbound_click', 'value': '1.228'}]",1.228,,,,0.034494,0.034494,2.046667,,0.036118,1.228,12.738589,13.06383,1.037344,2025-12-15,2025-12-15,1.025532,female,482,1.037344,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '1.037344'}]",470,6.14,18,4,17,149,78,50
,506,1,1,97,38,38,506,,,,9,3,3,1,,2833,2,2833,16,10,,2720,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,96,"[{'action_type': 'subscribe_mobile_app', 'value': '9.462'}, {'action_type': 'subscribe_total', 'value': '9.462'}, {'action_type': 'start_trial_mobile_app', 'value': '9.462'}, {'action_type': 'start_trial_total', 'value': '9.462'}]",0.975464,"[{'action_type': 'outbound_click', 'value': '0.975464'}]",0.975464,2.49,0.186996,,0.033399,0.033399,5.91375,,0.034787,0.985625,12.622732,12.975864,1.280683,2025-12-15,2025-12-15,1.027976,male,7496,1.294023,97,"[{'action_type': 'outbound_click', 'value': '97'}]","[{'action_type': 'outbound_click', 'value': '1.294023'}]",7292,94.62,268,4,254,2453,1323,795
,,,,1,,,,,,,,,,,,15,,15,,,,14,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.56,"[{'action_type': 'outbound_click', 'value': '0.56'}]",0.56,,,,0.037333,0.037333,,,0.04,0.56,14,14.736842,2.5,2025-12-15,2025-12-15,1.052632,unknown,40,2.5,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '2.5'}]",38,0.56,,3,,12,5,1
,,,,,,,,,,,,,,,,3,,3,,,,3,,6917461957184,01 Jesus_travis - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.02,0.02,,,0.02,,10,10,0,2025-12-15,2025-12-15,1,male,6,,,,,6,0.06,,4,,3,1,1
,,,,,,,,,,,,,,,,3,,3,,,,3,,6917505479784,06 fbg og - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.036667,0.036667,,,0.036667,,22,22,0,2025-12-15,2025-12-15,1,female,5,,,,,5,0.11,,4,,2,1,
,,,,,,,,,,,,,,,,2,,2,,,,2,,6917505479784,06 fbg og - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.045,0.045,,,0.045,,22.5,30,0,2025-12-15,2025-12-15,1.333333,male,4,,,,,3,0.09,,3,,2,,
