action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,522,1,1,79,28,28,522,,,,,,1469,3,1469,17,13,,1373,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,73,"[{'action_type': 'subscribe_mobile_app', 'value': '43.463333'}, {'action_type': 'subscribe_total', 'value': '43.463333'}, {'action_type': 'start_trial_mobile_app', 'value': '8.692667'}, {'action_type': 'start_trial_total', 'value': '8.692667'}]",1.650506,"[{'action_type': 'outbound_click', 'value': '1.650506'}]",1.650506,4.656786,0.249789,,0.088761,0.088761,7.67,,0.094967,1.786164,27.312526,27.789855,1.529116,2025-11-29,2025-11-29,1.017477,4774,1.654797,79,"[{'action_type': 'outbound_click', 'value': '79'}]","[{'action_type': 'outbound_click', 'value': '1.654797'}]",facebook,4692,130.39,205,3,192,1297,663,380
,24,,,11,2,2,24,,,,,,281,2,281,9,7,,261,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,13,,2.237273,"[{'action_type': 'outbound_click', 'value': '2.461'}]",2.237273,12.305,1.025417,,0.08758,0.08758,2.734444,,0.094291,1.893077,26.320856,26.320856,1.390374,2025-11-29,2025-11-29,1,935,1.176471,11,"[{'action_type': 'outbound_click', 'value': '10'}]","[{'action_type': 'outbound_click', 'value': '1.069519'}]",instagram,935,24.61,31,4,31,250,127,74
,,,,1,,,,,,,,,77,,77,,,,76,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,3.64,"[{'action_type': 'outbound_click', 'value': '3.64'}]",3.64,,,,0.047273,0.047273,,,0.047895,3.64,21.538462,21.538462,0.591716,2025-11-29,2025-11-29,1,169,0.591716,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.591716'}]",threads,169,3.64,8,4,9,71,30,18
,,,,,,,,,,,,,2,,2,,,,2,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.015,0.015,,,0.015,,15,30,0,2025-11-29,2025-11-29,2,2,,,,,audience_network,1,0.03,,4,,2,,
,6,,,1,1,1,6,,,,,,3,,3,,,,2,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.66,"[{'action_type': 'outbound_click', 'value': '0.66'}]",0.66,0.66,0.11,,0.22,0.22,,,0.33,0.66,60,60,9.090909,2025-11-29,2025-11-29,1,11,9.090909,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '9.090909'}]",facebook,11,0.66,,1,,2,,
,,,,,,,,,,,,,1,,1,,,,1,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.24,0.24,,,0.24,,80,80,0,2025-11-29,2025-11-29,1,3,,,,,instagram,3,0.24,1,9,1,1,1,1
,5,,,,,,5,,,,,,3,,3,,,,3,,6916143260984,tyson_rap_2_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,0.12,,0.2,0.2,,,0.2,,25,26.086957,0,2025-11-29,2025-11-29,1.043478,24,,,,,facebook,23,0.6,,1,,3,,
,,,,,,,,,,,,,,,,,,,,,6916143260984,tyson_rap_2_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,10,10,0,2025-11-29,2025-11-29,1,2,,,,,instagram,2,0.02,,2,,,,
,,,,,,,,,,,,,1,,1,,,,1,,6916143260984,tyson_rap_2_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.06,0.06,,,0.06,,60,60,0,2025-11-29,2025-11-29,1,1,,,,,threads,1,0.06,,8,,1,,
,,,,,,,,,,,,,4,,4,,,,4,,6916163301184,02 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.2375,0.2375,,,0.2375,,59.375,67.857143,0,2025-11-29,2025-11-29,1.142857,16,,,,,facebook,14,0.95,1,5,1,4,2,2
,,,,,,,,,,,,,1,,1,,,,1,,6916163301184,02 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.13,0.13,,,0.13,,43.333333,43.333333,0,2025-11-29,2025-11-29,1,3,,,,,instagram,3,0.13,,4,,1,1,
