action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,age,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,23,,,1,1,1,23,,,1,,,,,88,,88,1,1,,86,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,4.67,"[{'action_type': 'outbound_click', 'value': '4.67'}]",4.67,4.67,0.203043,,0.053068,0.053068,4.67,,0.054302,4.67,19.87234,20.12931,0.425532,2025-12-10,2025-12-10,1.012931,235,0.425532,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.425532'}]",232,4.67,6,6,6,84,34,19
,67,,,6,3,3,67,,,,,,,,91,,91,,,,85,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,6,"[{'action_type': 'subscribe_mobile_app', 'value': '5.53'}, {'action_type': 'subscribe_total', 'value': '5.53'}, {'action_type': 'start_trial_mobile_app', 'value': '2.765'}, {'action_type': 'start_trial_total', 'value': '2.765'}]",0.921667,"[{'action_type': 'outbound_click', 'value': '0.921667'}]",0.921667,1.843333,0.082537,,0.060769,0.060769,,,0.065059,0.921667,27.929293,28.802083,3.030303,2025-12-10,2025-12-10,1.03125,198,3.030303,6,"[{'action_type': 'outbound_click', 'value': '6'}]","[{'action_type': 'outbound_click', 'value': '3.030303'}]",192,5.53,11,5,11,81,39,27
,,,,,,,,,,,,,,,16,,16,,,,16,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,55-64,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.05875,0.05875,,,0.05875,,26.857143,28.484848,0,2025-12-10,2025-12-10,1.060606,35,,,,,33,0.94,3,5,3,15,8,6
,,,,,,,,,,,,,,,,,,,,,,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,65+,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,40,40,0,2025-12-10,2025-12-10,1,1,,,,,1,0.04,,3,,,,
,,,,,,,,,,,,,,,,,,,,,,,6915585772984,jesus_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,65+,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,10,10,0,2025-12-10,2025-12-10,1,1,,,,,1,0.01,,1,,,,
,5,,,4,,,5,,,,,,,,73,,73,,,,69,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,18-24,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,4,,1.4375,"[{'action_type': 'outbound_click', 'value': '1.4375'}]",1.4375,,1.15,,0.078767,0.078767,,,0.083333,1.4375,25.219298,26.255708,1.754386,2025-12-10,2025-12-10,1.041096,228,1.754386,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '1.754386'}]",219,5.75,2,3,2,68,24,12
,81,1,,10,6,6,81,,,,,,,,311,,311,,,,301,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,10,"[{'action_type': 'subscribe_mobile_app', 'value': '24.67'}, {'action_type': 'subscribe_total', 'value': '24.67'}, {'action_type': 'start_trial_mobile_app', 'value': '12.335'}, {'action_type': 'start_trial_total', 'value': '12.335'}]",2.467,"[{'action_type': 'outbound_click', 'value': '2.467'}]",2.467,4.111667,0.304568,,0.079325,0.079325,,,0.08196,2.467,21.65935,24.162586,0.877963,2025-12-10,2025-12-10,1.115573,1139,0.877963,10,"[{'action_type': 'outbound_click', 'value': '10'}]","[{'action_type': 'outbound_click', 'value': '0.877963'}]",1021,24.67,47,3,45,286,150,93
,89,,,25,11,11,89,,,7,,,,,700,,700,7,7,,668,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,24,"[{'action_type': 'subscribe_mobile_app', 'value': '50.06'}, {'action_type': 'subscribe_total', 'value': '50.06'}, {'action_type': 'start_trial_mobile_app', 'value': '50.06'}, {'action_type': 'start_trial_total', 'value': '50.06'}]",2.0024,"[{'action_type': 'outbound_click', 'value': '2.0024'}]",2.0024,4.550909,0.562472,,0.071514,0.071514,7.151429,,0.07494,2.085833,23.381597,24.160232,1.120972,2025-12-10,2025-12-10,1.033301,2141,1.167679,25,"[{'action_type': 'outbound_click', 'value': '25'}]","[{'action_type': 'outbound_click', 'value': '1.167679'}]",2072,50.06,101,3,98,631,298,178
,166,,,30,18,18,166,,,5,,,,,551,1,551,6,5,,515,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,31,"[{'action_type': 'start_trial_mobile_app', 'value': '18.655'}, {'action_type': 'start_trial_total', 'value': '18.655'}]",1.243667,"[{'action_type': 'outbound_click', 'value': '1.243667'}]",1.243667,2.072778,0.224759,,0.067713,0.067713,6.218333,,0.072447,1.203548,27.494473,28.922481,2.284451,2025-12-10,2025-12-10,1.051938,1357,2.210759,30,"[{'action_type': 'outbound_click', 'value': '30'}]","[{'action_type': 'outbound_click', 'value': '2.210759'}]",1290,37.31,83,4,80,496,252,158
,21,,,10,2,2,21,,,4,,,,,125,,125,4,4,,111,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,55-64,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,9,,0.733,"[{'action_type': 'outbound_click', 'value': '0.733'}]",0.733,3.665,0.349048,,0.05864,0.05864,1.8325,,0.066036,0.814444,32.869955,34.093023,4.035874,2025-12-10,2025-12-10,1.037209,223,4.484305,10,"[{'action_type': 'outbound_click', 'value': '10'}]","[{'action_type': 'outbound_click', 'value': '4.484305'}]",215,7.33,25,6,24,107,53,38
,1,,,1,,,1,,,,,,,,13,,13,,,,12,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,65+,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,1.57,"[{'action_type': 'outbound_click', 'value': '1.57'}]",1.57,,1.57,,0.120769,0.120769,,,0.130833,1.57,40.25641,43.611111,2.564103,2025-12-10,2025-12-10,1.083333,39,2.564103,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '2.564103'}]",36,1.57,2,4,2,12,6,5
,,,,,,,,,,,,,,,,,,,,,,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,40,40,0,2025-12-10,2025-12-10,1,1,,,,,1,0.04,,,,,,
,,,,,,,,,,1,,,,,6,,6,1,1,,5,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.061667,0.061667,0.37,,0.074,,26.428571,26.428571,0,2025-12-10,2025-12-10,1,14,,,,,14,0.37,,3,,5,4,1
,,,,,,,,,,,,,,,,,,,,,,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,10,10,0,2025-12-10,2025-12-10,1,3,,,,,3,0.03,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,55-64,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,30,30,0,2025-12-10,2025-12-10,1,1,,,,,1,0.03,,1,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6916143260984,tyson_rap_2_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.03,0.03,,,0.03,,15,15,0,2025-12-10,2025-12-10,1,2,,,,,2,0.03,,6,,1,1,1
,,,,,,,,,,,,,,,3,,3,,,,3,,6916143260984,tyson_rap_2_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.02,0.02,,,0.02,,12,12,0,2025-12-10,2025-12-10,1,5,,,,,5,0.06,,4,,3,2,1
,,,,,,,,,,,,,,,1,,1,,,,1,,6916143260984,tyson_rap_2_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.02,0.02,,,0.02,,20,20,0,2025-12-10,2025-12-10,1,1,,,,,1,0.02,,6,,1,,
,,,,,,,,,,,,,,,,,,,,,,,6916144704984,jesus_rap_1_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,0,0,0,2025-12-10,2025-12-10,1,1,,,,,1,0,,,,,,
,,,,,,,,,,,,,,,4,,4,,,,4,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,18-24,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.0975,0.0975,,,0.0975,,27.857143,27.857143,0,2025-12-10,2025-12-10,1,14,,,,,14,0.39,,2,,4,1,
,26,,,2,4,4,26,,,1,,,,,72,,72,1,1,,69,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,2,"[{'action_type': 'subscribe_mobile_app', 'value': '3.66'}, {'action_type': 'subscribe_total', 'value': '3.66'}, {'action_type': 'start_trial_mobile_app', 'value': '3.66'}, {'action_type': 'start_trial_total', 'value': '3.66'}]",1.83,"[{'action_type': 'outbound_click', 'value': '1.83'}]",1.83,0.915,0.140769,,0.050833,0.050833,3.66,,0.053043,1.83,15.378151,15.708155,0.840336,2025-12-10,2025-12-10,1.021459,238,0.840336,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '0.840336'}]",233,3.66,9,3,9,66,38,25
,111,,,22,8,8,111,,,15,1,1,,,663,1,663,17,15,,624,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,28,"[{'action_type': 'subscribe_mobile_app', 'value': '10.52'}, {'action_type': 'subscribe_total', 'value': '10.52'}, {'action_type': 'start_trial_mobile_app', 'value': '14.026667'}, {'action_type': 'start_trial_total', 'value': '14.026667'}]",1.912727,"[{'action_type': 'outbound_click', 'value': '1.912727'}]",1.912727,5.26,0.379099,,0.063469,0.063469,2.475294,,0.067436,1.502857,22.635826,23.613917,1.506186,2025-12-10,2025-12-10,1.04321,1859,1.183432,22,"[{'action_type': 'outbound_click', 'value': '22'}]","[{'action_type': 'outbound_click', 'value': '1.183432'}]",1782,42.08,48,4,49,565,261,156
1,267,,,28,18,18,267,1,1,12,2,2,,1,794,2,794,16,12,1,750,1,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,31,"[{'action_type': 'subscribe_mobile_app', 'value': '6.26625'}, {'action_type': 'subscribe_total', 'value': '6.26625'}, {'action_type': 'start_trial_mobile_app', 'value': '7.161429'}, {'action_type': 'start_trial_total', 'value': '7.161429'}]",1.790357,"[{'action_type': 'outbound_click', 'value': '1.790357'}]",1.790357,2.785,0.187753,50.13,0.063136,0.063136,3.133125,50.13,0.06684,1.617097,29.575221,30.51126,1.828909,2025-12-10,2025-12-10,1.031649,1695,1.651917,28,"[{'action_type': 'outbound_click', 'value': '28'}]","[{'action_type': 'outbound_click', 'value': '1.651917'}]",1643,50.13,82,5,82,686,338,210
,,,,,,,,,,1,,,,,100,,100,1,1,,99,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.0569,0.0569,5.69,,0.057475,,29.481865,30.427807,0,2025-12-10,2025-12-10,1.032086,193,,,,,187,5.69,13,5,12,91,54,32
,,,,,,,,,,,,,,,22,,22,,,,22,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,65+,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.042727,0.042727,,,0.042727,,21.860465,22.380952,0,2025-12-10,2025-12-10,1.02381,43,,,,,42,0.94,3,8,3,21,11,6
,,,,,,,,,,,,,,,,,,,,,,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,18-24,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,10,10,0,2025-12-10,2025-12-10,1,1,,,,,1,0.01,,1,,,,
,,,,,,,,,,,,,,,2,,2,,,,2,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.05,0.05,,,0.05,,12.5,12.5,0,2025-12-10,2025-12-10,1,8,,,,,8,0.1,,1,,2,,
,,,,,,,,,,2,,,,,12,,12,2,2,,10,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.035,0.035,0.21,,0.042,,15.555556,15.555556,0,2025-12-10,2025-12-10,1,27,,,,,27,0.42,2,4,2,9,7,2
,,,,,,,,,,,,,,,8,,8,,,,8,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,,,,,,,0.06,0.06,,,0.06,0.48,26.666667,26.666667,5.555556,2025-12-10,2025-12-10,1,18,,,,,18,0.48,,4,,7,4,1
,,,,,,,,,,,,,,,4,,4,,,,4,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.045,0.045,,,0.045,,22.5,22.5,0,2025-12-10,2025-12-10,1,8,,,,,8,0.18,,4,,4,3,1
,,,,,,,,,,,,,,,1,,1,,,,1,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,65+,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-10,2025-12-10,1,1,,,,,1,0.01,,3,,,,
,1,,,1,,,1,,,,,,,,10,,10,,,,9,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,18-24,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,0.51,"[{'action_type': 'outbound_click', 'value': '0.51'}]",0.51,,0.51,,0.051,0.051,,,0.056667,0.51,24.285714,26.842105,4.761905,2025-12-10,2025-12-10,1.105263,21,4.761905,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '4.761905'}]",19,0.51,,3,,5,3,2
,3,1,,1,1,1,3,,,,,,,,35,,35,,,,34,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,4.67,"[{'action_type': 'outbound_click', 'value': '4.67'}]",4.67,4.67,1.556667,,0.133429,0.133429,,,0.137353,4.67,28.82716,29.556962,0.617284,2025-12-10,2025-12-10,1.025316,162,0.617284,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.617284'}]",158,4.67,8,3,8,30,16,12
,2,,,3,,,2,,,1,,,,,220,,220,1,1,,216,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,3,,7.05,"[{'action_type': 'outbound_click', 'value': '7.05'}]",7.05,,10.575,,0.096136,0.096136,21.15,,0.097917,7.05,32.538462,33.948636,0.461538,2025-12-10,2025-12-10,1.043339,650,0.461538,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '0.461538'}]",623,21.15,20,3,19,191,92,51
,23,2,,11,3,3,23,,,1,,,,,460,1,460,2,1,,447,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,12,"[{'action_type': 'subscribe_mobile_app', 'value': '44.28'}, {'action_type': 'subscribe_total', 'value': '44.28'}, {'action_type': 'start_trial_mobile_app', 'value': '44.28'}, {'action_type': 'start_trial_total', 'value': '44.28'}]",4.025455,"[{'action_type': 'outbound_click', 'value': '4.025455'}]",4.025455,14.76,1.925217,,0.096261,0.096261,22.14,,0.09906,3.69,37.717206,39.571046,1.022147,2025-12-10,2025-12-10,1.049151,1174,0.936968,11,"[{'action_type': 'outbound_click', 'value': '11'}]","[{'action_type': 'outbound_click', 'value': '0.936968'}]",1119,44.28,57,4,57,390,204,128
,25,,,9,2,2,25,,,5,1,1,,,300,,300,6,5,,285,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,9,,3.791111,"[{'action_type': 'outbound_click', 'value': '3.791111'}]",3.791111,17.06,1.3648,,0.113733,0.113733,5.686667,,0.119719,3.791111,55.479675,60.176367,1.463415,2025-12-10,2025-12-10,1.084656,615,1.463415,9,"[{'action_type': 'outbound_click', 'value': '9'}]","[{'action_type': 'outbound_click', 'value': '1.463415'}]",567,34.12,49,5,50,259,154,115
,2,,,3,,,2,,,,,,,,49,,49,,,,46,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,65+,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,3,,2.036667,"[{'action_type': 'outbound_click', 'value': '2.036667'}]",2.036667,,3.055,,0.124694,0.124694,,,0.132826,2.036667,53.596491,57.641509,2.631579,2025-12-10,2025-12-10,1.075472,114,2.631579,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '2.631579'}]",106,6.11,8,4,8,40,21,14
,,,,,,,,,,,,,,,,,,,,,,,6917461954784,04 will_rapGod - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,20,20,0,2025-12-10,2025-12-10,1,1,,,,,1,0.02,,2,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,18-24,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.05,0.05,,,0.05,,16.666667,16.666667,0,2025-12-10,2025-12-10,1,3,,,,,3,0.05,,3,,1,,
