action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,,,,,,,,,6917461955784,03 Mike_gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,20,20,0,2025-12-12,2025-12-12,1,male,2,,,,,2,0.04,,1,,,,
,24,,,10,2,2,24,,,,,,,,,276,,276,,,,266,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,10,"[{'action_type': 'start_trial_mobile_app', 'value': '11.82'}, {'action_type': 'start_trial_total', 'value': '11.82'}]",1.182,"[{'action_type': 'outbound_click', 'value': '1.182'}]",1.182,5.91,0.4925,,0.042826,0.042826,,,0.044436,1.182,15.251613,15.614267,1.290323,2025-12-12,2025-12-12,1.023778,female,775,1.290323,10,"[{'action_type': 'outbound_click', 'value': '10'}]","[{'action_type': 'outbound_click', 'value': '1.290323'}]",757,11.82,24,4,22,225,107,63
,369,2,1,107,36,36,369,,,,18,,,2,,3083,3,3083,24,20,,2952,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,114,"[{'action_type': 'subscribe_mobile_app', 'value': '9.217692'}, {'action_type': 'subscribe_total', 'value': '9.217692'}, {'action_type': 'start_trial_mobile_app', 'value': '7.988667'}, {'action_type': 'start_trial_total', 'value': '7.988667'}]",1.119907,"[{'action_type': 'outbound_click', 'value': '1.119907'}]",1.119907,3.328611,0.324743,,0.038868,0.038868,4.992917,,0.040593,1.05114,14.484468,15.15301,1.377977,2025-12-12,2025-12-12,1.046156,male,8273,1.293364,107,"[{'action_type': 'outbound_click', 'value': '107'}]","[{'action_type': 'outbound_click', 'value': '1.293364'}]",7908,119.83,242,4,233,2592,1334,787
,,,,1,,,,,,,,,,,,13,,13,,,,12,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.79,"[{'action_type': 'outbound_click', 'value': '0.79'}]",0.79,,,,0.060769,0.060769,,,0.065833,0.79,16.808511,17.954545,2.12766,2025-12-12,2025-12-12,1.068182,unknown,47,2.12766,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '2.12766'}]",44,0.79,2,4,2,11,5,3
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917505479784,06 fbg og - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.09,0.09,,,0.09,,22.5,22.5,0,2025-12-12,2025-12-12,1,female,4,,,,,4,0.09,,3,,1,,
,9,,,,,,9,,,,,,,,,,,,,,,,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,0.005556,,,,,,,,12.5,12.5,0,2025-12-12,2025-12-12,1,female,4,,,,,4,0.05,,1,,,,
,707,,1,115,54,54,707,,,,19,,,,,2432,2,2432,22,19,,2295,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,117,"[{'action_type': 'subscribe_mobile_app', 'value': '8.224667'}, {'action_type': 'subscribe_total', 'value': '8.224667'}, {'action_type': 'start_trial_mobile_app', 'value': '7.710625'}, {'action_type': 'start_trial_total', 'value': '7.710625'}]",1.072783,"[{'action_type': 'outbound_click', 'value': '1.072783'}]",1.072783,2.28463,0.174498,,0.050728,0.050728,5.607727,,0.053756,1.054444,16.904631,17.636883,1.603179,2025-12-12,2025-12-12,1.043317,female,7298,1.575774,115,"[{'action_type': 'outbound_click', 'value': '115'}]","[{'action_type': 'outbound_click', 'value': '1.575774'}]",6995,123.37,210,3,201,1952,965,536
,,,,2,2,2,,,,,1,,,,,41,,41,1,1,,38,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,2,,1.11,"[{'action_type': 'outbound_click', 'value': '1.11'}]",1.11,1.11,,,0.054146,0.054146,2.22,,0.058421,1.11,15.205479,16.086957,1.369863,2025-12-12,2025-12-12,1.057971,male,146,1.369863,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '1.369863'}]",138,2.22,3,3,3,35,19,7
,,,,,,,,,,,,,,,,7,,7,,,,7,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.124286,0.124286,,,0.124286,,19.772727,22.894737,0,2025-12-12,2025-12-12,1.157895,unknown,44,,,,,38,0.87,1,2,1,4,2,1
,73,,,12,9,9,73,,,,1,,,,,182,,182,1,1,,169,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,12,"[{'action_type': 'subscribe_mobile_app', 'value': '4.185'}, {'action_type': 'subscribe_total', 'value': '4.185'}, {'action_type': 'start_trial_mobile_app', 'value': '4.185'}, {'action_type': 'start_trial_total', 'value': '4.185'}]",0.6975,"[{'action_type': 'outbound_click', 'value': '0.6975'}]",0.6975,0.93,0.114658,,0.045989,0.045989,8.37,,0.049527,0.6975,18.724832,18.724832,2.684564,2025-12-12,2025-12-12,1,female,447,2.684564,12,"[{'action_type': 'outbound_click', 'value': '12'}]","[{'action_type': 'outbound_click', 'value': '2.684564'}]",447,8.37,18,4,17,154,76,52
,,,,,,,,,,,,,,,,4,,4,,,,4,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.0475,0.0475,,,0.0475,,19,19,0,2025-12-12,2025-12-12,1,male,10,,,,,10,0.19,,3,,4,2,1
,,,,,,,,,,,,,,,,,,,,,,,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,10,10,0,2025-12-12,2025-12-12,1,unknown,1,,,,,1,0.01,,1,,,,
,2,,,1,,,2,,,,,,,,,55,,55,,,,54,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,2,,3.77,"[{'action_type': 'outbound_click', 'value': '3.77'}]",3.77,,1.885,,0.068545,0.068545,,,0.069815,1.885,28.778626,29,1.526718,2025-12-12,2025-12-12,1.007692,female,131,0.763359,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.763359'}]",130,3.77,6,4,4,49,25,15
2,372,,,54,30,30,372,2,2,,13,1,1,,2,1737,1,1737,15,13,2,1668,2,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,56,"[{'action_type': 'subscribe_mobile_app', 'value': '16.354'}, {'action_type': 'subscribe_total', 'value': '16.354'}, {'action_type': 'start_trial_mobile_app', 'value': '20.4425'}, {'action_type': 'start_trial_total', 'value': '20.4425'}]",1.514259,"[{'action_type': 'outbound_click', 'value': '1.514259'}]",1.514259,2.725667,0.219812,40.885,0.047075,0.047075,5.451333,40.885,0.049023,1.460179,22.214072,22.994938,1.521326,2025-12-12,2025-12-12,1.035152,male,3681,1.466993,54,"[{'action_type': 'outbound_click', 'value': '54'}]","[{'action_type': 'outbound_click', 'value': '1.466993'}]",3556,81.77,185,5,167,1511,838,515
,2,,,3,,,2,,,,,,,,,20,,20,,,,17,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,3,,0.226667,"[{'action_type': 'outbound_click', 'value': '0.226667'}]",0.226667,,0.34,,0.034,0.034,,,0.04,0.226667,18.378378,19.428571,8.108108,2025-12-12,2025-12-12,1.057143,unknown,37,8.108108,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '8.108108'}]",35,0.68,3,6,3,17,9,6
,,,,,,,,,,,,,,,,,,,,,,,,6920992822984,02 Mike_sicko - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,20,20,0,2025-12-12,2025-12-12,1,male,1,,,,,1,0.02,,2,,,,
,,,,,,,,,,,1,,,,,12,,12,1,1,,11,,6920992823584,02 Eddie_Snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.036667,0.036667,0.44,,0.04,,17.6,17.6,0,2025-12-12,2025-12-12,1,female,25,,,,,25,0.44,,4,,11,5,
,14,,,6,1,1,14,,,,2,,,,,225,,225,2,2,,217,,6920992823584,02 Eddie_Snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,10,"[{'action_type': 'subscribe_mobile_app', 'value': '10.32'}, {'action_type': 'subscribe_total', 'value': '10.32'}, {'action_type': 'start_trial_mobile_app', 'value': '5.16'}, {'action_type': 'start_trial_total', 'value': '5.16'}]",1.72,"[{'action_type': 'outbound_click', 'value': '1.72'}]",1.72,10.32,0.737143,,0.045867,0.045867,5.16,,0.047558,1.032,19.961315,19.961315,1.934236,2025-12-12,2025-12-12,1,male,517,1.160542,6,"[{'action_type': 'outbound_click', 'value': '6'}]","[{'action_type': 'outbound_click', 'value': '1.160542'}]",517,10.32,14,4,14,189,84,53
,,,,,,,,,,,1,,,,,2,,2,1,1,,1,,6920992823584,02 Eddie_Snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.04,0.04,0.08,,0.08,,26.666667,26.666667,0,2025-12-12,2025-12-12,1,unknown,3,,,,,3,0.08,,3,,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,6920992824184,01 Jesus_travis - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,10,10,0,2025-12-12,2025-12-12,1,male,1,,,,,1,0.01,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920992824784,01 Bob_snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,10,10,0,2025-12-12,2025-12-12,1,male,1,,,,,1,0.01,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6920994402584,07_nose ring_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-12,2025-12-12,1,female,1,,,,,1,0.01,,5,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6920994402984,06_green hair_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,40,40,0,2025-12-12,2025-12-12,1,male,1,,,,,1,0.04,,13,,,1,1
,,,,,,,,,,,,,,,,,,,,,,,,6920994403384,10_Red pants_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,20,20,0,2025-12-12,2025-12-12,1,female,2,,,,,2,0.04,,1,,,,
