action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,,,,,,,,6916171835184,16 Curry,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,10,10,0,2025-12-09,2025-12-09,1,1,,,,,instagram,1,0.01,,3,,,,
,1,,,,,,1,,,,,,,,7,,7,,,,7,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,0.08,,0.011429,0.011429,,,0.011429,,8,16,0,2025-12-09,2025-12-09,2,10,,,,,audience_network,5,0.08,5,9,5,7,5,5
,23,1,,23,,,23,,,4,,,,,498,,498,4,4,,471,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,23,,2.22087,"[{'action_type': 'outbound_click', 'value': '2.22087'}]",2.22087,,2.22087,,0.10257,0.10257,12.77,,0.10845,2.22087,36.960926,39.843994,1.664255,2025-12-09,2025-12-09,1.078003,1382,1.664255,23,"[{'action_type': 'outbound_click', 'value': '23'}]","[{'action_type': 'outbound_click', 'value': '1.664255'}]",facebook,1282,51.08,72,4,66,423,225,163
,29,,,7,4,4,29,,,3,,,1,,351,1,351,5,4,,339,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,10,"[{'action_type': 'subscribe_mobile_app', 'value': '41.22'}, {'action_type': 'subscribe_total', 'value': '41.22'}, {'action_type': 'start_trial_mobile_app', 'value': '41.22'}, {'action_type': 'start_trial_total', 'value': '41.22'}]",5.888571,"[{'action_type': 'outbound_click', 'value': '5.888571'}]",5.888571,10.305,1.421379,,0.117436,0.117436,8.244,,0.121593,4.122,44.7557,44.7557,1.085776,2025-12-09,2025-12-09,1,921,0.760043,7,"[{'action_type': 'outbound_click', 'value': '7'}]","[{'action_type': 'outbound_click', 'value': '0.760043'}]",instagram,921,41.22,21,3,21,301,119,67
,,,,,,,,,,,,,,,47,,47,,,,47,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.077447,0.077447,,,0.077447,,36.039604,36.4,0,2025-12-09,2025-12-09,1.01,101,,,,,threads,100,3.64,10,6,10,41,26,17
,,,,,,,,,,,,,,,,,,,,,,,6917461954584,02 snoop_loseYourself - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,12,12,0,2025-12-09,2025-12-09,1,5,,,,,facebook,5,0.06,,1,,,,
,,,,,,,,,,,,,,,3,,3,,,,3,,6917461954584,02 snoop_loseYourself - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.043333,0.043333,,,0.043333,,21.666667,21.666667,0,2025-12-09,2025-12-09,1,6,,,,,instagram,6,0.13,,3,,3,,
,,,,,,,,,,,,,,,,,,,,,,,6917461954584,02 snoop_loseYourself - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,40,40,0,2025-12-09,2025-12-09,1,1,,,,,threads,1,0.04,,0,,,,
,,,,,,,,,,,,,,,15,,15,,,,15,,6917461955184,03 will_loseYourself - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.029333,0.029333,,,0.029333,,13.75,13.75,0,2025-12-09,2025-12-09,1,32,,,,,facebook,32,0.44,1,4,1,13,6,2
,,,,,,,,,,,,,,,2,,2,,,,2,,6917461955184,03 will_loseYourself - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.165,0.165,,,0.165,,27.5,27.5,0,2025-12-09,2025-12-09,1,12,,,,,instagram,12,0.33,,2,,2,,
