action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_conversation_started_7d,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_onsite_conversion.messaging_conversation_started_7d,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,2,,,5,1,1,2,,,,1,,,,,53,,53,1,1,,47,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,5,,0.85,"[{'action_type': 'outbound_click', 'value': '0.85'}]",0.85,4.25,2.125,,,0.080189,0.080189,4.25,,0.090426,0.85,27.777778,29.72028,3.267974,2025-12-13,2025-12-13,1.06993,male,153,3.267974,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '3.267974'}]",143,4.25,8,5,8,42,30,20
,,,,,,,,,,,,1,1,,,5,,5,1,,,4,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,0.058,0.058,0.29,,0.0725,,20.714286,20.714286,0,2025-12-13,2025-12-13,1,unknown,14,,,,,14,0.29,1,4,1,4,2,1
,,,,,,,,,,,,,,,,14,,14,,,,14,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,0.07,0.07,,,0.07,,22.272727,22.272727,0,2025-12-13,2025-12-13,1,female,44,,,,,44,0.98,1,3,1,12,3,2
,,,,,,,,,,,,,,,,4,,4,,,,4,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,,,,,,,,0.025,0.025,,,0.025,0.1,11.111111,11.111111,11.111111,2025-12-13,2025-12-13,1,male,9,,,,,9,0.1,1,4,1,3,1,1
,,,,1,,,,,,,,,,,,5,,5,,,,4,,6916171454184,15 tyson,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,0.37,"[{'action_type': 'outbound_click', 'value': '0.37'}]",0.37,,,,,0.074,0.074,,,0.0925,0.37,52.857143,52.857143,14.285714,2025-12-13,2025-12-13,1,female,7,14.285714,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '14.285714'}]",7,0.37,,3,,3,1,
,,,,,,,,,,,,,,,,7,,7,,,,7,,6916171454184,15 tyson,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,0.034286,0.034286,,,0.034286,,14.117647,14.117647,0,2025-12-13,2025-12-13,1,male,17,,,,,17,0.24,,3,,6,2,2
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916172137384,17 Lebrone,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,0.03,0.03,,,0.03,,15,15,0,2025-12-13,2025-12-13,1,male,2,,,,,2,0.03,,6,,1,1,1
,1,,,,,,1,,,,,,,,,,,,,,,,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,0,,,,,,,,,,,,2025-12-13,2025-12-13,0,female,0,,,,,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6917461954784,04 will_rapGod - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,,23.333333,23.333333,0,2025-12-13,2025-12-13,1,female,3,,,,,3,0.07,,3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6917461954784,04 will_rapGod - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,,50,50,0,2025-12-13,2025-12-13,1,male,1,,,,,1,0.05,,2,,,,
,,,,,,,,,,,,,,,,3,,3,,,,3,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.013333,0.013333,,,0.013333,,10,10,0,2025-12-13,2025-12-13,1,female,4,,,,,4,0.04,1,12,1,3,2,2
,,,,,,,,,,,,,,,,7,,7,,,,7,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.054286,0.054286,,,0.054286,,18.095238,18.095238,0,2025-12-13,2025-12-13,1,male,21,,,,,21,0.38,,3,,6,4,1
