action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,1,,1,,,,1,,6920992821784,03 Snoop_rapGod - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.05,0.05,,,0.05,,10,10,0,2025-12-05,2025-12-05,UNKNOWN,1,5,,,,,UNKNOWN,5,0.05,,2,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920992821984,02 snoop_loseYourself - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.08,0.08,,,0.08,,11.428571,11.428571,0,2025-12-05,2025-12-05,UNKNOWN,1,7,,,,,UNKNOWN,7,0.08,,1,,,,
,,,,,,,,,,,,,,,2,,2,,,,2,,6920992822184,03 will_loseYourself - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.045,0.045,,,0.045,,30,30,0,2025-12-05,2025-12-05,UNKNOWN,1,3,,,,,UNKNOWN,3,0.09,,4,,2,,
7,1090,11,2,394,102,102,1090,7,7,1,7,7,2,7,7476,15,7476,118,94,7,6964,7,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,432,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '58.608333'}, {'action_type': 'subscribe_total', 'value': '58.608333'}]",0.892513,"[{'action_type': 'outbound_click', 'value': '0.892513'}]",0.892513,3.447549,0.322615,50.235714,0.047037,0.047037,2.980085,50.235714,0.050495,0.814005,20.134555,21.677352,2.473518,2025-12-05,2025-12-05,ABOVE_AVERAGE,1.076624,17465,2.25594,394,"[{'action_type': 'outbound_click', 'value': '394'}]","[{'action_type': 'outbound_click', 'value': '2.25594'}]",AVERAGE,16222,351.65,801,4,767,6246,3386,2081
,,,,,,,,,,,,,,,5,,5,,,,5,,6920992822784,03 Mike_gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.042,0.042,,,0.042,,13.125,13.125,0,2025-12-05,2025-12-05,UNKNOWN,1,16,,,,,UNKNOWN,16,0.21,1,4,1,5,3,3
,,,,,,,,,,,,,,,,,,,,,,,6920992822984,02 Mike_sicko - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,8.333333,8.333333,0,2025-12-05,2025-12-05,UNKNOWN,1,6,,,,,UNKNOWN,6,0.05,,1,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920992823184,03 Snoop_sicko - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.06,0.06,,,0.06,,8.571429,8.571429,0,2025-12-05,2025-12-05,UNKNOWN,1,7,,,,,UNKNOWN,7,0.06,,2,,1,,
,,,,,,,,,,,,,,,2,,2,,,,2,,6920992823384,02 Timothy_slim - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.01,0.01,,,0.01,,5,5,0,2025-12-05,2025-12-05,UNKNOWN,1,4,,,,,UNKNOWN,4,0.02,,3,,2,1,
,7,,,9,2,2,7,,,,,,,,378,1,378,4,3,,365,,6920992823584,02 Eddie_Snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,15,ABOVE_AVERAGE,,2.052222,"[{'action_type': 'outbound_click', 'value': '2.052222'}]",2.052222,9.235,2.638571,,0.048862,0.048862,4.6175,,0.050603,1.231333,20.40884,21.084475,1.657459,2025-12-05,2025-12-05,ABOVE_AVERAGE,1.033105,905,0.994475,9,"[{'action_type': 'outbound_click', 'value': '9'}]","[{'action_type': 'outbound_click', 'value': '0.994475'}]",BELOW_AVERAGE_35,876,18.47,31,4,30,313,142,80
,,,,,,,,,,,,,,,2,,2,,,,2,,6920992823784,02 Mike_rapGod - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.1,0.1,,,0.1,,40,40,0,2025-12-05,2025-12-05,UNKNOWN,1,5,,,,,UNKNOWN,5,0.2,,3,,2,1,
