action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,1,2,,,,,,,,,24,,24,2,1,,20,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.71,"[{'action_type': 'outbound_click', 'value': '0.71'}]",0.71,,,,0.059167,0.059167,0.71,,0.071,1.42,25.357143,26.296296,1.785714,2025-11-29,2025-11-29,1.037037,unknown,56,3.571429,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '3.571429'}]",54,1.42,4,4,4,20,11,7
,,,,,,,,,,,,,,,,,,,,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,25,25,0,2025-11-29,2025-11-29,1,female,4,,,,,4,0.1,,1,,,,
,6,,,1,1,1,6,,,,,,6,,6,,,,5,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.83,"[{'action_type': 'outbound_click', 'value': '0.83'}]",0.83,0.83,0.138333,,0.138333,0.138333,,,0.166,0.83,69.166667,75.454545,8.333333,2025-11-29,2025-11-29,1.090909,male,12,8.333333,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '8.333333'}]",11,0.83,1,4,1,5,1,1
,5,,,,,,5,,,,,,3,,3,,,,3,,6916143260984,tyson_rap_2_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,0.094,,0.156667,0.156667,,,0.156667,,33.571429,33.571429,0,2025-11-29,2025-11-29,1,female,14,,,,,14,0.47,,2,,3,,
,,,,,,,,,,,,,1,,1,,,,1,,6916143260984,tyson_rap_2_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.21,0.21,,,0.21,,16.153846,17.5,0,2025-11-29,2025-11-29,1.083333,male,13,,,,,12,0.21,,1,,1,,
,,,,,,,,,,,,,4,,4,,,,4,,6916163301184,02 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.21,0.21,,,0.21,,56,64.615385,0,2025-11-29,2025-11-29,1.153846,female,15,,,,,13,0.84,1,6,1,4,3,2
,,,,,,,,,,,,,2,,2,,,,2,,6916163301184,02 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.13,0.13,,,0.13,,43.333333,43.333333,0,2025-11-29,2025-11-29,1,male,6,,,,,6,0.26,1,4,1,2,1,1
,922,3,,127,45,45,922,,,,,,2902,,2902,26,26,,2749,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,126,"[{'action_type': 'subscribe_mobile_app', 'value': '9.865792'}, {'action_type': 'subscribe_total', 'value': '9.865792'}, {'action_type': 'start_trial_mobile_app', 'value': '9.317692'}, {'action_type': 'start_trial_total', 'value': '9.317692'}]",1.320618,"[{'action_type': 'outbound_click', 'value': '1.320618'}]",1.320618,3.727077,0.181907,,0.057794,0.057794,6.45071,,0.061011,1.331099,23.685702,25.338942,1.77941,2025-11-29,2025-11-29,1.069799,female,7081,1.793532,127,"[{'action_type': 'outbound_click', 'value': '127'}]","[{'action_type': 'outbound_click', 'value': '1.793532'}]",6619,167.718456,357,5,330,2403,1293,1030
,,,,7,,,,,,,,,162,1,162,3,2,,152,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,6,,1.19306,"[{'action_type': 'outbound_click', 'value': '1.19306'}]",1.19306,,,,0.051552,0.051552,2.783806,,0.054944,1.391903,21.142828,23.070213,1.518987,2025-11-29,2025-11-29,1.09116,male,395,1.772152,7,"[{'action_type': 'outbound_click', 'value': '7'}]","[{'action_type': 'outbound_click', 'value': '1.772152'}]",362,8.351417,12,4,12,134,63,42
,,,,,,,,,,,,,8,,8,,,,8,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.093766,0.093766,,,0.093766,,27.782491,27.782491,0,2025-11-29,2025-11-29,1,unknown,27,,,,,27,0.750127,,3,,6,2,2
