action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_conversation_started_7d,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,age,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_onsite_conversion.messaging_conversation_started_7d,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,216,2,,59,25,25,216,,,,10,,,1,,1325,,1325,11,11,,1255,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,59,"[{'action_type': 'subscribe_mobile_app', 'value': '18.423333'}, {'action_type': 'subscribe_total', 'value': '18.423333'}, {'action_type': 'start_trial_mobile_app', 'value': '13.8175'}, {'action_type': 'start_trial_total', 'value': '13.8175'}]",0.93678,"[{'action_type': 'outbound_click', 'value': '0.93678'}]",0.93678,2.2108,0.25588,,,0.041713,0.041713,5.024545,,0.04404,0.93678,14.160902,14.770176,1.511658,2025-12-13,2025-12-13,1.043025,3903,1.511658,59,"[{'action_type': 'outbound_click', 'value': '59'}]","[{'action_type': 'outbound_click', 'value': '1.511658'}]",3742,55.27,97,3,93,1071,493,270
,293,,,40,23,23,293,,,,11,1,1,,,803,2,803,14,11,,749,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,41,"[{'action_type': 'subscribe_mobile_app', 'value': '8.8225'}, {'action_type': 'subscribe_total', 'value': '8.8225'}, {'action_type': 'start_trial_mobile_app', 'value': '4.41125'}, {'action_type': 'start_trial_total', 'value': '4.41125'}]",0.88225,"[{'action_type': 'outbound_click', 'value': '0.88225'}]",0.88225,1.534348,0.120444,,,0.043948,0.043948,2.520714,,0.047116,0.860732,17.42716,18.332468,2.024691,2025-12-13,2025-12-13,1.051948,2025,1.975309,40,"[{'action_type': 'outbound_click', 'value': '40'}]","[{'action_type': 'outbound_click', 'value': '1.975309'}]",1925,35.29,68,4,59,658,311,177
,,,,5,,,,,,,,1,1,,,74,,74,1,,,68,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,55-64,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,5,,0.498,"[{'action_type': 'outbound_click', 'value': '0.498'}]",0.498,,,,,0.033649,0.033649,2.49,,0.036618,0.498,15,15.660377,3.012048,2025-12-13,2025-12-13,1.044025,166,3.012048,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '3.012048'}]",159,2.49,7,5,6,62,30,19
,,,,,,,,,,,,,,,,15,,15,,,,15,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,65+,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.045333,0.045333,,,0.045333,,19.428571,20.606061,0,2025-12-13,2025-12-13,1.060606,35,,,,,33,0.68,,3,,11,7,2
,,,,,,,,,,,,,,,,,,,,,,,,6917505481584,02 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,,10,10,0,2025-12-13,2025-12-13,1,1,,,,,1,0.01,,2,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917505481584,02 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.06,0.06,,,0.06,,10,10,0,2025-12-13,2025-12-13,1,6,,,,,6,0.06,1,4,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,13-17,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,,0,0,0,2025-12-13,2025-12-13,1,1,,,,,1,0,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,18-24,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.1,0.1,,,0.1,,11.111111,11.111111,0,2025-12-13,2025-12-13,1,9,,,,,9,0.1,,1,,1,,
,,,,2,,,,,,,1,,,,,49,,49,1,1,,46,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,2,,1.01,"[{'action_type': 'outbound_click', 'value': '1.01'}]",1.01,,,,,0.041224,0.041224,2.02,,0.043913,1.01,14.962963,14.962963,1.481481,2025-12-13,2025-12-13,1,135,1.481481,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '1.481481'}]",135,2.02,4,3,4,40,19,11
,8,,,5,3,3,8,,,,,1,1,,,135,,135,1,,,129,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,6,,1.392,"[{'action_type': 'outbound_click', 'value': '1.392'}]",1.392,2.32,0.87,,,0.051556,0.051556,6.96,,0.053953,1.16,17.313433,17.709924,1.492537,2025-12-13,2025-12-13,1.022901,402,1.243781,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '1.243781'}]",393,6.96,19,4,19,115,62,42
,69,1,,8,3,3,69,,,,2,1,1,,,102,1,102,4,2,,90,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,8,"[{'action_type': 'subscribe_mobile_app', 'value': '4.6'}, {'action_type': 'subscribe_total', 'value': '4.6'}, {'action_type': 'start_trial_mobile_app', 'value': '4.6'}, {'action_type': 'start_trial_total', 'value': '4.6'}]",0.575,"[{'action_type': 'outbound_click', 'value': '0.575'}]",0.575,1.533333,0.066667,,,0.045098,0.045098,1.15,,0.051111,0.575,20.81448,21.004566,3.61991,2025-12-13,2025-12-13,1.009132,221,3.61991,8,"[{'action_type': 'outbound_click', 'value': '8'}]","[{'action_type': 'outbound_click', 'value': '3.61991'}]",219,4.6,14,5,13,77,45,30
,1,,,1,,,1,,,,1,,,,,19,,19,1,1,,17,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,55-64,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,1.2,"[{'action_type': 'outbound_click', 'value': '1.2'}]",1.2,,1.2,,,0.063158,0.063158,1.2,,0.070588,1.2,29.268293,30.769231,2.439024,2025-12-13,2025-12-13,1.051282,41,2.439024,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '2.439024'}]",39,1.2,6,11,6,16,13,12
,,,,,,,,,,,,,,,,,,,,,,,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,65+,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,,10,10,0,2025-12-13,2025-12-13,1,1,,,,,1,0.01,,3,,,,
,,,,,,,,,,,,,,,,8,,8,,,,8,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),18-24,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,0.02375,0.02375,,,0.02375,,17.272727,17.272727,0,2025-12-13,2025-12-13,1,11,,,,,11,0.19,,4,,7,2,1
,5,,,2,,,5,,,,,,,,,44,,44,,,,42,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),25-34,6920965699384,FB_iOS_Purchase_Rap_251203,1,,1.14,"[{'action_type': 'outbound_click', 'value': '1.14'}]",1.14,,0.456,,,0.051818,0.051818,,,0.054286,2.28,20,20.357143,0.877193,2025-12-13,2025-12-13,1.017857,114,1.754386,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '1.754386'}]",112,2.28,4,4,4,36,20,10
,47,,,13,7,7,47,,,,1,,,,,308,1,308,2,1,,293,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),35-44,6920965699384,FB_iOS_Purchase_Rap_251203,13,"[{'action_type': 'subscribe_mobile_app', 'value': '8.585'}, {'action_type': 'subscribe_total', 'value': '8.585'}, {'action_type': 'start_trial_mobile_app', 'value': '8.585'}, {'action_type': 'start_trial_total', 'value': '8.585'}]",1.320769,"[{'action_type': 'outbound_click', 'value': '1.320769'}]",1.320769,2.452857,0.365319,,,0.055747,0.055747,8.585,,0.058601,1.320769,19.335586,19.335586,1.463964,2025-12-13,2025-12-13,1,888,1.463964,13,"[{'action_type': 'outbound_click', 'value': '13'}]","[{'action_type': 'outbound_click', 'value': '1.463964'}]",888,17.17,34,3,33,254,128,82
,173,,,30,13,13,173,,,,10,,,1,,1004,1,1004,12,11,,962,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),45-54,6920965699384,FB_iOS_Purchase_Rap_251203,34,"[{'action_type': 'subscribe_mobile_app', 'value': '46.43'}, {'action_type': 'subscribe_total', 'value': '46.43'}, {'action_type': 'start_trial_mobile_app', 'value': '46.43'}, {'action_type': 'start_trial_total', 'value': '46.43'}]",1.547667,"[{'action_type': 'outbound_click', 'value': '1.547667'}]",1.547667,3.571538,0.268382,,,0.046245,0.046245,3.869167,,0.048264,1.365588,21.123749,21.475486,1.546861,2025-12-13,2025-12-13,1.016651,2198,1.364877,30,"[{'action_type': 'outbound_click', 'value': '30'}]","[{'action_type': 'outbound_click', 'value': '1.364877'}]",2162,46.43,95,5,85,882,476,281
,102,,,20,11,11,102,,,,6,,,1,,486,,486,7,7,,459,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),55-64,6920965699384,FB_iOS_Purchase_Rap_251203,21,"[{'action_type': 'subscribe_mobile_app', 'value': '9.205'}, {'action_type': 'subscribe_total', 'value': '9.205'}, {'action_type': 'start_trial_mobile_app', 'value': '9.205'}, {'action_type': 'start_trial_total', 'value': '9.205'}]",0.9205,"[{'action_type': 'outbound_click', 'value': '0.9205'}]",0.9205,1.673636,0.18049,,,0.037881,0.037881,2.63,,0.040109,0.876667,21.406977,21.607981,2.44186,2025-12-13,2025-12-13,1.00939,860,2.325581,20,"[{'action_type': 'outbound_click', 'value': '20'}]","[{'action_type': 'outbound_click', 'value': '2.325581'}]",852,18.41,74,5,67,420,240,173
,2,,,3,,,2,,,,,,,,,66,,66,,,,63,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),65+,6920965699384,FB_iOS_Purchase_Rap_251203,3,,1.11,"[{'action_type': 'outbound_click', 'value': '1.11'}]",1.11,,1.665,,,0.050455,0.050455,,,0.052857,1.11,26.220472,26.64,2.362205,2025-12-13,2025-12-13,1.016,127,2.362205,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '2.362205'}]",125,3.33,19,6,17,62,45,32
,,,,,,,,,,,,,,,,1,,1,,,,1,,6920992822784,03 Mike_gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),45-54,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-13,2025-12-13,1,1,,,,,1,0.01,,5,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6920992823384,02 Timothy_slim - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),18-24,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,0,0,0,2025-12-13,2025-12-13,1,1,,,,,1,0,,0,,,,
,,,,,,,,,,,,,,,,4,,4,,,,4,,6920992823584,02 Eddie_Snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),18-24,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,0.0375,0.0375,,,0.0375,,18.75,18.75,0,2025-12-13,2025-12-13,1,8,,,,,8,0.15,1,5,1,4,2,2
,,,,,,,,,,,,,,,,16,,16,,,,16,,6920992823584,02 Eddie_Snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),25-34,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,0.0575,0.0575,,,0.0575,,17.358491,17.692308,0,2025-12-13,2025-12-13,1.019231,53,,,,,52,0.92,,3,,13,5,4
,5,,,5,3,3,5,,,,1,,,,,89,,89,1,1,,83,,6920992823584,02 Eddie_Snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),35-44,6920965699384,FB_iOS_Purchase_Rap_251203,5,,0.71,"[{'action_type': 'outbound_click', 'value': '0.71'}]",0.71,1.183333,0.71,,,0.039888,0.039888,3.55,,0.042771,0.71,18.020305,18.205128,2.538071,2025-12-13,2025-12-13,1.010256,197,2.538071,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '2.538071'}]",195,3.55,6,4,6,72,33,16
,24,,,5,1,1,24,,,,,,,,,96,,96,,,,91,,6920992823584,02 Eddie_Snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),45-54,6920965699384,FB_iOS_Purchase_Rap_251203,6,,0.93,"[{'action_type': 'outbound_click', 'value': '0.93'}]",0.93,4.65,0.19375,,,0.048438,0.048438,,,0.051099,0.775,19.537815,19.957082,2.521008,2025-12-13,2025-12-13,1.021459,238,2.10084,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '2.10084'}]",233,4.65,10,5,10,81,42,24
,3,,,1,,,3,,,,,,,,,37,,37,,,,36,,6920992823584,02 Eddie_Snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),55-64,6920965699384,FB_iOS_Purchase_Rap_251203,1,,1.24,"[{'action_type': 'outbound_click', 'value': '1.24'}]",1.24,,0.413333,,,0.033514,0.033514,,,0.034444,1.24,20.327869,20.666667,1.639344,2025-12-13,2025-12-13,1.016667,61,1.639344,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.639344'}]",60,1.24,5,7,5,34,22,17
,,,,,,,,,,,,,,,,2,,2,,,,2,,6920992823584,02 Eddie_Snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),65+,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,0.045,0.045,,,0.045,,8.181818,9,0,2025-12-13,2025-12-13,1.1,11,,,,,10,0.09,,2,,2,1,
,,,,,,,,,,,,,,,,,,,,,,,,6920994402984,06_green hair_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,18-24,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,20,20,0,2025-12-13,2025-12-13,1,1,,,,,1,0.02,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920994402984,06_green hair_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,25-34,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,13.333333,13.333333,0,2025-12-13,2025-12-13,1,3,,,,,3,0.04,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920994402984,06_green hair_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,35-44,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,5,5,0,2025-12-13,2025-12-13,1,2,,,,,2,0.01,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6920994402984,06_green hair_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,45-54,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,0.12,0.12,,,0.12,,60,60,0,2025-12-13,2025-12-13,1,2,,,,,2,0.12,,3,,1,,
,8,,,1,1,1,8,,,,,,,,,2,,2,,,,1,,6920994402984,06_green hair_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,55-64,6920965699384,FB_iOS_Purchase_Rap_251203,1,,0.16,"[{'action_type': 'outbound_click', 'value': '0.16'}]",0.16,0.16,0.02,,,0.08,0.08,,,0.16,0.16,80,80,50,2025-12-13,2025-12-13,1,2,50,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '50'}]",2,0.16,,6,,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,6920994403184,01_black4_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,18-24,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,20,20,0,2025-12-13,2025-12-13,1,1,,,,,1,0.02,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6920994403184,01_black4_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,45-54,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-13,2025-12-13,1,1,,,,,1,0.01,,4,,1,,
,,,,,,,,,,,,,,,,11,,11,,,,11,,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,18-24,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,0.039091,0.039091,,,0.039091,,18.695652,18.695652,0,2025-12-13,2025-12-13,1,23,,,,,23,0.43,,4,,10,6,4
,3,,,1,,,3,,,,,,,,,41,,41,,,,40,,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,25-34,6920965699384,FB_iOS_Purchase_Rap_251203,1,,3.24,"[{'action_type': 'outbound_click', 'value': '3.24'}]",3.24,,1.08,,,0.079024,0.079024,,,0.081,3.24,22.816901,23.309353,0.704225,2025-12-13,2025-12-13,1.021583,142,0.704225,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.704225'}]",139,3.24,7,3,7,39,23,17
,26,,,8,1,1,26,,,,4,,,,,299,,299,4,4,,287,,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,35-44,6920965699384,FB_iOS_Purchase_Rap_251203,8,,2.06375,"[{'action_type': 'outbound_click', 'value': '2.06375'}]",2.06375,16.51,0.635,,,0.055217,0.055217,4.1275,,0.057526,2.06375,23.058659,23.823954,1.117318,2025-12-13,2025-12-13,1.033189,716,1.117318,8,"[{'action_type': 'outbound_click', 'value': '8'}]","[{'action_type': 'outbound_click', 'value': '1.117318'}]",693,16.51,45,4,40,260,157,117
,214,,,34,14,14,214,,,,16,,,1,,821,1,821,18,17,,769,,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,45-54,6920965699384,FB_iOS_Purchase_Rap_251203,35,"[{'action_type': 'subscribe_mobile_app', 'value': '15.046667'}, {'action_type': 'subscribe_total', 'value': '15.046667'}, {'action_type': 'start_trial_mobile_app', 'value': '7.523333'}, {'action_type': 'start_trial_total', 'value': '7.523333'}]",1.327647,"[{'action_type': 'outbound_click', 'value': '1.327647'}]",1.327647,3.224286,0.210935,,,0.054982,0.054982,2.507778,,0.0587,1.289714,27.881408,28.497475,2.161828,2025-12-13,2025-12-13,1.022096,1619,2.100062,34,"[{'action_type': 'outbound_click', 'value': '34'}]","[{'action_type': 'outbound_click', 'value': '2.100062'}]",1584,45.14,115,5,102,716,454,309
,169,1,,23,10,10,169,,,,8,1,1,,,527,1,527,10,8,,494,,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,55-64,6920965699384,FB_iOS_Purchase_Rap_251203,23,"[{'action_type': 'subscribe_mobile_app', 'value': '27.3'}, {'action_type': 'subscribe_total', 'value': '27.3'}, {'action_type': 'start_trial_mobile_app', 'value': '27.3'}, {'action_type': 'start_trial_total', 'value': '27.3'}]",1.186957,"[{'action_type': 'outbound_click', 'value': '1.186957'}]",1.186957,2.73,0.161538,,,0.051803,0.051803,2.73,,0.055263,1.186957,32.384342,35.362694,2.728351,2025-12-13,2025-12-13,1.091969,843,2.728351,23,"[{'action_type': 'outbound_click', 'value': '23'}]","[{'action_type': 'outbound_click', 'value': '2.728351'}]",772,27.3,85,6,80,447,311,230
,1,,,2,,,1,,,,1,,,,,50,,50,1,1,,47,,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,65+,6920965699384,FB_iOS_Purchase_Rap_251203,2,,1.425,"[{'action_type': 'outbound_click', 'value': '1.425'}]",1.425,,2.85,,,0.057,0.057,2.85,,0.060638,1.425,27.403846,28.217822,1.923077,2025-12-13,2025-12-13,1.029703,104,1.923077,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '1.923077'}]",101,2.85,10,5,8,42,25,21
,,,,,,,,,,,,,,,,,,,,,,,,6920994404184,04_fbg_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,18-24,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,20,20,0,2025-12-13,2025-12-13,1,1,,,,,1,0.02,,0,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6920994404184,04_fbg_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,25-34,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,0.04,0.04,,,0.04,,40,40,0,2025-12-13,2025-12-13,1,1,,,,,1,0.04,,4,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6920994404184,04_fbg_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,35-44,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,30,30,0,2025-12-13,2025-12-13,1,1,,,,,1,0.03,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920994404384,05_greendress_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,25-34,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,20,20,0,2025-12-13,2025-12-13,1,1,,,,,1,0.02,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920994404384,05_greendress_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,35-44,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,115,115,0,2025-12-13,2025-12-13,1,2,,,,,2,0.23,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920994404384,05_greendress_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,45-54,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,10,10,0,2025-12-13,2025-12-13,1,1,,,,,1,0.01,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920994404384,05_greendress_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,55-64,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,25,25,0,2025-12-13,2025-12-13,1,2,,,,,2,0.05,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920995424984,01_Eddie_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,35-44,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,50,50,0,2025-12-13,2025-12-13,1,1,,,,,1,0.05,,3,,,,
,,,,,,,,,,,,,,,,5,,5,,,,5,,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,18-24,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,0.058,0.058,,,0.058,,17.058824,19.333333,0,2025-12-13,2025-12-13,1.133333,17,,,,,15,0.29,,2,,4,1,
,2,1,,2,,,2,,,,1,,,,,47,,47,1,1,,44,,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,25-34,6920965699384,FB_iOS_Purchase_Rap_251203,2,,1.435,"[{'action_type': 'outbound_click', 'value': '1.435'}]",1.435,,1.435,,,0.061064,0.061064,2.87,,0.065227,1.435,27.075472,28.7,1.886792,2025-12-13,2025-12-13,1.06,106,1.886792,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '1.886792'}]",100,2.87,3,3,3,38,16,7
,76,,,14,7,7,76,,,,5,,,,,409,3,409,8,5,,387,,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,35-44,6920965699384,FB_iOS_Purchase_Rap_251203,14,,1.307143,"[{'action_type': 'outbound_click', 'value': '1.307143'}]",1.307143,2.614286,0.240789,,,0.044743,0.044743,2.2875,,0.047287,1.307143,19.891304,20.446927,1.521739,2025-12-13,2025-12-13,1.027933,920,1.521739,14,"[{'action_type': 'outbound_click', 'value': '14'}]","[{'action_type': 'outbound_click', 'value': '1.521739'}]",895,18.3,36,4,35,331,167,81
,349,,,49,29,29,349,,,,17,,,,,1316,1,1316,18,17,,1249,,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,45-54,6920965699384,FB_iOS_Purchase_Rap_251203,54,"[{'action_type': 'subscribe_mobile_app', 'value': '14.4725'}, {'action_type': 'subscribe_total', 'value': '14.4725'}, {'action_type': 'start_trial_mobile_app', 'value': '11.578'}, {'action_type': 'start_trial_total', 'value': '11.578'}]",1.181429,"[{'action_type': 'outbound_click', 'value': '1.181429'}]",1.181429,1.996207,0.165874,,,0.043989,0.043989,3.216111,,0.046349,1.072037,22.403251,22.926733,2.089783,2025-12-13,2025-12-13,1.023366,2584,1.896285,49,"[{'action_type': 'outbound_click', 'value': '49'}]","[{'action_type': 'outbound_click', 'value': '1.896285'}]",2525,57.89,106,5,98,1072,546,280
