action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_conversation_started_7d,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_onsite_conversion.messaging_conversation_started_7d,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916144704784,tyson_rap_2_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,0.01,0.01,,,0.01,,5,5,0,2025-12-13,2025-12-13,1,2,,,,,facebook,2,0.01,,4,,1,1,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916144704784,tyson_rap_2_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,0.03,0.03,,,0.03,,30,30,0,2025-12-13,2025-12-13,1,1,,,,,instagram,1,0.03,,12,,1,1,1
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916144704984,jesus_rap_1_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,0.02,0.02,,,0.02,,10,10,0,2025-12-13,2025-12-13,1,2,,,,,facebook,2,0.02,,4,,1,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916144704984,jesus_rap_1_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,0.14,0.14,,,0.14,,28,28,0,2025-12-13,2025-12-13,1,5,,,,,instagram,5,0.14,,2,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6916162285584,01 Esha,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,,20,20,0,2025-12-13,2025-12-13,1,1,,,,,facebook,1,0.02,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,,10,10,0,2025-12-13,2025-12-13,1,1,,,,,facebook,1,0.01,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,,10,10,0,2025-12-13,2025-12-13,1,1,,,,,instagram,1,0.01,,1,,,,
,11,,,8,1,1,11,,,,3,,,1,,299,,299,4,4,,287,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,8,,2.16375,"[{'action_type': 'outbound_click', 'value': '2.16375'}]",2.16375,17.31,1.573636,,,0.057893,0.057893,4.3275,,0.060314,2.16375,23.875862,25.014451,1.103448,2025-12-13,2025-12-13,1.047688,725,1.103448,8,"[{'action_type': 'outbound_click', 'value': '8'}]","[{'action_type': 'outbound_click', 'value': '1.103448'}]",facebook,692,17.31,32,5,30,261,126,83
1,327,,,43,22,22,327,1,1,,9,2,2,1,1,751,,751,12,10,1,696,1,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,48,"[{'action_type': 'subscribe_mobile_app', 'value': '9.24625'}, {'action_type': 'subscribe_total', 'value': '9.24625'}, {'action_type': 'start_trial_mobile_app', 'value': '9.24625'}, {'action_type': 'start_trial_total', 'value': '9.24625'}]",1.720233,"[{'action_type': 'outbound_click', 'value': '1.720233'}]",1.720233,3.362273,0.226208,73.97,,0.098495,0.098495,6.164167,73.97,0.106279,1.541042,34.150508,34.8258,2.216066,2025-12-13,2025-12-13,1.019774,2166,1.985226,43,"[{'action_type': 'outbound_click', 'value': '43'}]","[{'action_type': 'outbound_click', 'value': '1.985226'}]",instagram,2124,73.97,76,4,76,635,331,220
,,,,1,,,,,,,,,,,,1,,1,,,,,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,0.05,"[{'action_type': 'outbound_click', 'value': '0.05'}]",0.05,,,,,0.05,0.05,,,,0.05,12.5,12.5,25,2025-12-13,2025-12-13,1,4,25,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '25'}]",messenger,4,0.05,,,,,,
,,,,1,,,,,,,,,,,,49,,49,,,,48,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,1.91,"[{'action_type': 'outbound_click', 'value': '1.91'}]",1.91,,,,,0.03898,0.03898,,,0.039792,1.91,23.875,23.875,1.25,2025-12-13,2025-12-13,1,80,1.25,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.25'}]",threads,80,1.91,5,6,5,43,19,11
,,,,,,,,,,,,,,,,3,,3,,,,3,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,0.016667,0.016667,,,0.016667,,8.333333,8.333333,0,2025-12-13,2025-12-13,1,6,,,,,facebook,6,0.05,,2,,2,,
,,,,,,,,,,,,,,,,15,,15,,,,15,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,,,,,,,,0.068667,0.068667,,,0.068667,1.03,21.914894,21.914894,2.12766,2025-12-13,2025-12-13,1,47,,,,,instagram,47,1.03,2,3,2,13,4,3
