action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_conversation_started_7d,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_onsite_conversion.messaging_conversation_started_7d,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,1,,,,,,,1,,,,,29,,29,1,1,,27,,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,1,,1.120117,"[{'action_type': 'outbound_click', 'value': '1.120117'}]",1.120117,,,,,0.038625,0.038625,1.120117,,0.041486,1.120117,22.402344,22.402344,2,2025-12-13,2025-12-13,1,50,2,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '2'}]",threads,50,1.120117,7,9,7,27,22,13
,,,,,,,,,,,,,,,,,,,,,,,,6920996506184,03_blackbodysuit_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,10,10,0,2025-12-13,2025-12-13,1,1,,,,,instagram,1,0.01,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920996506384,06_green hair_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,30,30,0,2025-12-13,2025-12-13,1,1,,,,,instagram,1,0.03,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920996506584,11_yellow dress_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,5,5,0,2025-12-13,2025-12-13,1,2,,,,,facebook,2,0.01,,1,,,,
,,,,,,,,,,,,,,,,13,,13,,,,13,,6920996506984,02_blackNew_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,0.016928,0.016928,,,0.016928,,15.719036,31.438071,0,2025-12-13,2025-12-13,2,14,,,,,audience_network,7,0.220067,3,7,3,11,7,3
,386,,,68,35,35,386,,,,19,,,,,1813,2,1813,21,19,,1724,,6920996506984,02_blackNew_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,66,"[{'action_type': 'subscribe_mobile_app', 'value': '13.230665'}, {'action_type': 'subscribe_total', 'value': '13.230665'}, {'action_type': 'start_trial_mobile_app', 'value': '7.938399'}, {'action_type': 'start_trial_total', 'value': '7.938399'}]",1.167412,"[{'action_type': 'outbound_click', 'value': '1.167412'}]",1.167412,2.268114,0.205658,,,0.043786,0.043786,3.78019,,0.046046,1.202788,21.334047,21.560018,1.773717,2025-12-13,2025-12-13,1.010592,3721,1.827466,68,"[{'action_type': 'outbound_click', 'value': '68'}]","[{'action_type': 'outbound_click', 'value': '1.827466'}]",facebook,3682,79.383988,208,5,191,1571,943,639
1,41,,,10,1,1,41,1,1,,7,,,,1,243,,243,7,7,1,226,1,6920996506984,02_blackNew_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,13,"[{'action_type': 'subscribe_mobile_app', 'value': '19.315837'}, {'action_type': 'subscribe_total', 'value': '19.315837'}]",1.931584,"[{'action_type': 'outbound_click', 'value': '1.931584'}]",1.931584,19.315837,0.471118,19.315837,,0.079489,0.079489,2.759405,19.315837,0.085468,1.485834,35.969901,37.506479,2.420857,2025-12-13,2025-12-13,1.042718,537,1.862197,10,"[{'action_type': 'outbound_click', 'value': '10'}]","[{'action_type': 'outbound_click', 'value': '1.862197'}]",instagram,515,19.315837,24,4,24,197,104,72
,,,,,,,,,,,,,,,,5,,5,,,,5,,6920996506984,02_blackNew_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,0.072022,0.072022,,,0.072022,,40.012091,40.012091,0,2025-12-13,2025-12-13,1,9,,,,,threads,9,0.360109,1,6,1,4,3,3
,,,,,,,,,,,,,,,,,,,,,,,,6920996507584,05_greendress_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,32.857143,38.333333,0,2025-12-13,2025-12-13,1.166667,7,,,,,facebook,6,0.23,,1,,,,
,,,,,,,,,,,1,,,,,3,,3,1,1,,2,,6920996507584,05_greendress_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,0.036667,0.036667,0.11,,0.055,,36.666667,36.666667,0,2025-12-13,2025-12-13,1,3,,,,,instagram,3,0.11,,7,,2,1,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6920999335984,11_yellow dress_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,0.09,0.09,,,0.09,,22.5,30,0,2025-12-13,2025-12-13,1.333333,4,,,,,facebook,3,0.09,1,4,1,1,1,1
,,,,,,,,,,,,,,,,2,,2,,,,2,,6920999335984,11_yellow dress_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,1,,,,,,,,,0.05,0.05,,,0.05,0.1,14.285714,14.285714,14.285714,2025-12-13,2025-12-13,1,7,,,,,instagram,7,0.1,,2,,2,,
,,,,,,,,,,,,,,,,3,,3,,,,3,,6920999336184,07_nose ring_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,0.063333,0.063333,,,0.063333,,21.111111,23.75,0,2025-12-13,2025-12-13,1.125,9,,,,,facebook,8,0.19,,2,,2,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6920999336184,07_nose ring_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,0.2,0.2,,,0.2,,33.333333,33.333333,0,2025-12-13,2025-12-13,1,6,,,,,instagram,6,0.2,,2,,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,6920999336384,08_Red dress_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,60,60,0,2025-12-13,2025-12-13,1,1,,,,,facebook,1,0.06,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920999336384,08_Red dress_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,100,100,0,2025-12-13,2025-12-13,1,1,,,,,instagram,1,0.1,,2,,,,
,,,,,,,,,,,,,,,,15,,15,,,,15,,6920999337184,02_blackNew_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,0.010667,0.010667,,,0.010667,,7.619048,14.545455,0,2025-12-13,2025-12-13,1.909091,21,,,,,audience_network,11,0.16,1,5,1,14,2,2
1,259,,,42,15,15,259,1,1,,9,1,1,1,1,886,1,886,12,10,1,832,1,6920999337184,02_blackNew_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,41,"[{'action_type': 'subscribe_mobile_app', 'value': '11.4825'}, {'action_type': 'subscribe_total', 'value': '11.4825'}, {'action_type': 'start_trial_mobile_app', 'value': '6.561429'}, {'action_type': 'start_trial_total', 'value': '6.561429'}]",1.093571,"[{'action_type': 'outbound_click', 'value': '1.093571'}]",1.093571,3.062,0.177336,45.93,,0.05184,0.05184,3.8275,45.93,0.055204,1.120244,25.01634,26.200799,2.233115,2025-12-13,2025-12-13,1.047347,1836,2.287582,42,"[{'action_type': 'outbound_click', 'value': '42'}]","[{'action_type': 'outbound_click', 'value': '2.287582'}]",facebook,1753,45.93,95,5,91,738,462,293
,24,,,11,4,4,24,,,,,1,1,,,163,,163,1,,,151,,6920999337184,02_blackNew_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,11,"[{'action_type': 'subscribe_mobile_app', 'value': '12.03'}, {'action_type': 'subscribe_total', 'value': '12.03'}, {'action_type': 'start_trial_mobile_app', 'value': '12.03'}, {'action_type': 'start_trial_total', 'value': '12.03'}]",1.093636,"[{'action_type': 'outbound_click', 'value': '1.093636'}]",1.093636,3.0075,0.50125,,,0.073804,0.073804,12.03,,0.079669,1.093636,27.465753,28.372642,2.511416,2025-12-13,2025-12-13,1.033019,438,2.511416,11,"[{'action_type': 'outbound_click', 'value': '11'}]","[{'action_type': 'outbound_click', 'value': '2.511416'}]",instagram,424,12.03,13,4,13,128,79,50
,,,,,,,,,,,,,,,,30,,30,,,,30,,6920999337184,02_blackNew_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,0.056667,0.056667,,,0.056667,,41.463415,41.463415,0,2025-12-13,2025-12-13,1,41,,,,,threads,41,1.7,3,8,3,28,18,8
,,,,,,,,,,,,,,,,,,,,,,,,6920999337384,10_Red pants_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,10,20,0,2025-12-13,2025-12-13,2,2,,,,,facebook,1,0.02,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920999337384,10_Red pants_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,10,10,0,2025-12-13,2025-12-13,1,1,,,,,instagram,1,0.01,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6920999337784,06_green hair_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,0.03,0.03,,,0.03,,30,30,0,2025-12-13,2025-12-13,1,1,,,,,facebook,1,0.03,,12,,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,6920999337784,06_green hair_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,10,10,0,2025-12-13,2025-12-13,1,1,,,,,instagram,1,0.01,,1,,,,
,,,,,,,,,,,,,,,,4,,4,,,,4,,6920999337984,04_fbg_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,0.005,0.005,,,0.005,,5,10,0,2025-12-13,2025-12-13,2,4,,,,,audience_network,2,0.02,,6,,4,,
,84,1,,16,7,7,84,,,,10,1,1,,,584,,584,11,10,,557,,6920999337984,04_fbg_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,15,"[{'action_type': 'subscribe_mobile_app', 'value': '33.7'}, {'action_type': 'subscribe_total', 'value': '33.7'}, {'action_type': 'start_trial_mobile_app', 'value': '33.7'}, {'action_type': 'start_trial_total', 'value': '33.7'}]",2.10625,"[{'action_type': 'outbound_click', 'value': '2.10625'}]",2.10625,4.814286,0.40119,,,0.057705,0.057705,3.063636,,0.060503,2.246667,26.164596,26.431373,1.164596,2025-12-13,2025-12-13,1.010196,1288,1.242236,16,"[{'action_type': 'outbound_click', 'value': '16'}]","[{'action_type': 'outbound_click', 'value': '1.242236'}]",facebook,1275,33.7,71,4,62,510,304,225
,,,,,,,,,,,,,,,,28,,28,,,,28,,6920999337984,04_fbg_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,0.124286,0.124286,,,0.124286,,35.510204,36.631579,0,2025-12-13,2025-12-13,1.031579,98,,,,,instagram,95,3.48,2,3,2,23,14,8
,,,,,,,,,,,,,,,,5,,5,,,,5,,6920999337984,04_fbg_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,0.116,0.116,,,0.116,,82.857143,82.857143,0,2025-12-13,2025-12-13,1,7,,,,,threads,7,0.58,2,9,2,5,2,2
,4,,,,,,4,,,,,,,,,,,,,,,,,6922648896584,08_reddress_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,0,,,,,,,,,,,,2025-12-13,2025-12-13,0,0,,,,,facebook,0,0,,,,,,
,145,2,1,38,12,12,145,,,,5,,,2,,944,,944,8,7,,898,,6924679041584,12_prerna_noendcardaudio,6924675697784,FB_iOS_Rap_StartTrial_winnersnomusic_091225,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,36,"[{'action_type': 'subscribe_mobile_app', 'value': '7.882802'}, {'action_type': 'subscribe_total', 'value': '7.882802'}, {'action_type': 'start_trial_mobile_app', 'value': '7.882802'}, {'action_type': 'start_trial_total', 'value': '7.882802'}]",1.037211,"[{'action_type': 'outbound_click', 'value': '1.037211'}]",1.037211,3.284501,0.271821,,,0.041752,0.041752,4.926751,,0.043891,1.094834,13.956802,14.026338,1.274788,2025-12-13,2025-12-13,1.004982,2824,1.345609,38,"[{'action_type': 'outbound_click', 'value': '38'}]","[{'action_type': 'outbound_click', 'value': '1.345609'}]",facebook,2810,39.41401,72,3,67,813,394,230
,217,,1,46,19,19,217,,,,28,,,,,1208,1,1208,30,28,,1132,,6924679041584,12_prerna_noendcardaudio,6924675697784,FB_iOS_Rap_StartTrial_winnersnomusic_091225,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,66,"[{'action_type': 'subscribe_mobile_app', 'value': '11.043124'}, {'action_type': 'subscribe_total', 'value': '11.043124'}, {'action_type': 'start_trial_mobile_app', 'value': '9.202603'}, {'action_type': 'start_trial_total', 'value': '9.202603'}]",1.20034,"[{'action_type': 'outbound_click', 'value': '1.20034'}]",1.20034,2.906085,0.25445,,,0.045708,0.045708,1.840521,,0.048777,0.8366,17.72572,17.898093,2.11878,2025-12-13,2025-12-13,1.009724,3115,1.476726,46,"[{'action_type': 'outbound_click', 'value': '46'}]","[{'action_type': 'outbound_click', 'value': '1.476726'}]",instagram,3085,55.215618,88,5,88,1014,523,314
,,,,,,,,,,,2,,,,,131,,131,2,2,,129,,6924679041584,12_prerna_noendcardaudio,6924675697784,FB_iOS_Rap_StartTrial_winnersnomusic_091225,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.027942,0.027942,1.830186,,0.028375,,15.510053,15.510053,0,2025-12-13,2025-12-13,1,236,,,,,threads,236,3.660372,21,7,21,122,69,46
,13,1,,2,,,13,,,,,,,,,68,,68,,,,66,,6924697559784,02 Morgan_Gasstation_hht2,6924668039784,FB_iOS_Rap_StartTrial_gasstation_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,2,,1.68,"[{'action_type': 'outbound_click', 'value': '1.68'}]",1.68,,0.258462,,,0.049412,0.049412,,,0.050909,1.68,13.884298,14.482759,0.826446,2025-12-13,2025-12-13,1.043103,242,0.826446,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '0.826446'}]",facebook,232,3.36,7,3,7,53,26,17
,3,,,,,,3,,,,,,,,,9,,9,,,,9,,6924697559784,02 Morgan_Gasstation_hht2,6924668039784,FB_iOS_Rap_StartTrial_gasstation_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,,,,,,0.25,,,0.083333,0.083333,,,0.083333,,19.230769,19.736842,0,2025-12-13,2025-12-13,1.026316,39,,,,,instagram,38,0.75,,2,,8,3,2
,,,,,,,,,,,,,,,,9,,9,,,,9,,6924697559784,02 Morgan_Gasstation_hht2,6924668039784,FB_iOS_Rap_StartTrial_gasstation_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,,,,,,,,,0.024444,0.024444,,,0.024444,,13.75,13.75,0,2025-12-13,2025-12-13,1,16,,,,,threads,16,0.22,3,5,3,7,4,4
,,,,,,,,,,,,,,,,5,,5,,,,5,,6924698562784,03 Morgan_Gasstation_gemini_hht2,6924668039784,FB_iOS_Rap_StartTrial_gasstation_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,,,,,,,,,0.078,0.078,,,0.078,,17.727273,17.727273,0,2025-12-13,2025-12-13,1,22,,,,,facebook,22,0.39,1,2,1,5,1,1
,,,,,,,,,,,,,,,,2,,2,,,,2,,6924698562784,03 Morgan_Gasstation_gemini_hht2,6924668039784,FB_iOS_Rap_StartTrial_gasstation_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,,,,,,,,,0.115,0.115,,,0.115,,17.692308,17.692308,0,2025-12-13,2025-12-13,1,13,,,,,instagram,13,0.23,,1,,2,1,
,,,,,,,,,,,,,,,,2,,2,,,,2,,6924698562784,03 Morgan_Gasstation_gemini_hht2,6924668039784,FB_iOS_Rap_StartTrial_gasstation_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,,,,,,,,,0.03,0.03,,,0.03,,20,20,0,2025-12-13,2025-12-13,1,3,,,,,threads,3,0.06,,5,,2,1,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6924705570784,04 Morgan_Gasstation_gemini_ginjuice,6924668039784,FB_iOS_Rap_StartTrial_gasstation_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-13,2025-12-13,1,1,,,,,facebook,1,0.01,,6,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6924705570784,04 Morgan_Gasstation_gemini_ginjuice,6924668039784,FB_iOS_Rap_StartTrial_gasstation_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,,,,,,,,,,,,,,,10,20,0,2025-12-13,2025-12-13,2,2,,,,,instagram,1,0.02,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6924706270984,05 Eddie_Gasstation_gemini_hht2,6924668039784,FB_iOS_Rap_StartTrial_gasstation_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-13,2025-12-13,1,1,,,,,audience_network,1,0.01,,3,,,,
,24,,,1,1,1,24,,,,,,,,,54,,54,,,,53,,6924706270984,05 Eddie_Gasstation_gemini_hht2,6924668039784,FB_iOS_Rap_StartTrial_gasstation_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,1,"[{'action_type': 'subscribe_mobile_app', 'value': '3.5'}, {'action_type': 'subscribe_total', 'value': '3.5'}, {'action_type': 'start_trial_mobile_app', 'value': '3.5'}, {'action_type': 'start_trial_total', 'value': '3.5'}]",3.5,"[{'action_type': 'outbound_click', 'value': '3.5'}]",3.5,3.5,0.145833,,,0.064815,0.064815,,,0.066038,3.5,17.676768,18.518519,0.505051,2025-12-13,2025-12-13,1.047619,198,0.505051,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.505051'}]",facebook,189,3.5,3,3,2,44,19,8
,58,,,3,3,3,58,,,,,,,,,37,,37,,,,34,,6924706270984,05 Eddie_Gasstation_gemini_hht2,6924668039784,FB_iOS_Rap_StartTrial_gasstation_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,5,"[{'action_type': 'subscribe_mobile_app', 'value': '2.61'}, {'action_type': 'subscribe_total', 'value': '2.61'}, {'action_type': 'start_trial_mobile_app', 'value': '2.61'}, {'action_type': 'start_trial_total', 'value': '2.61'}]",0.87,"[{'action_type': 'outbound_click', 'value': '0.87'}]",0.87,0.87,0.045,,,0.070541,0.070541,,,0.076765,0.522,23.303571,24.622642,4.464286,2025-12-13,2025-12-13,1.056604,112,2.678571,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '2.678571'}]",instagram,106,2.61,4,4,4,31,12,7
,,,,,,,,,,,,,,,,25,,25,,,,25,,6924706270984,05 Eddie_Gasstation_gemini_hht2,6924668039784,FB_iOS_Rap_StartTrial_gasstation_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,,,,,,,,,0.0308,0.0308,,,0.0308,,16.73913,16.73913,0,2025-12-13,2025-12-13,1,46,,,,,threads,46,0.77,7,9,7,23,15,10
,,,,,,,,,,,,,,,,4,,4,,,,4,,6924706727584,06 Eddie_Gasstation_gemini_ginjuice,6924668039784,FB_iOS_Rap_StartTrial_gasstation_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,,,,,,,,,0.03,0.03,,,0.03,,15,15,0,2025-12-13,2025-12-13,1,8,,,,,facebook,8,0.12,1,4,1,3,1,1
,,,,,,,,,,,,,,,,,,,,,,,,6924706727584,06 Eddie_Gasstation_gemini_ginjuice,6924668039784,FB_iOS_Rap_StartTrial_gasstation_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,,,,,,,,,,,,,,,20,20,0,2025-12-13,2025-12-13,1,3,,,,,instagram,3,0.06,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6924706727584,06 Eddie_Gasstation_gemini_ginjuice,6924668039784,FB_iOS_Rap_StartTrial_gasstation_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,,,,,,,,,0.03,0.03,,,0.03,,15,15,0,2025-12-13,2025-12-13,1,2,,,,,threads,2,0.03,,2,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6924707290984,07 Mike_Gasstation_gemini_hht2,6924668039784,FB_iOS_Rap_StartTrial_gasstation_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,,,,,,,,,,,,,,,6.668674,10.003012,0,2025-12-13,2025-12-13,1.5,3,,,,,audience_network,2,0.020006,,1,,,,
,71,,,22,6,6,71,,,,1,,,,,499,,499,1,1,,476,,6924707290984,07 Mike_Gasstation_gemini_hht2,6924668039784,FB_iOS_Rap_StartTrial_gasstation_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,22,"[{'action_type': 'subscribe_mobile_app', 'value': '36.861098'}, {'action_type': 'subscribe_total', 'value': '36.861098'}, {'action_type': 'start_trial_mobile_app', 'value': '36.861098'}, {'action_type': 'start_trial_total', 'value': '36.861098'}]",1.675504,"[{'action_type': 'outbound_click', 'value': '1.675504'}]",1.675504,6.143516,0.51917,,,0.07387,0.07387,36.861098,,0.077439,1.675504,19.039823,20.142676,1.136364,2025-12-13,2025-12-13,1.057924,1936,1.136364,22,"[{'action_type': 'outbound_click', 'value': '22'}]","[{'action_type': 'outbound_click', 'value': '1.136364'}]",facebook,1830,36.861098,46,3,45,399,175,107
,105,,,9,4,4,105,,,,1,,,,,264,1,264,2,1,,253,,6924707290984,07 Mike_Gasstation_gemini_hht2,6924668039784,FB_iOS_Rap_StartTrial_gasstation_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,12,"[{'action_type': 'subscribe_mobile_app', 'value': '14.14926'}, {'action_type': 'subscribe_total', 'value': '14.14926'}, {'action_type': 'start_trial_mobile_app', 'value': '14.14926'}, {'action_type': 'start_trial_total', 'value': '14.14926'}]",3.14428,"[{'action_type': 'outbound_click', 'value': '3.14428'}]",3.14428,7.07463,0.26951,,,0.107191,0.107191,14.14926,,0.111852,2.35821,19.172439,19.872556,0.813008,2025-12-13,2025-12-13,1.036517,1476,0.609756,9,"[{'action_type': 'outbound_click', 'value': '9'}]","[{'action_type': 'outbound_click', 'value': '0.609756'}]",instagram,1424,28.29852,34,2,34,223,109,63
,,,,,,,,,,,,,,,,22,,22,,,,22,,6924707290984,07 Mike_Gasstation_gemini_hht2,6924668039784,FB_iOS_Rap_StartTrial_gasstation_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,,,,,,,,,0.056835,0.056835,,,0.056835,,18.945098,18.945098,0,2025-12-13,2025-12-13,1,66,,,,,threads,66,1.250376,1,3,1,19,5,3
,,,,,,,,,,,,,,,,2,,2,,,,2,,6924708193184,08 Mike_Gasstation_gemini_ginjuice,6924668039784,FB_iOS_Rap_StartTrial_gasstation_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,,,,,,,,,0.095,0.095,,,0.095,,23.75,23.75,0,2025-12-13,2025-12-13,1,8,,,,,facebook,8,0.19,,2,,1,,
,2,,,1,1,1,2,,,,,,,,,2,,2,,,,1,,6924708193184,08 Mike_Gasstation_gemini_ginjuice,6924668039784,FB_iOS_Rap_StartTrial_gasstation_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,1,,0.12,"[{'action_type': 'outbound_click', 'value': '0.12'}]",0.12,0.12,0.06,,,0.06,0.06,,,0.12,0.12,40,40,33.333333,2025-12-13,2025-12-13,1,3,33.333333,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '33.333333'}]",instagram,3,0.12,,3,,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,6924708193184,08 Mike_Gasstation_gemini_ginjuice,6924668039784,FB_iOS_Rap_StartTrial_gasstation_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,,,,,,,,,,,,,,,10,10,0,2025-12-13,2025-12-13,1,1,,,,,threads,1,0.01,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6924712086784,01 Prerna_bodakyellow,6924712086984,FB_iOS_Rap_StartTrial_prernamusicvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,,,,,,,,,,,,,,,20,20,0,2025-12-13,2025-12-13,1,1,,,,,threads,1,0.02,,1,,,,
