action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,,,,,,,6915585772384,tyson_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,50,50,0,2025-11-30,2025-11-30,1,1,,,,,instagram,1,0.05,,2,,,,
,301,3,,44,20,20,301,,,,,,,1311,1,1311,13,12,,1254,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,44,"[{'action_type': 'subscribe_mobile_app', 'value': '44.28'}, {'action_type': 'subscribe_total', 'value': '44.28'}, {'action_type': 'start_trial_mobile_app', 'value': '17.712'}, {'action_type': 'start_trial_total', 'value': '17.712'}]",2.012727,"[{'action_type': 'outbound_click', 'value': '2.012727'}]",2.012727,4.428,0.294219,,0.067551,0.067551,6.812308,,0.070622,2.012727,22.626469,25.045249,1.12417,2025-11-30,2025-11-30,1.1069,3914,1.12417,44,"[{'action_type': 'outbound_click', 'value': '44'}]","[{'action_type': 'outbound_click', 'value': '1.12417'}]",facebook,3536,88.56,161,3,143,1193,539,333
,5,,,3,1,1,5,,,,,,,142,,142,1,1,,138,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,3,,3.503333,"[{'action_type': 'outbound_click', 'value': '3.503333'}]",3.503333,10.51,2.102,,0.074014,0.074014,10.51,,0.076159,3.503333,23.8322,24.16092,0.680272,2025-11-30,2025-11-30,1.013793,441,0.680272,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '0.680272'}]",instagram,435,10.51,11,3,11,125,54,26
,,,,,,,,,,,,,,44,,44,,,,44,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.043864,0.043864,,,0.043864,,18.921569,18.921569,0,2025-11-30,2025-11-30,1,102,,,,,threads,102,1.93,9,5,9,43,21,15
,,,,,,,,,,,,,,,,,,,,,,6915585772984,jesus_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,10,10,0,2025-11-30,2025-11-30,1,2,,,,,facebook,2,0.02,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,6915585772984,jesus_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,560,560,0,2025-11-30,2025-11-30,1,1,,,,,instagram,1,0.56,,3,,,,
,,,,,,,,,,,,,,9,,9,,,,9,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.031111,0.031111,,,0.031111,,25.454545,28,0,2025-11-30,2025-11-30,1.1,11,,,,,audience_network,10,0.28,7,9,7,9,8,7
,277,1,,69,17,17,277,,,,,,,1309,,1309,10,10,,1230,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,67,"[{'action_type': 'subscribe_mobile_app', 'value': '48.59'}, {'action_type': 'subscribe_total', 'value': '48.59'}, {'action_type': 'start_trial_mobile_app', 'value': '48.59'}, {'action_type': 'start_trial_total', 'value': '48.59'}]",1.408406,"[{'action_type': 'outbound_click', 'value': '1.408406'}]",1.408406,5.716471,0.35083,,0.07424,0.07424,9.718,,0.079008,1.450448,25.695399,27.718197,1.771549,2025-11-30,2025-11-30,1.078722,3782,1.824432,69,"[{'action_type': 'outbound_click', 'value': '69'}]","[{'action_type': 'outbound_click', 'value': '1.824432'}]",facebook,3506,97.18,197,4,185,1176,601,368
,2,,,2,,,2,,,,,,,113,,113,,,,111,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,7,,4.605,"[{'action_type': 'outbound_click', 'value': '4.605'}]",4.605,,4.605,,0.081504,0.081504,,,0.082973,1.315714,23.435115,23.922078,1.78117,2025-11-30,2025-11-30,1.020779,393,0.508906,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '0.508906'}]",instagram,385,9.21,13,3,13,104,38,26
,,,,,,,,,,,,,,72,,72,,,,72,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.042778,0.042778,,,0.042778,,18.666667,18.666667,0,2025-11-30,2025-11-30,1,165,,,,,threads,165,3.08,14,5,15,71,41,28
