action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,1,,1,,,,1,,6920996507584,05_greendress_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.22,0.22,,,0.22,,110,110,0,2025-12-07,2025-12-07,UNKNOWN,1,2,,,,,UNKNOWN,2,0.22,,5,,1,1,
1,599,4,,134,62,62,599,1,1,2,2,1,1,4277,3,4277,48,43,1,4095,1,6920999337184,02_blackNew_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,145,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '208.11'}, {'action_type': 'subscribe_total', 'value': '208.11'}]",1.55306,"[{'action_type': 'outbound_click', 'value': '1.55306'}]",1.55306,3.356613,0.347429,208.11,0.048658,0.048658,4.335625,208.11,0.050821,1.435241,23.257711,25.16445,1.620474,2025-12-07,2025-12-07,ABOVE_AVERAGE,1.081983,8948,1.497541,134,"[{'action_type': 'outbound_click', 'value': '134'}]","[{'action_type': 'outbound_click', 'value': '1.497541'}]",AVERAGE,8270,208.11,425,5,408,3726,2299,1432
,27,,,13,5,5,27,,,,,,,321,,321,7,7,,301,,6920999337984,04_fbg_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,13,AVERAGE,,1.170769,"[{'action_type': 'outbound_click', 'value': '1.170769'}]",1.170769,3.044,0.563704,,0.047414,0.047414,2.174286,,0.050565,1.170769,22.990937,24.082278,1.963746,2025-12-07,2025-12-07,ABOVE_AVERAGE,1.047468,662,1.963746,13,"[{'action_type': 'outbound_click', 'value': '13'}]","[{'action_type': 'outbound_click', 'value': '1.963746'}]",ABOVE_AVERAGE,632,15.22,44,5,45,270,165,131
,,,,,,,,,,,,,,6,,6,,,,6,,6922611488184,01_Cristiano_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,,,0.161667,0.161667,,,0.161667,,53.888889,57.058824,0,2025-12-07,2025-12-07,UNKNOWN,1.058824,18,,,,,UNKNOWN,17,0.97,1,5,1,5,2,1
,,,,,,,,,,,,,,5,,5,,,,5,,6922613374584,01_Cristiano_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,,,0.084,0.084,,,0.084,,23.333333,24.705882,0,2025-12-07,2025-12-07,UNKNOWN,1.058824,18,,,,,UNKNOWN,17,0.42,1,3,1,2,1,1
,1,,,2,,,1,,,,,,,28,,28,,,,26,,6922613549984,01_black4_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,2,UNKNOWN,,1.525,"[{'action_type': 'outbound_click', 'value': '1.525'}]",1.525,,3.05,,0.108929,0.108929,,,0.117308,1.525,25,26.293103,1.639344,2025-12-07,2025-12-07,UNKNOWN,1.051724,122,1.639344,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '1.639344'}]",UNKNOWN,116,3.05,3,3,3,24,12,8
,,,,,,,,,,,,,,7,,7,,,,7,,6922613869184,01_Cristiano_luther - kendrick,6922613868984,luther (kendrick),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,,,0.091429,0.091429,,,0.091429,,15.238095,16,0,2025-12-07,2025-12-07,UNKNOWN,1.05,42,,,,,UNKNOWN,40,0.64,1,3,1,6,3,3
,4,,,1,1,1,4,,,,,,,24,,24,,,,23,,6922614475984,02_Eddie_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,1,UNKNOWN,,1.45,"[{'action_type': 'outbound_click', 'value': '1.45'}]",1.45,1.45,0.3625,,0.060417,0.060417,,,0.063043,1.45,24.576271,24.576271,1.694915,2025-12-07,2025-12-07,UNKNOWN,1,59,1.694915,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.694915'}]",UNKNOWN,59,1.45,3,4,3,18,8,3
,6,,,1,,,6,,,,,,,42,,42,1,1,,40,,6922615092384,03_Gael_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,1,UNKNOWN,,5.53,"[{'action_type': 'outbound_click', 'value': '5.53'}]",5.53,,0.921667,,0.131667,0.131667,5.53,,0.13825,5.53,32.339181,36.143791,0.584795,2025-12-07,2025-12-07,UNKNOWN,1.117647,171,0.584795,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.584795'}]",UNKNOWN,153,5.53,6,3,5,31,15,10
,,,,,,,,,,,,,,1,,1,,,,1,,6922616414384,04_Javier_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,,,0.3,0.3,,,0.3,,50,50,0,2025-12-07,2025-12-07,UNKNOWN,1,6,,,,,UNKNOWN,6,0.3,,1,,1,,
,94,,1,25,10,10,94,,,,,,,376,1,376,3,1,,348,,6922617151984,05_Jesus_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,28,ABOVE_AVERAGE,,1.5364,"[{'action_type': 'outbound_click', 'value': '1.5364'}]",1.5364,3.841,0.408617,,0.102154,0.102154,12.803333,,0.110374,1.371786,26.692147,29.231355,1.945796,2025-12-07,2025-12-07,AVERAGE,1.095129,1439,1.737318,25,"[{'action_type': 'outbound_click', 'value': '25'}]","[{'action_type': 'outbound_click', 'value': '1.737318'}]",BELOW_AVERAGE_35,1314,38.41,59,3,59,295,157,104
