action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,2,,2,,,,2,,6916144704984,jesus_rap_1_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.005,0.005,,,0.005,,5,5,0,2025-12-15,2025-12-15,1,2,,,,,instagram,2,0.01,,3,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6916144704984,jesus_rap_1_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,90,90,0,2025-12-15,2025-12-15,1,1,,,,,threads,1,0.09,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6916166162984,05 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,40,40,0,2025-12-15,2025-12-15,1,1,,,,,instagram,1,0.04,,1,,,,
,40,,,7,1,1,40,,,,2,,,,,108,,108,2,2,,99,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,6,,0.761429,"[{'action_type': 'outbound_click', 'value': '0.761429'}]",0.761429,5.33,0.13325,,0.049352,0.049352,2.665,,0.053838,0.888333,20.901961,21.578947,2.352941,2025-12-15,2025-12-15,1.032389,255,2.745098,7,"[{'action_type': 'outbound_click', 'value': '7'}]","[{'action_type': 'outbound_click', 'value': '2.745098'}]",facebook,247,5.33,15,5,13,91,51,39
,225,,,21,13,13,225,,,,7,,,,,421,2,421,9,7,,391,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,28,"[{'action_type': 'subscribe_mobile_app', 'value': '4.971429'}, {'action_type': 'subscribe_total', 'value': '4.971429'}, {'action_type': 'start_trial_mobile_app', 'value': '34.8'}, {'action_type': 'start_trial_total', 'value': '34.8'}]",1.657143,"[{'action_type': 'outbound_click', 'value': '1.657143'}]",1.657143,2.676923,0.154667,,0.08266,0.08266,3.866667,,0.089003,1.242857,31.323132,33.493744,2.520252,2025-12-15,2025-12-15,1.069297,1111,1.890189,21,"[{'action_type': 'outbound_click', 'value': '21'}]","[{'action_type': 'outbound_click', 'value': '1.890189'}]",instagram,1039,34.8,39,4,39,351,174,116
,,,,,,,,,,,,,,,,28,,28,,,,28,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.041071,0.041071,,,0.041071,,23.958333,23.958333,0,2025-12-15,2025-12-15,1,48,,,,,threads,48,1.15,10,14,10,25,18,11
,62,1,,9,3,3,62,,,,,,,,,219,,219,,,,210,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,9,"[{'action_type': 'subscribe_mobile_app', 'value': '10.45'}, {'action_type': 'subscribe_total', 'value': '10.45'}]",1.161111,"[{'action_type': 'outbound_click', 'value': '1.161111'}]",1.161111,3.483333,0.168548,,0.047717,0.047717,,,0.049762,1.161111,17.681895,18.828829,1.522843,2025-12-15,2025-12-15,1.064865,591,1.522843,9,"[{'action_type': 'outbound_click', 'value': '9'}]","[{'action_type': 'outbound_click', 'value': '1.522843'}]",facebook,555,10.45,21,4,20,173,85,49
,108,,,17,4,4,108,,,,13,1,1,1,,893,,893,15,14,,861,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,27,"[{'action_type': 'subscribe_mobile_app', 'value': '12.7025'}, {'action_type': 'subscribe_total', 'value': '12.7025'}, {'action_type': 'start_trial_mobile_app', 'value': '50.81'}, {'action_type': 'start_trial_total', 'value': '50.81'}]",2.988824,"[{'action_type': 'outbound_click', 'value': '2.988824'}]",2.988824,12.7025,0.470463,,0.056898,0.056898,3.387333,,0.059013,1.881852,19.519785,19.610189,1.037265,2025-12-15,2025-12-15,1.004631,2603,0.653093,17,"[{'action_type': 'outbound_click', 'value': '17'}]","[{'action_type': 'outbound_click', 'value': '0.653093'}]",instagram,2591,50.81,54,3,54,739,341,187
,,,,,,,,,,,,,,,,26,,26,,,,26,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.052692,0.052692,,,0.052692,,21.076923,21.076923,0,2025-12-15,2025-12-15,1,65,,,,,threads,65,1.37,6,6,6,25,18,12
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916171454184,15 tyson,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.14,0.14,,,0.14,,35,35,0,2025-12-15,2025-12-15,1,4,,,,,facebook,4,0.14,1,5,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,6916171454184,15 tyson,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,20,20,0,2025-12-15,2025-12-15,1,4,,,,,instagram,4,0.08,,1,,,,
,,,,,,,,,,,,,,,,4,,4,,,,4,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.0775,0.0775,,,0.0775,,25.833333,25.833333,0,2025-12-15,2025-12-15,1,12,,,,,facebook,12,0.31,,2,,3,1,
,,,,,,,,,,,,,,,,6,,6,,,,6,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,2,,,,,,,,0.063333,0.063333,,,0.063333,0.19,18.095238,18.095238,9.52381,2025-12-15,2025-12-15,1,21,,,,,instagram,21,0.38,2,4,2,6,4,4
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.03,0.03,,,0.03,,10,10,0,2025-12-15,2025-12-15,1,3,,,,,threads,3,0.03,,4,,1,1,1
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917461955784,03 Mike_gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.19,0.19,,,0.19,,27.142857,27.142857,0,2025-12-15,2025-12-15,1,7,,,,,facebook,7,0.19,,2,,,,
,,,,,,,,,,,,,,,,5,,5,,,,5,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.014,0.014,,,0.014,,14,35,0,2025-12-15,2025-12-15,2.5,5,,,,,audience_network,2,0.07,2,10,2,5,4,2
,438,1,1,92,35,35,438,,,,10,3,3,1,,2582,2,2582,17,11,,2473,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,90,"[{'action_type': 'subscribe_mobile_app', 'value': '10.765'}, {'action_type': 'subscribe_total', 'value': '10.765'}, {'action_type': 'start_trial_mobile_app', 'value': '14.353333'}, {'action_type': 'start_trial_total', 'value': '14.353333'}]",0.936087,"[{'action_type': 'outbound_click', 'value': '0.936087'}]",0.936087,2.460571,0.196621,,0.033354,0.033354,5.065882,,0.034824,0.956889,12.588803,13.084169,1.315597,2025-12-15,2025-12-15,1.03935,6841,1.344833,92,"[{'action_type': 'outbound_click', 'value': '92'}]","[{'action_type': 'outbound_click', 'value': '1.344833'}]",facebook,6582,86.12,236,4,221,2223,1205,737
