action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_conversation_started_7d,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_onsite_conversion.messaging_conversation_started_7d,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,2,,,1,,,2,,,,,,,,,2,,2,,,,1,,6917461956584,01 Santa_slim - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,UNKNOWN,,0.02,"[{'action_type': 'outbound_click', 'value': '0.02'}]",0.02,,0.01,,,0.01,0.01,,,0.02,0.02,10,10,50,2025-12-13,2025-12-13,UNKNOWN,1,2,50,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '50'}]",UNKNOWN,2,0.02,,5,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6917461956784,01 Jesus_rapGod - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,,,,,,,,10,10,0,2025-12-13,2025-12-13,UNKNOWN,1,1,,,,,UNKNOWN,1,0.01,,2,,,,
,478,4,1,139,36,36,478,,,1,18,1,1,,,3632,2,3632,22,18,,3471,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,147,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '10.198462'}, {'action_type': 'subscribe_total', 'value': '10.198462'}, {'action_type': 'start_trial_mobile_app', 'value': '9.47'}, {'action_type': 'start_trial_total', 'value': '9.47'}]",0.953813,"[{'action_type': 'outbound_click', 'value': '0.953813'}]",0.953813,3.682778,0.277364,,132.58,0.036503,0.036503,6.026364,,0.038196,0.901905,13.781705,13.901646,1.528067,2025-12-13,2025-12-13,AVERAGE,1.008703,9620,1.444906,139,"[{'action_type': 'outbound_click', 'value': '139'}]","[{'action_type': 'outbound_click', 'value': '1.444906'}]",AVERAGE,9537,132.58,312,4,302,3085,1628,975
,,,,,,,,,,,,,,,,3,,3,,,,3,,6917461957184,01 Jesus_travis - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,,0.02,0.02,,,0.02,,12,12,0,2025-12-13,2025-12-13,UNKNOWN,1,5,,,,,UNKNOWN,5,0.06,,3,,2,,
,,,,,,,,,,,,,,,,17,,17,,,,17,,6917505479784,06 fbg og - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,,0.057059,0.057059,,,0.057059,,23.095238,24.871795,0,2025-12-13,2025-12-13,UNKNOWN,1.076923,42,,,,,UNKNOWN,39,0.97,2,4,2,15,6,5
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917505480384,05 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,,0,0,,,0,,0,0,0,2025-12-13,2025-12-13,UNKNOWN,1,1,,,,,UNKNOWN,1,0,,6,,1,,
,,,,3,1,1,,,,,1,,,,,32,,32,1,1,,28,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,3,UNKNOWN,,0.59,"[{'action_type': 'outbound_click', 'value': '0.59'}]",0.59,1.77,,,,0.055313,0.055313,1.77,,0.063214,0.59,15.258621,15.803571,2.586207,2025-12-13,2025-12-13,UNKNOWN,1.035714,116,2.586207,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '2.586207'}]",UNKNOWN,112,1.77,6,3,4,27,13,9
,,,,,,,,,,,,,,,,,,,,,,,,6917505480784,18 esha - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,,,,,,,,20,20,0,2025-12-13,2025-12-13,UNKNOWN,1,1,,,,,UNKNOWN,1,0.02,,2,,,,
,587,2,,130,53,53,587,,,,27,2,2,1,,2594,3,2594,33,28,,2431,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,131,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '12.541111'}, {'action_type': 'subscribe_total', 'value': '12.541111'}, {'action_type': 'start_trial_mobile_app', 'value': '7.524667'}, {'action_type': 'start_trial_total', 'value': '7.524667'}]",0.868231,"[{'action_type': 'outbound_click', 'value': '0.868231'}]",0.868231,2.129623,0.192283,,,0.043512,0.043512,3.420303,,0.046429,0.861603,14.923972,15.645966,1.732117,2025-12-13,2025-12-13,ABOVE_AVERAGE,1.048378,7563,1.718895,130,"[{'action_type': 'outbound_click', 'value': '130'}]","[{'action_type': 'outbound_click', 'value': '1.718895'}]",AVERAGE,7214,112.87,204,3,187,2108,982,536
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917505481584,02 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,,0.07,0.07,,,0.07,,10,10,0,2025-12-13,2025-12-13,UNKNOWN,1,7,,,,,UNKNOWN,7,0.07,1,3,1,1,1,1
