action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_conversation_started_7d,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_onsite_conversion.messaging_conversation_started_7d,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,2,,,1,1,1,2,,,,,,,,,17,,17,,,,16,,6926066018184,13_blonde_jumpoff_redcar,6926060791584,FB_iOS_Rap_StartTrial_blondelilkimvariants_111225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,1,UNKNOWN,,2.24,"[{'action_type': 'outbound_click', 'value': '2.24'}]",2.24,2.24,1.12,,,0.131765,0.131765,,,0.14,2.24,37.966102,40.727273,1.694915,2025-12-13,2025-12-13,UNKNOWN,1.072727,59,1.694915,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.694915'}]",UNKNOWN,55,2.24,2,3,1,15,6,5
,283,,,48,20,20,283,,,,5,,,,,873,1,873,6,5,,819,,6926066642184,35_blonde_bent,6926060791584,FB_iOS_Rap_StartTrial_blondelilkimvariants_111225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,50,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '9.192857'}, {'action_type': 'subscribe_total', 'value': '9.192857'}, {'action_type': 'start_trial_mobile_app', 'value': '6.435'}, {'action_type': 'start_trial_total', 'value': '6.435'}]",1.340625,"[{'action_type': 'outbound_click', 'value': '1.340625'}]",1.340625,3.2175,0.227385,,,0.073711,0.073711,10.725,,0.078571,1.287,18.722723,20.852236,1.454757,2025-12-13,2025-12-13,ABOVE_AVERAGE,1.113739,3437,1.396567,48,"[{'action_type': 'outbound_click', 'value': '48'}]","[{'action_type': 'outbound_click', 'value': '1.396567'}]",BELOW_AVERAGE_35,3086,64.35,92,3,90,725,339,197
,,,,,,,,,,,,,,,,3,,3,,,,3,,6926070134384,23 Prerna lilkim_eiffeltower,6925369208584,FB_iOS_Rap_StartTrial_prernajumpoffvariants_101225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,0,UNKNOWN,,,,,,,,,0.083333,0.083333,,,0.083333,,17.857143,17.857143,0,2025-12-13,2025-12-13,UNKNOWN,1,14,,,,,UNKNOWN,14,0.25,,2,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6927319919984,03_blackbodysuit_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,,0,0,0,2025-12-13,2025-12-13,UNKNOWN,1,2,,,,,UNKNOWN,2,0,,1,,,,
,71,,,8,3,3,71,,,,,,,,,8,,8,,,,,,6927326214584,New App promotion Ad,6927326214784,FB_iOS_BAU_StartTrial_F_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,9,UNKNOWN,"[{'action_type': 'subscribe_mobile_app', 'value': '3.153333'}, {'action_type': 'subscribe_total', 'value': '3.153333'}, {'action_type': 'start_trial_mobile_app', 'value': '3.153333'}, {'action_type': 'start_trial_total', 'value': '3.153333'}]",1.1825,"[{'action_type': 'outbound_click', 'value': '1.1825'}]",1.1825,3.153333,0.133239,,,1.1825,1.1825,,,,1.051111,12.697987,12.941176,1.208054,2025-12-13,2025-12-13,UNKNOWN,1.019152,745,1.073826,8,"[{'action_type': 'outbound_click', 'value': '8'}]","[{'action_type': 'outbound_click', 'value': '1.073826'}]",UNKNOWN,731,9.46,,,,,,
,,,,,,,,,,,,,,,,41,,41,,,,41,,6927327516184,jesus_rap_1_4x5 - Copy,6927326698584,FB_iOS_BAU_StartTrial_M_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,0,UNKNOWN,,,,,,,,,0.040976,0.040976,,,0.040976,,15.555556,15.555556,0,2025-12-13,2025-12-13,UNKNOWN,1,108,,,,,UNKNOWN,108,1.68,4,3,4,39,17,8
,10,,,8,2,2,10,,,,6,,,,,285,,285,6,6,,271,,6927327516384,04 Morgan_humble - Copy,6927326698584,FB_iOS_BAU_StartTrial_M_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,8,UNKNOWN,,1.57,"[{'action_type': 'outbound_click', 'value': '1.57'}]",1.57,6.28,1.256,,,0.04407,0.04407,2.093333,,0.046347,1.57,19.059181,19.059181,1.213961,2025-12-13,2025-12-13,UNKNOWN,1,659,1.213961,8,"[{'action_type': 'outbound_click', 'value': '8'}]","[{'action_type': 'outbound_click', 'value': '1.213961'}]",UNKNOWN,659,12.56,29,4,29,238,111,64
,1,,,9,2,2,1,,,,3,,,,,296,1,296,4,3,,283,,6927327516584,04_MorganF_Nuthin But A G Thang - Copy 2,6927326698584,FB_iOS_BAU_StartTrial_M_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,9,UNKNOWN,,1.215556,"[{'action_type': 'outbound_click', 'value': '1.215556'}]",1.215556,5.47,10.94,,,0.036959,0.036959,2.735,,0.038657,1.215556,15.365169,15.473833,1.264045,2025-12-13,2025-12-13,UNKNOWN,1.007072,712,1.264045,9,"[{'action_type': 'outbound_click', 'value': '9'}]","[{'action_type': 'outbound_click', 'value': '1.264045'}]",UNKNOWN,707,10.94,21,4,21,246,101,57
,20,,,5,1,1,20,,,,3,,,,,271,,271,3,3,,263,,6927327516784,02 Eddie_Snoop - Copy 2,6927326698584,FB_iOS_BAU_StartTrial_M_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,6,UNKNOWN,,2.296,"[{'action_type': 'outbound_click', 'value': '2.296'}]",2.296,11.48,0.574,,,0.042362,0.042362,3.826667,,0.04365,1.913333,17.661538,17.661538,0.923077,2025-12-13,2025-12-13,UNKNOWN,1,650,0.769231,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '0.769231'}]",UNKNOWN,650,11.48,19,4,17,236,107,65
,26,,,11,4,4,26,,,,14,,,,,560,,560,14,14,,535,,6927327516984,01 Morgan_Snoop_Ginndjuice_01 - Copy,6927326698584,FB_iOS_BAU_StartTrial_M_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,11,UNKNOWN,,2.234545,"[{'action_type': 'outbound_click', 'value': '2.234545'}]",2.234545,6.145,0.945385,,,0.043893,0.043893,1.755714,,0.045944,2.234545,16.54105,16.766712,0.740242,2025-12-13,2025-12-13,UNKNOWN,1.013643,1486,0.740242,11,"[{'action_type': 'outbound_click', 'value': '11'}]","[{'action_type': 'outbound_click', 'value': '0.740242'}]",UNKNOWN,1466,24.58,46,4,44,481,234,122
,,,,,,,,,,,2,,,,,74,,74,2,2,,72,,6927328151184,02 Eddie_Snoop - Copy 3,6927326214784,FB_iOS_BAU_StartTrial_F_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,0,UNKNOWN,,,,,,,,,0.040946,0.040946,1.515,,0.042083,,14.567308,14.567308,0,2025-12-13,2025-12-13,UNKNOWN,1,208,,,,,UNKNOWN,208,3.03,8,3,8,59,25,14
,2,,,1,,,2,,,,,,,,,18,,18,,,,17,,6927328151384,04_MorganF_Nuthin But A G Thang - Copy 3,6927326214784,FB_iOS_BAU_StartTrial_F_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,1,UNKNOWN,,0.71,"[{'action_type': 'outbound_click', 'value': '0.71'}]",0.71,,0.355,,,0.039444,0.039444,,,0.041765,0.71,17.75,17.75,2.5,2025-12-13,2025-12-13,UNKNOWN,1,40,2.5,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '2.5'}]",UNKNOWN,40,0.71,,4,,13,8,4
,,,,,,,,,,,,,,,,1,,1,,,,1,,6927328151584,01 Morgan_Snoop_Ginndjuice_01 - Copy 2,6927326214784,FB_iOS_BAU_StartTrial_F_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,0,UNKNOWN,,,,,,,,,0.07,0.07,,,0.07,,8.75,8.75,0,2025-12-13,2025-12-13,UNKNOWN,1,8,,,,,UNKNOWN,8,0.07,,2,,,,
,,,,,,,,,,,,,,,,10,,10,,,,10,,6927328151784,04 Morgan_humble - Copy 2,6927326214784,FB_iOS_BAU_StartTrial_F_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,0,UNKNOWN,,,,,,,,,0.058,0.058,,,0.058,,17.058824,17.058824,0,2025-12-13,2025-12-13,UNKNOWN,1,34,,,,,UNKNOWN,34,0.58,1,3,1,9,3,1
,,,,,,,,,,,2,,,,,20,,20,2,2,,18,,6927328151984,03_blackbodysuit_Big energy - Copy 2,6927326214784,FB_iOS_BAU_StartTrial_F_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,0,UNKNOWN,,,,,,,,,0.0355,0.0355,0.355,,0.039444,,17.317073,17.317073,0,2025-12-13,2025-12-13,UNKNOWN,1,41,,,,,UNKNOWN,41,0.71,2,4,2,17,9,5
,,,,,,,,,,,,,,,,4,,4,,,,4,,6927328152184,35_blonde_bent - Copy,6927326214784,FB_iOS_BAU_StartTrial_F_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,0,UNKNOWN,,,,,,,,,0.08,0.08,,,0.08,,18.823529,18.823529,0,2025-12-13,2025-12-13,UNKNOWN,1,17,,,,,UNKNOWN,17,0.32,1,3,1,4,2,1
,,,,,,,,,,,,,,,,1,,1,,,,1,,6927328152384,jesus_rap_1_4x5 - Copy 2,6927326214784,FB_iOS_BAU_StartTrial_F_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,0,UNKNOWN,,,,,,,,,0.01,0.01,,,0.01,,5,5,0,2025-12-13,2025-12-13,UNKNOWN,1,2,,,,,UNKNOWN,2,0.01,,7,,1,1,1
,8,1,,5,,,8,,,,3,,,,,124,,124,3,3,,116,,6927328152584,14 blonde - Copy 3,6927326214784,FB_iOS_BAU_StartTrial_F_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,5,UNKNOWN,,1.21,"[{'action_type': 'outbound_click', 'value': '1.21'}]",1.21,,0.75625,,,0.04879,0.04879,2.016667,,0.052155,1.21,17.587209,18.78882,1.453488,2025-12-13,2025-12-13,UNKNOWN,1.068323,344,1.453488,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '1.453488'}]",UNKNOWN,322,6.05,13,7,13,105,53,33
,1,1,,1,,,1,,,,,,,,,20,,20,,,,19,,6927328152784,12_prerna_noendcardaudio - Copy,6927326214784,FB_iOS_BAU_StartTrial_F_Rap,6927326214384,FB_iOS_BAU_StartTrial_131125,1,UNKNOWN,,0.7,"[{'action_type': 'outbound_click', 'value': '0.7'}]",0.7,,0.7,,,0.035,0.035,,,0.036842,0.7,14.285714,14.285714,2.040816,2025-12-13,2025-12-13,UNKNOWN,1,49,2.040816,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '2.040816'}]",UNKNOWN,49,0.7,2,6,2,16,7,5
