action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,age,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,76,1,,18,10,10,76,,,,4,,,,,561,,561,4,4,,539,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,17,"[{'action_type': 'subscribe_mobile_app', 'value': '14.78'}, {'action_type': 'subscribe_total', 'value': '14.78'}]",1.642222,"[{'action_type': 'outbound_click', 'value': '1.642222'}]",1.642222,2.956,0.388947,,0.052692,0.052692,7.39,,0.054842,1.738824,19.878951,20.613668,1.143241,2025-12-15,2025-12-15,1.03696,1487,1.210491,18,"[{'action_type': 'outbound_click', 'value': '18'}]","[{'action_type': 'outbound_click', 'value': '1.210491'}]",1434,29.56,64,3,61,515,242,137
,74,,,19,10,10,74,,,,6,,,,,600,1,600,7,6,,574,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,19,"[{'action_type': 'subscribe_mobile_app', 'value': '16.92'}, {'action_type': 'subscribe_total', 'value': '16.92'}]",1.781053,"[{'action_type': 'outbound_click', 'value': '1.781053'}]",1.781053,3.384,0.457297,,0.0564,0.0564,4.834286,,0.058955,1.781053,24.918999,25.812357,1.399116,2025-12-15,2025-12-15,1.035851,1358,1.399116,19,"[{'action_type': 'outbound_click', 'value': '19'}]","[{'action_type': 'outbound_click', 'value': '1.399116'}]",1311,33.84,73,4,66,543,264,147
,7,,,9,3,3,7,,,,5,,,,,145,,145,5,5,,131,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,55-64,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,10,,0.854444,"[{'action_type': 'outbound_click', 'value': '0.854444'}]",0.854444,2.563333,1.098571,,0.053034,0.053034,1.538,,0.058702,0.769,26.067797,28.376384,3.389831,2025-12-15,2025-12-15,1.088561,295,3.050847,9,"[{'action_type': 'outbound_click', 'value': '9'}]","[{'action_type': 'outbound_click', 'value': '3.050847'}]",271,7.69,28,4,26,123,68,40
,2,,,,,,2,,,,,,,,,7,,7,,,,7,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,65+,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,0.14,,0.04,0.04,,,0.04,,20,20,0,2025-12-15,2025-12-15,1,14,,,,,14,0.28,2,14,2,6,5,2
,1,,,,,,1,,,,,,,,,10,,10,,,,10,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,18-24,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,0.52,,0.052,0.052,,,0.052,,18.571429,19.259259,0,2025-12-15,2025-12-15,1.037037,28,,,,,27,0.52,1,3,1,9,6,4
,5,,,1,,,5,,,,1,,,,,31,,31,1,1,,29,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,2.93,"[{'action_type': 'outbound_click', 'value': '2.93'}]",2.93,,0.586,,0.094516,0.094516,2.93,,0.101034,2.93,22.366412,23.070866,0.763359,2025-12-15,2025-12-15,1.031496,131,0.763359,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.763359'}]",127,2.93,7,2,7,28,15,10
,21,,1,2,2,2,21,,,,1,,,,,96,,96,2,1,,92,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,3,,3.705,"[{'action_type': 'outbound_click', 'value': '3.705'}]",3.705,3.705,0.352857,,0.077188,0.077188,3.705,,0.080543,2.47,26.55914,27.962264,1.075269,2025-12-15,2025-12-15,1.05283,279,0.716846,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '0.716846'}]",265,7.41,16,5,14,88,54,27
,21,,,3,1,1,21,,,,1,,,,,103,,103,1,1,,99,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,3,"[{'action_type': 'subscribe_mobile_app', 'value': '8.24'}, {'action_type': 'subscribe_total', 'value': '8.24'}, {'action_type': 'start_trial_mobile_app', 'value': '8.24'}, {'action_type': 'start_trial_total', 'value': '8.24'}]",2.746667,"[{'action_type': 'outbound_click', 'value': '2.746667'}]",2.746667,8.24,0.392381,,0.08,0.08,8.24,,0.083232,2.746667,31.09434,33.092369,1.132075,2025-12-15,2025-12-15,1.064257,265,1.132075,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '1.132075'}]",249,8.24,19,4,17,92,48,32
,3,,,,,,3,,,,,,,,,18,,18,,,,18,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,55-64,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,0.476667,,0.079444,0.079444,,,0.079444,,26.481481,26.981132,0,2025-12-15,2025-12-15,1.018868,54,,,,,53,1.43,4,4,4,18,13,8
,,,,,,,,,,,,,,,,7,1,7,1,,,6,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,65+,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.031429,0.031429,0.22,,0.036667,,27.5,31.428571,0,2025-12-15,2025-12-15,1.142857,8,,,,,7,0.22,2,7,2,6,3,2
,,,,,,,,,,,,,,,,,,,,,,,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,10,10,0,2025-12-15,2025-12-15,1,1,,,,,1,0.01,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,15,15,0,2025-12-15,2025-12-15,1,2,,,,,2,0.03,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.02,0.02,,,0.02,,20,20,0,2025-12-15,2025-12-15,1,1,,,,,1,0.02,1,73,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,6916144704784,tyson_rap_2_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,13-17,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,0,0,0,2025-12-15,2025-12-15,1,1,,,,,1,0,,1,,,,
,,,,,,,,,,,,,,,,2,,2,,,,2,,6916144704984,jesus_rap_1_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.005,0.005,,,0.005,,5,5,0,2025-12-15,2025-12-15,1,2,,,,,2,0.01,,3,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6916144704984,jesus_rap_1_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,90,90,0,2025-12-15,2025-12-15,1,1,,,,,1,0.09,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6916166162984,05 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,18-24,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,40,40,0,2025-12-15,2025-12-15,1,1,,,,,1,0.04,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,18-24,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,38,38,0,2025-12-15,2025-12-15,1,5,,,,,5,0.19,,1,,,,
,,,,,,,,,,,,,,,,15,,15,,,,15,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.081333,0.081333,,,0.081333,,17.428571,18.208955,0,2025-12-15,2025-12-15,1.044776,70,,,,,67,1.22,2,3,2,13,7,5
,164,,,9,7,7,164,,,,2,,,,,189,1,189,3,2,,177,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,11,"[{'action_type': 'subscribe_mobile_app', 'value': '2.836'}, {'action_type': 'subscribe_total', 'value': '2.836'}, {'action_type': 'start_trial_mobile_app', 'value': '14.18'}, {'action_type': 'start_trial_total', 'value': '14.18'}]",1.575556,"[{'action_type': 'outbound_click', 'value': '1.575556'}]",1.575556,2.025714,0.086463,,0.075026,0.075026,4.726667,,0.080113,1.289091,26.654135,26.805293,2.067669,2025-12-15,2025-12-15,1.005671,532,1.691729,9,"[{'action_type': 'outbound_click', 'value': '9'}]","[{'action_type': 'outbound_click', 'value': '1.691729'}]",529,14.18,20,4,20,157,81,51
,89,,,11,6,6,89,,,,5,,,,,263,1,263,6,5,,246,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,16,"[{'action_type': 'subscribe_mobile_app', 'value': '10.09'}, {'action_type': 'subscribe_total', 'value': '10.09'}]",1.834545,"[{'action_type': 'outbound_click', 'value': '1.834545'}]",1.834545,3.363333,0.226742,,0.07673,0.07673,3.363333,,0.082033,1.26125,30.80916,33.355372,2.442748,2025-12-15,2025-12-15,1.082645,655,1.679389,11,"[{'action_type': 'outbound_click', 'value': '11'}]","[{'action_type': 'outbound_click', 'value': '1.679389'}]",605,20.18,29,5,29,220,105,71
,12,,,6,1,1,12,,,,2,,,,,75,,75,2,2,,67,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,5,,0.758333,"[{'action_type': 'outbound_click', 'value': '0.758333'}]",0.758333,4.55,0.379167,,0.060667,0.060667,2.275,,0.06791,0.91,36.99187,37.916667,4.065041,2025-12-15,2025-12-15,1.025,123,4.878049,6,"[{'action_type': 'outbound_click', 'value': '6'}]","[{'action_type': 'outbound_click', 'value': '4.878049'}]",120,4.55,10,6,8,64,44,34
,,,,2,,,,,,,,,,,,15,,15,,,,13,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,65+,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,2,,0.48,"[{'action_type': 'outbound_click', 'value': '0.48'}]",0.48,,,,0.064,0.064,,,0.073846,0.48,33.103448,33.103448,6.896552,2025-12-15,2025-12-15,1,29,6.896552,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '6.896552'}]",29,0.96,3,7,3,13,6,5
,,,,,,,,,,,,,,,,17,,17,,,,17,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,18-24,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.034118,0.034118,,,0.034118,,12.083333,12.608696,0,2025-12-15,2025-12-15,1.043478,48,,,,,46,0.58,,2,,12,5,
,34,,,4,2,2,34,,,,1,1,1,1,,171,,171,3,2,,164,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,8,"[{'action_type': 'subscribe_mobile_app', 'value': '8.67'}, {'action_type': 'subscribe_total', 'value': '8.67'}]",2.1675,"[{'action_type': 'outbound_click', 'value': '2.1675'}]",2.1675,4.335,0.255,,0.050702,0.050702,2.89,,0.052866,1.08375,14.425957,14.770017,1.331115,2025-12-15,2025-12-15,1.02385,601,0.665557,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '0.665557'}]",587,8.67,15,3,15,144,69,38
,39,,,11,1,1,39,,,,8,,,,,492,,492,8,8,,473,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,15,,2.457273,"[{'action_type': 'outbound_click', 'value': '2.457273'}]",2.457273,27.03,0.693077,,0.054939,0.054939,3.37875,,0.057146,1.802,18.263514,18.412807,1.013514,2025-12-15,2025-12-15,1.008174,1480,0.743243,11,"[{'action_type': 'outbound_click', 'value': '11'}]","[{'action_type': 'outbound_click', 'value': '0.743243'}]",1468,27.03,32,4,32,405,186,104
,93,1,,8,4,4,93,,,,3,,,,,389,,389,3,3,,378,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,10,"[{'action_type': 'subscribe_mobile_app', 'value': '5.7375'}, {'action_type': 'subscribe_total', 'value': '5.7375'}, {'action_type': 'start_trial_mobile_app', 'value': '22.95'}, {'action_type': 'start_trial_total', 'value': '22.95'}]",2.86875,"[{'action_type': 'outbound_click', 'value': '2.86875'}]",2.86875,5.7375,0.246774,,0.058997,0.058997,7.65,,0.060714,2.295,23.586845,24.208861,1.027749,2025-12-15,2025-12-15,1.026371,973,0.822199,8,"[{'action_type': 'outbound_click', 'value': '8'}]","[{'action_type': 'outbound_click', 'value': '0.822199'}]",948,22.95,32,4,31,321,164,96
