action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,1,,1,,,,1,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.02,0.02,,,0.02,,10,10,0,2025-12-11,2025-12-11,1,2,,,,,audience_network,2,0.02,,3,,1,,
1,248,2,,62,15,15,248,1,1,14,,,1,1,1299,1,1299,16,15,1,1221,1,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,59,"[{'action_type': 'subscribe_mobile_app', 'value': '14.025714'}, {'action_type': 'subscribe_total', 'value': '14.025714'}, {'action_type': 'start_trial_mobile_app', 'value': '16.363333'}, {'action_type': 'start_trial_total', 'value': '16.363333'}]",1.583548,"[{'action_type': 'outbound_click', 'value': '1.609508'}]",1.583548,6.545333,0.395887,98.18,0.075581,0.075581,6.13625,98.18,0.08041,1.664068,27.294968,28.783348,1.640256,2025-12-11,2025-12-11,1.054529,3597,1.723659,62,"[{'action_type': 'outbound_click', 'value': '61'}]","[{'action_type': 'outbound_click', 'value': '1.695858'}]",facebook,3411,98.18,208,4,192,1168,596,372
,23,,,8,,,23,,,3,,,,,218,,218,3,3,,207,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,15,,2.73,"[{'action_type': 'outbound_click', 'value': '2.73'}]",2.73,,0.949565,,0.100183,0.100183,7.28,,0.105507,1.456,26.896552,28.180645,1.847291,2025-12-11,2025-12-11,1.047742,812,0.985222,8,"[{'action_type': 'outbound_click', 'value': '8'}]","[{'action_type': 'outbound_click', 'value': '0.985222'}]",instagram,775,21.84,20,3,20,196,85,50
,,,,,,,,,,,,,,,,,,,,,,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,16.666667,16.666667,0,2025-12-11,2025-12-11,1,3,,,,,messenger,3,0.05,,3,,,,
,,,,1,,,,,,,,,,,136,,136,,,,135,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,5.13,"[{'action_type': 'outbound_click', 'value': '5.13'}]",5.13,,,,0.037721,0.037721,,,0.038,5.13,17.8125,18.06338,0.347222,2025-12-11,2025-12-11,1.014085,288,0.347222,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.347222'}]",threads,284,5.13,25,5,25,130,64,37
,,,,,,,,,,,,,,,2,,2,,,,2,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.065,0.065,,,0.065,,43.333333,43.333333,0,2025-12-11,2025-12-11,1,3,,,,,facebook,3,0.13,1,8,1,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,30,30,0,2025-12-11,2025-12-11,1,2,,,,,instagram,2,0.06,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,50,50,0,2025-12-11,2025-12-11,1,1,,,,,facebook,1,0.05,,2,,,,
,,,,4,,,,,,2,,,,,141,,141,2,2,,135,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,4,,1.87,"[{'action_type': 'outbound_click', 'value': '1.87'}]",1.87,,,,0.05305,0.05305,3.74,,0.055407,1.87,21.618497,21.744186,1.156069,2025-12-11,2025-12-11,1.005814,346,1.156069,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '1.156069'}]",facebook,344,7.48,13,4,11,127,59,41
,317,,,49,31,31,317,,,23,4,4,,,1155,2,1155,29,23,,1077,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,54,"[{'action_type': 'subscribe_mobile_app', 'value': '16.81'}, {'action_type': 'subscribe_total', 'value': '16.81'}, {'action_type': 'start_trial_mobile_app', 'value': '12.007143'}, {'action_type': 'start_trial_total', 'value': '12.007143'}]",1.715306,"[{'action_type': 'outbound_click', 'value': '1.715306'}]",1.715306,2.71129,0.265142,,0.072771,0.072771,2.898276,,0.078041,1.556481,28.185781,28.774392,1.810865,2025-12-11,2025-12-11,1.020883,2982,1.643192,49,"[{'action_type': 'outbound_click', 'value': '49'}]","[{'action_type': 'outbound_click', 'value': '1.643192'}]",instagram,2921,84.05,97,4,97,972,493,306
,,,,1,,,,,,,,,,,43,,43,,,,42,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,1.24,"[{'action_type': 'outbound_click', 'value': '1.24'}]",1.24,,,,0.028837,0.028837,,,0.029524,1.24,22.545455,22.962963,1.818182,2025-12-11,2025-12-11,1.018519,55,1.818182,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.818182'}]",threads,54,1.24,9,9,9,40,23,15
,,,,,,,,,,,,,,,2,,2,,,,2,,6916172137384,17 Lebrone,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.06,0.06,,,0.06,,30,30,0,2025-12-11,2025-12-11,1,4,,,,,facebook,4,0.12,,6,,2,2,1
,,,,,,,,,,,,,,,1,,1,,,,1,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.04,0.04,,,0.04,,40,40,0,2025-12-11,2025-12-11,1,1,,,,,audience_network,1,0.04,1,8,1,1,1,1
,93,1,,19,3,3,93,,,3,,,,,305,,305,3,3,,283,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,18,"[{'action_type': 'subscribe_mobile_app', 'value': '25.36'}, {'action_type': 'subscribe_total', 'value': '25.36'}]",1.334737,"[{'action_type': 'outbound_click', 'value': '1.334737'}]",1.334737,8.453333,0.272688,,0.083148,0.083148,8.453333,,0.089611,1.408889,32.722581,34.835165,2.322581,2025-12-11,2025-12-11,1.06456,775,2.451613,19,"[{'action_type': 'outbound_click', 'value': '19'}]","[{'action_type': 'outbound_click', 'value': '2.451613'}]",facebook,728,25.36,60,7,57,252,154,105
,41,,,5,4,4,41,,,2,,,,,174,,174,2,2,,167,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,5,"[{'action_type': 'subscribe_mobile_app', 'value': '10.285'}, {'action_type': 'subscribe_total', 'value': '10.285'}, {'action_type': 'start_trial_mobile_app', 'value': '6.856667'}, {'action_type': 'start_trial_total', 'value': '6.856667'}]",4.114,"[{'action_type': 'outbound_click', 'value': '4.114'}]",4.114,5.1425,0.501707,,0.118218,0.118218,10.285,,0.123174,4.114,40.652174,40.652174,0.988142,2025-12-11,2025-12-11,1,506,0.988142,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '0.988142'}]",instagram,506,20.57,19,4,19,137,66,45
,,,,,,,,,,,,,,,23,,23,,,,23,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.046957,0.046957,,,0.046957,,22.978723,22.978723,0,2025-12-11,2025-12-11,1,47,,,,,threads,47,1.08,3,5,3,22,12,6
,,,,,,,,,,,,,,,1,,1,,,,1,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.03,0.03,,,0.03,,30,30,0,2025-12-11,2025-12-11,1,1,,,,,facebook,1,0.03,,9,,1,1,
,,,,,,,,,,,,,,,,,,,,,,,6917461955184,03 will_loseYourself - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,80,80,0,2025-12-11,2025-12-11,1,1,,,,,facebook,1,0.08,,1,,,,
,,,,1,,,,,,,,,,,3,,3,,,,2,,6917461955384,03 Snoop_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.18,"[{'action_type': 'outbound_click', 'value': '0.18'}]",0.18,,,,0.06,0.06,,,0.09,0.18,45,45,25,2025-12-11,2025-12-11,1,4,25,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '25'}]",facebook,4,0.18,,9,,2,1,1
,,,,,,,,,,,,,,,,,,,,,,,6917461955984,02 Mike_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,0,0,0,2025-12-11,2025-12-11,1,1,,,,,facebook,1,0,,0,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6917461955984,02 Mike_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-11,2025-12-11,1,1,,,,,threads,1,0.01,,7,,1,,
,,,,,,,,,,,,,,,,,,,,,,,6917461956384,02 Timothy_slim - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,10,10,0,2025-12-11,2025-12-11,1,1,,,,,instagram,1,0.01,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,6917461956784,01 Jesus_rapGod - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,30,30,0,2025-12-11,2025-12-11,1,1,,,,,facebook,1,0.03,,1,,,,
,90,1,,55,13,13,90,,,8,1,1,,,1650,,1650,9,8,,1586,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,53,"[{'action_type': 'subscribe_mobile_app', 'value': '61.794761'}, {'action_type': 'subscribe_total', 'value': '61.794761'}, {'action_type': 'start_trial_mobile_app', 'value': '61.794761'}, {'action_type': 'start_trial_total', 'value': '61.794761'}]",1.123541,"[{'action_type': 'outbound_click', 'value': '1.123541'}]",1.123541,4.753443,0.686608,,0.037451,0.037451,6.866085,,0.038963,1.165939,14.699039,15.348922,1.260704,2025-12-11,2025-12-11,1.044213,4204,1.308278,55,"[{'action_type': 'outbound_click', 'value': '55'}]","[{'action_type': 'outbound_click', 'value': '1.308278'}]",facebook,4026,61.794761,128,4,118,1422,744,446
,225,,1,48,23,23,225,,,17,2,2,1,,1620,6,1620,27,18,,1545,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,79,"[{'action_type': 'subscribe_mobile_app', 'value': '20.864941'}, {'action_type': 'subscribe_total', 'value': '20.864941'}, {'action_type': 'start_trial_mobile_app', 'value': '20.864941'}, {'action_type': 'start_trial_total', 'value': '20.864941'}]",1.304059,"[{'action_type': 'outbound_click', 'value': '1.304059'}]",1.304059,2.721514,0.278199,,0.038639,0.038639,2.318327,,0.040514,0.79234,13.569222,14.313931,1.712551,2025-12-11,2025-12-11,1.054882,4613,1.040538,48,"[{'action_type': 'outbound_click', 'value': '48'}]","[{'action_type': 'outbound_click', 'value': '1.040538'}]",instagram,4373,62.594822,123,4,124,1342,634,386
,,,,1,,,,,,,1,1,,,228,,228,1,,,226,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,5.410417,"[{'action_type': 'outbound_click', 'value': '5.410417'}]",5.410417,,,,0.02373,0.02373,5.410417,,0.02394,5.410417,12.43774,12.730393,0.229885,2025-12-11,2025-12-11,1.023529,435,0.229885,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.229885'}]",threads,425,5.410417,21,6,21,206,104,66
,,,,,,,,,,,,,,,12,,12,,,,12,,6917461957184,01 Jesus_travis - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.076667,0.076667,,,0.076667,,21.395349,21.395349,0,2025-12-11,2025-12-11,1,43,,,,,facebook,43,0.92,,3,,11,7,4
,,,,,,,,,,,,,,,1,,1,,,,1,,6917461957184,01 Jesus_travis - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.03,0.03,,,0.03,,30,30,0,2025-12-11,2025-12-11,1,1,,,,,instagram,1,0.03,,4,,1,,
,,,,,,,,,,,,,,,7,,7,,,,7,,6917505479784,06 fbg og - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.035714,0.035714,,,0.035714,,14.705882,14.705882,0,2025-12-11,2025-12-11,1,17,,,,,facebook,17,0.25,,5,,7,3,3
,,,,,,,,,,,,,,,,,,,,,,,6917505479784,06 fbg og - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,10,10,0,2025-12-11,2025-12-11,1,1,,,,,instagram,1,0.01,,1,,,,
,,,,,,,,,,,,,,,3,,3,,,,3,,6917505479784,06 fbg og - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.073333,0.073333,,,0.073333,,36.666667,36.666667,0,2025-12-11,2025-12-11,1,6,,,,,threads,6,0.22,1,9,1,3,1,1
,,,,1,,,,,,,,,,,5,,5,,,,4,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.27,"[{'action_type': 'outbound_click', 'value': '0.27'}]",0.27,,,,0.054,0.054,,,0.0675,0.27,18,18,6.666667,2025-12-11,2025-12-11,1,15,6.666667,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '6.666667'}]",facebook,15,0.27,,2,,3,1,1
,,,,,,,,,,,,,,,4,,4,,,,4,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.0975,0.0975,,,0.0975,,21.666667,21.666667,0,2025-12-11,2025-12-11,1,18,,,,,instagram,18,0.39,,2,,4,1,1
,,,,,,,,,,,,,,,,,,,,,,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,20,20,0,2025-12-11,2025-12-11,1,1,,,,,threads,1,0.02,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,4.999616,9.999232,0,2025-12-11,2025-12-11,2,2,,,,,audience_network,1,0.009999,,1,,,,
,342,3,,83,29,29,342,,,25,,,2,,2044,,2044,27,27,,1934,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,82,"[{'action_type': 'subscribe_mobile_app', 'value': '10.673181'}, {'action_type': 'subscribe_total', 'value': '10.673181'}, {'action_type': 'start_trial_mobile_app', 'value': '9.702892'}, {'action_type': 'start_trial_total', 'value': '9.702892'}]",1.285925,"[{'action_type': 'outbound_click', 'value': '1.285925'}]",1.285925,3.680407,0.312081,,0.052217,0.052217,3.95303,,0.055187,1.301607,16.478587,17.56035,1.266018,2025-12-11,2025-12-11,1.065647,6477,1.281457,83,"[{'action_type': 'outbound_click', 'value': '83'}]","[{'action_type': 'outbound_click', 'value': '1.281457'}]",facebook,6078,106.731807,162,3,149,1634,801,463
,208,,,18,9,9,208,,,7,1,1,1,,421,1,421,10,8,,393,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,22,"[{'action_type': 'subscribe_mobile_app', 'value': '5.379587'}, {'action_type': 'subscribe_total', 'value': '5.379587'}, {'action_type': 'start_trial_mobile_app', 'value': '4.30367'}, {'action_type': 'start_trial_total', 'value': '4.30367'}]",1.195464,"[{'action_type': 'outbound_click', 'value': '1.195464'}]",1.195464,2.390928,0.103454,,0.051112,0.051112,2.151835,,0.054754,0.978107,18.662921,19.351033,1.908066,2025-12-11,2025-12-11,1.036871,1153,1.561145,18,"[{'action_type': 'outbound_click', 'value': '18'}]","[{'action_type': 'outbound_click', 'value': '1.561145'}]",instagram,1112,21.518348,40,4,40,339,173,110
,,,,,,,,,,,1,1,,,107,,107,1,,,106,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.018784,0.018784,2.009846,,0.018961,,12.640539,12.640539,0,2025-12-11,2025-12-11,1,159,,,,,threads,159,2.009846,18,7,18,96,52,34
,,,,1,,,,,,,,,,,6,,6,,,,5,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.28,"[{'action_type': 'outbound_click', 'value': '0.28'}]",0.28,,,,0.046667,0.046667,,,0.056,0.28,20,21.538462,7.142857,2025-12-11,2025-12-11,1.076923,14,7.142857,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '7.142857'}]",facebook,13,0.28,,2,,3,1,
,1,,,1,,,1,,,,,,,,6,,6,,,,5,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.17,"[{'action_type': 'outbound_click', 'value': '0.17'}]",0.17,,0.17,,0.028333,0.028333,,,0.034,0.17,14.166667,14.166667,8.333333,2025-12-11,2025-12-11,1,12,8.333333,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '8.333333'}]",instagram,12,0.17,,4,,5,2,1
,,,,,,,,,,,,,,,2,,2,,,,2,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.005,0.005,,,0.005,,5,5,0,2025-12-11,2025-12-11,1,2,,,,,threads,2,0.01,1,17,1,2,1,1
,,,,,,,,,,,,,,,1,,1,,,,1,,6917505482184,08 aiartist3 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,,,,,,,0.1,0.1,,,0.1,0.1,100,100,100,2025-12-11,2025-12-11,1,1,,,,,instagram,1,0.1,,4,,1,,
