action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,age,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
5,333,,,57,31,31,333,5,5,,5,5,,5,1640,4,1640,39,30,5,1544,5,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,71,"[{'action_type': 'subscribe_mobile_app', 'value': '24.011667'}, {'action_type': 'subscribe_total', 'value': '24.011667'}]",2.527544,"[{'action_type': 'outbound_click', 'value': '2.527544'}]",2.527544,4.647419,0.432643,28.814,0.087848,0.087848,3.694103,28.814,0.09331,2.029155,31.103195,33.535847,1.532815,2025-12-05,2025-12-05,1.078212,4632,1.23057,57,"[{'action_type': 'outbound_click', 'value': '57'}]","[{'action_type': 'outbound_click', 'value': '1.23057'}]",4296,144.07,161,5,156,1415,679,429
5,426,,,70,27,27,426,5,5,,8,8,2,5,2023,2,2023,41,31,5,1912,5,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,80,"[{'action_type': 'subscribe_mobile_app', 'value': '58.003333'}, {'action_type': 'subscribe_total', 'value': '58.003333'}]",2.485857,"[{'action_type': 'outbound_click', 'value': '2.485857'}]",2.485857,6.444815,0.408474,34.802,0.086016,0.086016,4.244146,34.802,0.091009,2.175125,39.20027,42.691364,1.802208,2025-12-05,2025-12-05,1.089058,4439,1.576932,70,"[{'action_type': 'outbound_click', 'value': '70'}]","[{'action_type': 'outbound_click', 'value': '1.576932'}]",4076,174.01,196,5,192,1745,911,539
1,93,,,12,9,9,93,1,1,,1,1,,1,337,,337,4,3,1,321,1,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,12,"[{'action_type': 'subscribe_mobile_app', 'value': '28.36'}, {'action_type': 'subscribe_total', 'value': '28.36'}]",2.363333,"[{'action_type': 'outbound_click', 'value': '2.363333'}]",2.363333,3.151111,0.304946,28.36,0.084154,0.084154,7.09,28.36,0.088349,2.363333,46.038961,48.812392,1.948052,2025-12-05,2025-12-05,1.060241,616,1.948052,12,"[{'action_type': 'outbound_click', 'value': '12'}]","[{'action_type': 'outbound_click', 'value': '1.948052'}]",581,28.36,54,6,49,293,158,112
,29,,,3,,,29,,,,,,,,65,,65,3,3,,59,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,65+,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,4,,1.77,"[{'action_type': 'outbound_click', 'value': '1.77'}]",1.77,,0.183103,,0.081692,0.081692,1.77,,0.09,1.3275,35.878378,38.201439,2.702703,2025-12-05,2025-12-05,1.064748,148,2.027027,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '2.027027'}]",139,5.31,10,7,10,55,32,21
,,,,,,,,,,,,,,,,,,,,,,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,30,30,0,2025-12-05,2025-12-05,1,1,,,,,1,0.03,,1,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.09,0.09,,,0.09,,30,30,0,2025-12-05,2025-12-05,1,3,,,,,3,0.09,,2,,1,,
,,,,,,,,,,,,,,,,,,,,,,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,40,40,0,2025-12-05,2025-12-05,1,1,,,,,1,0.04,,2,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.02,0.02,,,0.02,,20,20,0,2025-12-05,2025-12-05,1,1,,,,,1,0.02,1,14,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,65+,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,50,50,0,2025-12-05,2025-12-05,1,1,,,,,1,0.05,,2,,,,
,6,,,,,,6,,,,,,,,6,,6,,,,6,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,18-24,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,0.056667,,0.056667,0.056667,,,0.056667,,21.25,22.666667,0,2025-12-05,2025-12-05,1.066667,16,,,,,15,0.34,,2,,5,1,
1,13,,,2,,,13,1,1,,,,,1,47,,47,1,1,1,44,1,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,2,"[{'action_type': 'subscribe_mobile_app', 'value': '5.19'}, {'action_type': 'subscribe_total', 'value': '5.19'}]",2.595,"[{'action_type': 'outbound_click', 'value': '2.595'}]",2.595,,0.399231,5.19,0.110426,0.110426,5.19,5.19,0.117955,2.595,27.172775,28.516484,1.04712,2025-12-05,2025-12-05,1.049451,191,1.04712,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '1.04712'}]",182,5.19,3,3,2,40,13,10
1,26,,,1,1,1,26,1,1,,,,,1,181,,181,,,1,180,1,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,2,"[{'action_type': 'subscribe_mobile_app', 'value': '22.36'}, {'action_type': 'subscribe_total', 'value': '22.36'}]",22.36,"[{'action_type': 'outbound_click', 'value': '22.36'}]",22.36,22.36,0.86,22.36,0.123536,0.123536,,22.36,0.124222,11.18,33.930197,35.268139,0.30349,2025-12-05,2025-12-05,1.039432,659,0.151745,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.151745'}]",634,22.36,9,2,9,146,51,29
2,72,,,9,2,2,72,2,2,,,,,2,356,,356,3,3,2,344,2,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,9,"[{'action_type': 'subscribe_mobile_app', 'value': '15.87'}, {'action_type': 'subscribe_total', 'value': '15.87'}]",3.526667,"[{'action_type': 'outbound_click', 'value': '3.526667'}]",3.526667,15.87,0.440833,15.87,0.089157,0.089157,10.58,15.87,0.092267,3.526667,35.305895,39.136868,1.001112,2025-12-05,2025-12-05,1.108508,899,1.001112,9,"[{'action_type': 'outbound_click', 'value': '9'}]","[{'action_type': 'outbound_click', 'value': '1.001112'}]",811,31.74,43,4,43,301,170,100
1,74,,,8,5,5,74,1,1,,1,1,,1,177,,177,3,2,1,166,1,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,10,"[{'action_type': 'subscribe_mobile_app', 'value': '8.545'}, {'action_type': 'subscribe_total', 'value': '8.545'}]",2.13625,"[{'action_type': 'outbound_click', 'value': '2.13625'}]",2.13625,3.418,0.230946,17.09,0.096554,0.096554,5.696667,17.09,0.102952,1.709,44.62141,49.25072,2.610966,2025-12-05,2025-12-05,1.103746,383,2.088773,8,"[{'action_type': 'outbound_click', 'value': '8'}]","[{'action_type': 'outbound_click', 'value': '2.088773'}]",347,17.09,27,5,26,152,86,52
,3,,,1,,,3,,,,,,,,35,,35,,,,34,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,65+,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,5.83,"[{'action_type': 'outbound_click', 'value': '5.83'}]",5.83,,1.943333,,0.166571,0.166571,,,0.171471,5.83,71.975309,78.783784,1.234568,2025-12-05,2025-12-05,1.094595,81,1.234568,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.234568'}]",74,5.83,3,4,3,26,12,8
,1,,,,,,1,,,,,,,,,,,,,,,,6916177886184,06 fbg og - Copy,6916176936184,FB_iOS_itoshi_rap_female,35-44,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,0,0,,,,,0,0,,,,,,
,4,,,,,,4,,,,,,,,,,,,,,,,6916177886184,06 fbg og - Copy,6916176936184,FB_iOS_itoshi_rap_female,45-54,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,0,0,,,,,0,0,,,,,,
,1,,,,,,1,,,,,,,,,,,,,,,,6916858590184,02 Eddie_Snoop,6916855007184,FB_iOS_itoshi_rap_set2_271125,45-54,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,0,0,,,,,0,0,,,,,,
,15,,,,,,15,,,,,,,,,,,,,,,,6916864174784,04 Morgan_Gin,6916855007184,FB_iOS_itoshi_rap_set2_271125,35-44,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,0,0,,,,,0,0,,,,,,
,27,,,,1,1,27,,,,,,,,,,,,,,,,6916864174784,04 Morgan_Gin,6916855007184,FB_iOS_itoshi_rap_set2_271125,45-54,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,0,0,,,,,,,,,,,2025-12-05,2025-12-05,0,0,,,,,0,0,,,,,,
,4,,,,,,4,,,,,,,,,,,,,,,,6916864174784,04 Morgan_Gin,6916855007184,FB_iOS_itoshi_rap_set2_271125,55-64,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,0,0,,,,,0,0,,,,,,
,2,,,,,,2,,,,,,,,,,,,,,,,6920199460384,03_blackbodysuit_Big energy,6920175379584,Test_F_BigEnergy,35-44,6920175379984,FB_iOS_Install_Rap_CreativeTest_251202,0,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,0,0,,,,,0,0,,,,,,
,4,,,,,,4,,,,,,,,,,,,,,,,6920199460384,03_blackbodysuit_Big energy,6920175379584,Test_F_BigEnergy,45-54,6920175379984,FB_iOS_Install_Rap_CreativeTest_251202,0,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,0,0,,,,,0,0,,,,,,
,8,,,,2,2,8,,,,,,,,,,,,,,,,6920199460384,03_blackbodysuit_Big energy,6920175379584,Test_F_BigEnergy,55-64,6920175379984,FB_iOS_Install_Rap_CreativeTest_251202,0,,,,,0,0,,,,,,,,,,,2025-12-05,2025-12-05,0,0,,,,,0,0,,,,,,
,2,,,,,,2,,,,,,,,,,,,,,,,6920216907984,11_yellow dress_I like it,6920211227584,Test_F_ILikeIt,55-64,6920175379984,FB_iOS_Install_Rap_CreativeTest_251202,0,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,0,0,,,,,0,0,,,,,,
,9,,,,,,9,,,,,,,,,,,,,,,,6920221871184,02_blackNew_Wap 1,6920220510584,Test_F_Wap1,25-34,6920175379984,FB_iOS_Install_Rap_CreativeTest_251202,0,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,0,0,,,,,0,0,,,,,,
,13,,,,,,13,,,,,,,,,,,,,,,,6920221871184,02_blackNew_Wap 1,6920220510584,Test_F_Wap1,35-44,6920175379984,FB_iOS_Install_Rap_CreativeTest_251202,0,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,0,0,,,,,0,0,,,,,,
,5,,,,,,5,,,,,,,,,,,,,,,,6920229519184,02_blackNew_Wap 2,6920228641784,Test_F_Wap2,45-54,6920175379984,FB_iOS_Install_Rap_CreativeTest_251202,0,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,0,0,,,,,0,0,,,,,,
,1,,,,,,1,,,,,,,,,,,,,,,,6920229519184,02_blackNew_Wap 2,6920228641784,Test_F_Wap2,55-64,6920175379984,FB_iOS_Install_Rap_CreativeTest_251202,0,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,0,0,,,,,0,0,,,,,,
,1,,,,,,1,,,,,,,,,,,,,,,,6920251011584,04_MorganF_Nuthin But A G Thang,6920236297184,Test_F_GThang,25-34,6920175379984,FB_iOS_Install_Rap_CreativeTest_251202,0,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,0,0,,,,,0,0,,,,,,
,2,,,,,,2,,,,,,,,,,,,,,,,6920251011584,04_MorganF_Nuthin But A G Thang,6920236297184,Test_F_GThang,35-44,6920175379984,FB_iOS_Install_Rap_CreativeTest_251202,0,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,0,0,,,,,0,0,,,,,,
,6,,,,,,6,,,,,,,,,,,,,,,,6920251011584,04_MorganF_Nuthin But A G Thang,6920236297184,Test_F_GThang,45-54,6920175379984,FB_iOS_Install_Rap_CreativeTest_251202,0,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,0,0,,,,,0,0,,,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920992821584,04 will_rapGod - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),25-34,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-05,2025-12-05,1,1,,,,,1,0.01,,20,,1,1,1
,,,,,,,,,,,,,,,1,,1,,,,1,,6920992821584,04 will_rapGod - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),45-54,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.04,0.04,,,0.04,,40,40,0,2025-12-05,2025-12-05,1,1,,,,,1,0.04,,12,,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,6920992821784,03 Snoop_rapGod - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),25-34,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,6.666667,6.666667,0,2025-12-05,2025-12-05,1,3,,,,,3,0.02,,1,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920992821784,03 Snoop_rapGod - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),45-54,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-05,2025-12-05,1,1,,,,,1,0.01,,3,,,,
,,,,,,,,,,,,,,,,,,,,,,,6920992821784,03 Snoop_rapGod - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),65+,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,20,20,0,2025-12-05,2025-12-05,1,1,,,,,1,0.02,,3,,,,
