action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_conversion.post_unsave,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
1,457,3,,67,43,43,457,1,1,18,,,,,1,1865,,1865,18,18,1,1780,1,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,72,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '21.3175'}, {'action_type': 'subscribe_total', 'value': '21.3175'}, {'action_type': 'start_trial_mobile_app', 'value': '28.423333'}, {'action_type': 'start_trial_total', 'value': '28.423333'}]",1.272687,"[{'action_type': 'outbound_click', 'value': '1.272687'}]",1.272687,1.983023,0.186586,85.27,0.045721,0.045721,4.737222,85.27,0.047904,1.184306,20.527203,21.446177,1.733269,2025-12-14,2025-12-14,ABOVE_AVERAGE,1.044769,4154,1.612903,67,"[{'action_type': 'outbound_click', 'value': '67'}]","[{'action_type': 'outbound_click', 'value': '1.612903'}]",AVERAGE,3976,85.27,197,5,183,1592,884,554
,,,,,,,,,,,,,,,,1,,1,,,,1,,6920992823384,02 Timothy_slim - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.03,0.03,,,0.03,,15,15,0,2025-12-14,2025-12-14,UNKNOWN,1,2,,,,,UNKNOWN,2,0.03,,5,,1,1,
,37,,,10,5,5,37,,,7,,,,,,363,1,363,8,7,,345,,6920992823584,02 Eddie_Snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,12,ABOVE_AVERAGE,"[{'action_type': 'start_trial_mobile_app', 'value': '15.22'}, {'action_type': 'start_trial_total', 'value': '15.22'}]",1.522,"[{'action_type': 'outbound_click', 'value': '1.522'}]",1.522,3.044,0.411351,,0.041928,0.041928,1.9025,,0.044116,1.268333,17.334852,17.86385,1.366743,2025-12-14,2025-12-14,ABOVE_AVERAGE,1.030516,878,1.138952,10,"[{'action_type': 'outbound_click', 'value': '10'}]","[{'action_type': 'outbound_click', 'value': '1.138952'}]",BELOW_AVERAGE_35,852,15.22,29,4,28,311,135,71
,,,,1,,,,,,,,,,,,2,,2,,,,1,,6920992824584,01 Jesus_rapGod - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,1,UNKNOWN,,0,"[{'action_type': 'outbound_click', 'value': '0'}]",0,,,,0,0,,,0,0,0,0,33.333333,2025-12-14,2025-12-14,UNKNOWN,1,3,33.333333,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '33.333333'}]",UNKNOWN,3,0,,5,,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,6920994402584,07_nose ring_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,33.333333,50,0,2025-12-14,2025-12-14,UNKNOWN,1.5,3,,,,,UNKNOWN,2,0.1,,2,,,,
,,,,,,,,,,,,,,,,2,,2,,,,2,,6920994403384,10_Red pants_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.06,0.06,,,0.06,,17.142857,20,0,2025-12-14,2025-12-14,UNKNOWN,1.166667,7,,,,,UNKNOWN,6,0.12,,4,,2,1,1
,398,2,,80,26,26,398,,,29,,,2,,,2163,3,2163,34,31,,2049,,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,79,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '17.326667'}, {'action_type': 'subscribe_total', 'value': '17.326667'}, {'action_type': 'start_trial_mobile_app', 'value': '12.995'}, {'action_type': 'start_trial_total', 'value': '12.995'}]",1.2995,"[{'action_type': 'outbound_click', 'value': '1.2995'}]",1.2995,3.998462,0.261206,,0.048063,0.048063,3.057647,,0.050737,1.315949,25.05664,26.567851,1.904073,2025-12-14,2025-12-14,ABOVE_AVERAGE,1.060312,4149,1.928175,80,"[{'action_type': 'outbound_click', 'value': '80'}]","[{'action_type': 'outbound_click', 'value': '1.928175'}]",AVERAGE,3913,103.96,353,6,328,1926,1213,879
,,,,,,,,,,,,,,,,,,,,,,,,6920994404184,04_fbg_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,50,50,0,2025-12-14,2025-12-14,UNKNOWN,1,1,,,,,UNKNOWN,1,0.05,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920994404584,02_blackNew_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,0,0,0,2025-12-14,2025-12-14,UNKNOWN,1,1,,,,,UNKNOWN,1,0,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920995425384,02_jesus_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,20,20,0,2025-12-14,2025-12-14,UNKNOWN,1,1,,,,,UNKNOWN,1,0.02,,2,,,,
