action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_conversion.post_unsave,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,164,,,21,9,9,164,,,3,1,1,,,,449,1,449,5,3,,423,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,26,"[{'action_type': 'subscribe_mobile_app', 'value': '5.852'}, {'action_type': 'subscribe_total', 'value': '5.852'}, {'action_type': 'start_trial_mobile_app', 'value': '7.315'}, {'action_type': 'start_trial_total', 'value': '7.315'}]",1.393333,"[{'action_type': 'outbound_click', 'value': '1.393333'}]",1.393333,3.251111,0.178415,,0.065167,0.065167,5.852,,0.069173,1.125385,23.944354,24.859813,2.12766,2025-12-14,2025-12-14,1.038233,female,1222,1.718494,21,"[{'action_type': 'outbound_click', 'value': '21'}]","[{'action_type': 'outbound_click', 'value': '1.718494'}]",1177,29.26,29,3,27,362,179,94
,11,,,,1,1,11,,,,,,,,,16,,16,,,,16,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,1.31,0.119091,,0.081875,0.081875,,,0.081875,,16.794872,17.236842,0,2025-12-14,2025-12-14,1.026316,male,78,,,,,76,1.31,2,2,2,14,7,4
,,,,,,,,,,,,,,,,2,,2,,,,2,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.26,0.26,,,0.26,,74.285714,86.666667,0,2025-12-14,2025-12-14,1.166667,unknown,7,,,,,6,0.52,,3,,1,1,1
,3,,,,,,3,,,,,,,,,,,,,,,,,6916171454184,15 tyson,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,0,,,,,,,,,,,2025-12-14,2025-12-14,0,female,0,,,,,0,0,,,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916171454184,15 tyson,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0,0,,,0,,0,0,0,2025-12-14,2025-12-14,1,male,2,,,,,2,0,,6,,1,1,1
,2,,,1,,,2,,,,,,,,,4,,4,,,,3,,6916171835184,16 Curry,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,0.12,"[{'action_type': 'outbound_click', 'value': '0.12'}]",0.12,,0.06,,0.03,0.03,,,0.04,0.12,8.571429,8.571429,7.142857,2025-12-14,2025-12-14,1,male,14,7.142857,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '7.142857'}]",14,0.12,,2,,2,1,1
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916172137384,17 Lebrone,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.13,0.13,,,0.13,,10.833333,10.833333,0,2025-12-14,2025-12-14,1,male,12,,,,,12,0.13,1,2,1,1,1,1
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.02,0.02,,,0.02,,10,10,0,2025-12-14,2025-12-14,1,male,2,,,,,2,0.02,,1,,,,
,40,1,,12,2,2,40,,,3,,,,,,268,,268,3,3,,253,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,12,"[{'action_type': 'subscribe_mobile_app', 'value': '4.475'}, {'action_type': 'subscribe_total', 'value': '4.475'}, {'action_type': 'start_trial_mobile_app', 'value': '8.95'}, {'action_type': 'start_trial_total', 'value': '8.95'}]",0.745833,"[{'action_type': 'outbound_click', 'value': '0.745833'}]",0.745833,4.475,0.22375,,0.033396,0.033396,2.983333,,0.035375,0.745833,12.840746,13.458647,1.721664,2025-12-14,2025-12-14,1.04812,female,697,1.721664,12,"[{'action_type': 'outbound_click', 'value': '12'}]","[{'action_type': 'outbound_click', 'value': '1.721664'}]",665,8.95,25,4,23,225,112,61
,229,3,1,98,29,29,229,,,17,,,1,,,2992,1,2992,20,18,,2874,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,97,"[{'action_type': 'subscribe_mobile_app', 'value': '23.815'}, {'action_type': 'subscribe_total', 'value': '23.815'}, {'action_type': 'start_trial_mobile_app', 'value': '23.815'}, {'action_type': 'start_trial_total', 'value': '23.815'}]",0.972041,"[{'action_type': 'outbound_click', 'value': '0.972041'}]",0.972041,3.284828,0.415983,,0.031838,0.031838,4.763,,0.033145,0.982062,11.916437,12.638981,1.21341,2025-12-14,2025-12-14,1.060634,male,7994,1.225919,98,"[{'action_type': 'outbound_click', 'value': '98'}]","[{'action_type': 'outbound_click', 'value': '1.225919'}]",7537,95.26,241,4,228,2583,1301,792
,,,,,,,,,,,,,,,,12,,12,,,,12,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.046667,0.046667,,,0.046667,,11.428571,12.173913,0,2025-12-14,2025-12-14,1.065217,unknown,49,,,,,46,0.56,,2,,10,3,1
,,,,,,,,,,,,,,,,2,,2,,,,2,,6917505479784,06 fbg og - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.09,0.09,,,0.09,,25.714286,25.714286,0,2025-12-14,2025-12-14,1,female,7,,,,,7,0.18,1,5,1,2,1,1
,2,,,2,1,1,2,,,,,,,,,61,,61,,,,59,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,2,,1.79,"[{'action_type': 'outbound_click', 'value': '1.79'}]",1.79,3.58,1.79,,0.058689,0.058689,,,0.060678,1.79,18.453608,19.67033,1.030928,2025-12-14,2025-12-14,1.065934,female,194,1.030928,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '1.030928'}]",182,3.58,8,4,9,47,23,14
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.09,0.09,,,0.09,,18,18,0,2025-12-14,2025-12-14,1,male,5,,,,,5,0.09,,2,,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,0,0,0,2025-12-14,2025-12-14,1,unknown,1,,,,,1,0,,3,,,,
,306,,1,39,25,25,306,,,9,,,1,,,1124,,1124,11,10,,1074,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,40,"[{'action_type': 'subscribe_mobile_app', 'value': '10.1025'}, {'action_type': 'subscribe_total', 'value': '10.1025'}, {'action_type': 'start_trial_mobile_app', 'value': '10.1025'}, {'action_type': 'start_trial_total', 'value': '10.1025'}]",1.036154,"[{'action_type': 'outbound_click', 'value': '1.036154'}]",1.036154,1.6164,0.132059,,0.035952,0.035952,3.673636,,0.037626,1.01025,12.719547,13.398541,1.259049,2025-12-14,2025-12-14,1.053382,female,3177,1.227573,39,"[{'action_type': 'outbound_click', 'value': '39'}]","[{'action_type': 'outbound_click', 'value': '1.227573'}]",3016,40.41,83,4,80,932,443,226
,1,,,,,,1,,,1,,,,,,55,,55,1,1,,54,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,,,,,1.81,,0.032909,0.032909,1.81,,0.033519,1.81,10.969697,11.383648,0.606061,2025-12-14,2025-12-14,1.037736,male,165,,,,,159,1.81,2,3,2,39,20,11
,,,,,,,,,,,,,,,,5,,5,,,,5,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.034,0.034,,,0.034,,12.142857,13.076923,0,2025-12-14,2025-12-14,1.076923,unknown,14,,,,,13,0.17,,3,,5,2,1
,386,,,47,29,29,386,,,9,,,,,,1256,1,1256,10,9,,1199,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,53,"[{'action_type': 'subscribe_mobile_app', 'value': '5.446'}, {'action_type': 'subscribe_total', 'value': '5.446'}, {'action_type': 'start_trial_mobile_app', 'value': '4.950909'}, {'action_type': 'start_trial_total', 'value': '4.950909'}]",1.158723,"[{'action_type': 'outbound_click', 'value': '1.183913'}]",1.158723,1.877931,0.141088,,0.04336,0.04336,5.446,,0.045421,1.027547,14.887917,15.520091,1.448879,2025-12-14,2025-12-14,1.042462,female,3658,1.284855,47,"[{'action_type': 'outbound_click', 'value': '46'}]","[{'action_type': 'outbound_click', 'value': '1.257518'}]",3509,54.46,120,4,113,1106,531,329
,2,,,1,,,2,,,3,,,,,,38,,38,3,3,,34,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,1.44,"[{'action_type': 'outbound_click', 'value': '1.44'}]",1.44,,0.72,,0.037895,0.037895,0.48,,0.042353,1.44,10.588235,10.992366,0.735294,2025-12-14,2025-12-14,1.038168,male,136,0.735294,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.735294'}]",131,1.44,5,3,5,33,16,9
,,,,,,,,,,,,,,,,3,,3,,,,3,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.086667,0.086667,,,0.086667,,21.666667,21.666667,0,2025-12-14,2025-12-14,1,unknown,12,,,,,12,0.26,,3,,3,1,1
,9,,,2,,,9,,,2,,,,,,62,,62,2,2,,58,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,2,,2.035,"[{'action_type': 'outbound_click', 'value': '2.035'}]",2.035,,0.452222,,0.065645,0.065645,2.035,,0.070172,2.035,26.428571,27.133333,1.298701,2025-12-14,2025-12-14,1.026667,female,154,1.298701,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '1.298701'}]",150,4.07,13,19,10,54,26,20
