action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,2,,,,,,,,,,,96,,96,,,,94,,6920999337184,02_blackNew_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,2,,1.554669,"[{'action_type': 'outbound_click', 'value': '1.554669'}]",1.554669,,,,0.032389,0.032389,,,0.033078,1.554669,18.959376,18.959376,1.219512,2025-12-05,2025-12-05,1,164,1.219512,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '1.219512'}]",threads,164,3.109338,11,6,14,84,43,27
,,,,,,,,,,,,,,,,,,,,,,,6920999337384,10_Red pants_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,20,20,0,2025-12-05,2025-12-05,1,1,,,,,facebook,1,0.02,,,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920999337384,10_Red pants_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-05,2025-12-05,1,1,,,,,threads,1,0.01,,5,,,1,
,,,,,,,,,,,,,,,,,,,,,,,6920999337784,06_green hair_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,30,30,0,2025-12-05,2025-12-05,1,2,,,,,instagram,2,0.06,,1,,,,
,27,,,4,1,1,27,,,,,,,,143,,143,,,,139,,6920999337984,04_fbg_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,4,,2.4175,"[{'action_type': 'outbound_click', 'value': '2.4175'}]",2.4175,9.67,0.358148,,0.067622,0.067622,,,0.069568,2.4175,27.011173,28.357771,1.117318,2025-12-05,2025-12-05,1.049853,358,1.117318,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '1.117318'}]",facebook,341,9.67,16,4,15,121,76,58
,12,,,2,2,2,12,,,,1,1,,,35,,35,1,,,32,,6920999337984,04_fbg_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,3,,1.345,"[{'action_type': 'outbound_click', 'value': '1.345'}]",1.345,1.345,0.224167,,0.076857,0.076857,2.69,,0.084063,0.896667,28.020833,28.020833,3.125,2025-12-05,2025-12-05,1,96,2.083333,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '2.083333'}]",instagram,96,2.69,5,4,5,30,20,15
,,,,,,,,,,,,,,,,,,,,,,,6920999337984,04_fbg_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,10,10,0,2025-12-05,2025-12-05,1,1,,,,,messenger,1,0.01,,,,,,
,,,,,,,,,,,,,,,2,,2,,,,2,,6920999337984,04_fbg_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.025,0.025,,,0.025,,12.5,12.5,0,2025-12-05,2025-12-05,1,4,,,,,threads,4,0.05,1,6,1,2,1,1
,1,,,,,,1,,,,,,,,,,,,,,,,6921774416784,02_Jesus_God's Plan,6921773421984,GodsPlan_Singing_251204,6920922044184,FB_iOS_Install_Rap_SingingTest_251203,0,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,0,0,,,,,facebook,0,0,,,,,,
,1,,,,,,1,,,,,,,,,,,,,,,,6921774934184,04_Lebron_God's Plan,6921773421984,GodsPlan_Singing_251204,6920922044184,FB_iOS_Install_Rap_SingingTest_251203,0,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,0,0,,,,,instagram,0,0,,,,,,
,,,,1,,,,,,,,,,,13,,13,,,,12,,6922611488184,01_Cristiano_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,1,,1.12,"[{'action_type': 'outbound_click', 'value': '1.12'}]",1.12,,,,0.086154,0.086154,,,0.093333,1.12,26.666667,28,2.380952,2025-12-05,2025-12-05,1.05,42,2.380952,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '2.380952'}]",facebook,40,1.12,2,4,2,11,4,3
,,,,,,,,,,,,,,,11,,11,,,,11,,6922611488184,01_Cristiano_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.068182,0.068182,,,0.068182,,20.833333,20.833333,0,2025-12-05,2025-12-05,1,36,,,,,instagram,36,0.75,,2,,8,4,2
,3,,,1,,,3,,,,,,,,26,,26,,,,25,,6922613374584,01_Cristiano_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,1,,1.38,"[{'action_type': 'outbound_click', 'value': '1.38'}]",1.38,,0.46,,0.053077,0.053077,,,0.0552,1.38,17.25,18.157895,1.25,2025-12-05,2025-12-05,1.052632,80,1.25,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.25'}]",facebook,76,1.38,2,3,2,19,7,3
,,,,,,,,,,,,,,,13,,13,,,,13,,6922613374584,01_Cristiano_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.143846,0.143846,,,0.143846,,28.333333,28.769231,0,2025-12-05,2025-12-05,1.015385,66,,,,,instagram,65,1.87,,2,,11,4,1
,,,,,,,,,,,,,,,,,,,,,,,6922613374584,01_Cristiano_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,,,,,,,0,0,0,2025-12-05,2025-12-05,1,1,,,,,threads,1,0,,2,,,,
,,,,1,,,,,,,,,,,25,,25,,,,24,,6922613549984,01_black4_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,1,,2.93,"[{'action_type': 'outbound_click', 'value': '2.93'}]",2.93,,,,0.1172,0.1172,,,0.122083,2.93,37.564103,38.552632,1.282051,2025-12-05,2025-12-05,1.026316,78,1.282051,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.282051'}]",facebook,76,2.93,2,3,2,24,7,4
,23,,,3,1,1,23,,,,1,1,,,63,,63,2,1,,58,,6922613549984,01_black4_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,5,,2.643333,"[{'action_type': 'outbound_click', 'value': '2.643333'}]",2.643333,7.93,0.344783,,0.125873,0.125873,3.965,,0.136724,1.586,39.064039,40.050505,2.463054,2025-12-05,2025-12-05,1.025253,203,1.477833,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '1.477833'}]",instagram,198,7.93,5,3,5,49,25,15
,,,,,,,,,,,,,,,4,,4,,,,4,,6922613549984,01_black4_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.0375,0.0375,,,0.0375,,18.75,18.75,0,2025-12-05,2025-12-05,1,8,,,,,threads,8,0.15,,5,,4,2,1
,9,,1,5,3,3,9,,,,,,,,386,,386,2,1,,379,,6922613869184,01_Cristiano_luther - kendrick,6922613868984,luther (kendrick),6922611476584,FB_iOS_Purchase_RapSinging_251205,5,,3.9,"[{'action_type': 'outbound_click', 'value': '3.9'}]",3.9,6.5,2.166667,,0.050518,0.050518,9.75,,0.051451,3.9,18.518519,18.822394,0.474834,2025-12-05,2025-12-05,1.016409,1053,0.474834,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '0.474834'}]",facebook,1036,19.5,43,4,41,317,152,99
,21,,,8,6,6,21,,,,1,1,,,213,1,213,2,,,203,,6922613869184,01_Cristiano_luther - kendrick,6922613868984,luther (kendrick),6922611476584,FB_iOS_Purchase_RapSinging_251205,11,,2.52125,"[{'action_type': 'outbound_click', 'value': '2.52125'}]",2.52125,3.361667,0.960476,,0.094695,0.094695,10.085,,0.09936,1.833636,24.242788,25.087065,1.322115,2025-12-05,2025-12-05,1.034826,832,0.961538,8,"[{'action_type': 'outbound_click', 'value': '8'}]","[{'action_type': 'outbound_click', 'value': '0.961538'}]",instagram,804,20.17,15,2,15,161,67,41
,,,,,,,,,,,,,,,28,,28,,,,28,,6922613869184,01_Cristiano_luther - kendrick,6922613868984,luther (kendrick),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.043929,0.043929,,,0.043929,,18.088235,18.088235,0,2025-12-05,2025-12-05,1,68,,,,,threads,68,1.23,5,8,5,23,11,7
,2,,,2,,,2,,,,,,,,188,,188,1,1,,185,,6922614475984,02_Eddie_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,2,,8.43,"[{'action_type': 'outbound_click', 'value': '8.43'}]",8.43,,8.43,,0.089681,0.089681,16.86,,0.091135,8.43,27.684729,29.119171,0.328407,2025-12-05,2025-12-05,1.051813,609,0.328407,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '0.328407'}]",facebook,579,16.86,13,3,11,146,51,21
,3,,,1,2,2,3,,,,,,,,76,,76,,,,75,,6922614475984,02_Eddie_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,2,,7.48,"[{'action_type': 'outbound_click', 'value': '7.48'}]",7.48,3.74,2.493333,,0.098421,0.098421,,,0.099733,3.74,27.2,27.2,0.727273,2025-12-05,2025-12-05,1,275,0.363636,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.363636'}]",instagram,275,7.48,3,2,3,55,18,8
,,,,,,,,,,,,,,,23,,23,,,,23,,6922614475984,02_Eddie_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.04087,0.04087,,,0.04087,,26.111111,26.111111,0,2025-12-05,2025-12-05,1,36,,,,,threads,36,0.94,2,6,2,23,7,5
,,,,1,,,,,,,,,,,6,,6,,,,5,,6922615092384,03_Gael_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,1,,0.8,"[{'action_type': 'outbound_click', 'value': '0.8'}]",0.8,,,,0.133333,0.133333,,,0.16,0.8,33.333333,33.333333,4.166667,2025-12-05,2025-12-05,1,24,4.166667,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '4.166667'}]",facebook,24,0.8,,2,,5,2,
,,,,,,,,,,,,,,,23,,23,,,,23,,6922615092384,03_Gael_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.103043,0.103043,,,0.103043,,33.380282,33.380282,0,2025-12-05,2025-12-05,1,71,,,,,instagram,71,2.37,3,5,3,21,11,8
,,,,,,,,,,,,,,,1,,1,,,,1,,6922615092384,03_Gael_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.4,0.4,,,0.4,,100,100,0,2025-12-05,2025-12-05,1,4,,,,,threads,4,0.4,,2,,1,,
,,,,,,,,,,,,,1,,3,,3,1,1,,2,,6922616414384,04_Javier_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.086667,0.086667,0.26,,0.13,,21.666667,23.636364,0,2025-12-05,2025-12-05,1.090909,12,,,,,facebook,11,0.26,,2,,2,,
,,,,,,,,,,,,,,,2,,2,,,,2,,6922616414384,04_Javier_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.155,0.155,,,0.155,,31,31,0,2025-12-05,2025-12-05,1,10,,,,,instagram,10,0.31,,2,,2,1,
,,,,,,,,,,,,,,,15,,15,,,,15,,6922617151984,05_Jesus_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.052,0.052,,,0.052,,16.25,16.595745,0,2025-12-05,2025-12-05,1.021277,48,,,,,facebook,47,0.78,1,3,1,10,4,2
,,,,,,,,,,,,,,,3,,3,,,,3,,6922617151984,05_Jesus_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.126667,0.126667,,,0.126667,,15.833333,15.833333,0,2025-12-05,2025-12-05,1,24,,,,,instagram,24,0.38,,2,,2,,
,,,,,,,,,,,,,,,4,,4,,,,4,,6922617151984,05_Jesus_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.1075,0.1075,,,0.1075,,71.666667,71.666667,0,2025-12-05,2025-12-05,1,6,,,,,threads,6,0.43,3,27,3,4,3,3
,,,,,,,,,,,,,,,9,,9,1,1,,8,,6922617314184,06_LioneM_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.177778,0.177778,1.6,,0.2,,34.042553,34.782609,0,2025-12-05,2025-12-05,1.021739,47,,,,,facebook,46,1.6,2,2,1,8,3,2
,2,,,2,,,2,,,,,,,,19,,19,,,,17,,6922617314184,06_LioneM_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,3,,1.27,"[{'action_type': 'outbound_click', 'value': '1.27'}]",1.27,,1.27,,0.133684,0.133684,,,0.149412,0.846667,22.678571,23.518519,2.678571,2025-12-05,2025-12-05,1.037037,112,1.785714,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '1.785714'}]",instagram,108,2.54,1,2,1,15,6,3
,,,,,,,,,,,,,,,2,,2,,,,2,,6922617314184,06_LioneM_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.08,0.08,,,0.08,,40,40,0,2025-12-05,2025-12-05,1,4,,,,,threads,4,0.16,,3,,2,,
,1,,,1,,,1,,,,,,,,22,,22,,,,21,,6922617563384,07_Morgan_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,1,,2.31,"[{'action_type': 'outbound_click', 'value': '2.31'}]",2.31,,2.31,,0.105,0.105,,,0.11,2.31,26.860465,28.875,1.162791,2025-12-05,2025-12-05,1.075,86,1.162791,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.162791'}]",facebook,80,2.31,5,4,5,16,8,7
,1,,,,,,1,,,,,,,,32,,32,1,1,,31,,6922617563384,07_Morgan_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,2,,,,,,2.99,,0.093438,0.093438,2.99,,0.096452,1.495,29.313725,29.60396,1.960784,2025-12-05,2025-12-05,1.009901,102,,,,,instagram,101,2.99,,2,,21,6,4
,,,,,,,,,,,,,,,1,,1,,,,1,,6922617563384,07_Morgan_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.18,0.18,,,0.18,,60,60,0,2025-12-05,2025-12-05,1,3,,,,,threads,3,0.18,,4,,1,1,
,,,,,,,,,,,,,,,20,,20,,,,20,,6922617753784,09_oscar_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.078,0.078,,,0.078,,28.888889,30,0,2025-12-05,2025-12-05,1.038462,54,,,,,facebook,52,1.56,1,3,1,17,6,2
,,,,,,,,,,,,,,,45,,45,,,,45,,6922617753784,09_oscar_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.076444,0.076444,,,0.076444,,29.401709,30.175439,0,2025-12-05,2025-12-05,1.026316,117,,,,,instagram,114,3.44,3,3,3,39,16,7
,,,,,,,,,,,,,,,3,,3,,,,3,,6922617753784,09_oscar_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.036667,0.036667,,,0.036667,,15.714286,15.714286,0,2025-12-05,2025-12-05,1,7,,,,,threads,7,0.11,,3,,3,,
,,,,,,,,,,,,,,,3,,3,,,,3,,6922618733184,08_Neymar_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.196667,0.196667,,,0.196667,,65.555556,65.555556,0,2025-12-05,2025-12-05,1,9,,,,,facebook,9,0.59,,3,,3,,
,,,,,,,,,,,,,,,2,,2,,,,2,,6922618733184,08_Neymar_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.355,0.355,,,0.355,,35.5,37.368421,0,2025-12-05,2025-12-05,1.052632,20,,,,,instagram,19,0.71,,1,,,,
,,,,,,,,,,,,,,,18,,18,2,2,,16,,6922620119984,10_Pedro_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.038889,0.038889,0.35,,0.04375,,16.27907,16.666667,0,2025-12-05,2025-12-05,1.02381,43,,,,,facebook,42,0.7,1,4,1,14,7,3
,,,,,,,,,,,,,,,36,,36,1,1,,35,,6922620119984,10_Pedro_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.080278,0.080278,2.89,,0.082571,,27.009346,27.788462,0,2025-12-05,2025-12-05,1.028846,107,,,,,instagram,104,2.89,2,3,2,31,10,3
,,,,,,,,,,,,,,,3,,3,,,,3,,6922620119984,10_Pedro_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.013333,0.013333,,,0.013333,,13.333333,13.333333,0,2025-12-05,2025-12-05,1,3,,,,,threads,3,0.04,1,10,1,2,1,1
,,,,,,,,,,,,,,,3,,3,,,,3,,6922620236784,11_Timmy_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.08,0.08,,,0.08,,16,16,0,2025-12-05,2025-12-05,1,15,,,,,facebook,15,0.24,,2,,3,1,
,,,,,,,,,,,,,,,1,,1,,,,1,,6922620236784,11_Timmy_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.24,0.24,,,0.24,,48,48,0,2025-12-05,2025-12-05,1,5,,,,,instagram,5,0.24,,4,,1,1,1
,,,,,,,,,,,,,,,16,,16,,,,16,,6922620509184,12_Tyson_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.084375,0.084375,,,0.084375,,29.347826,30.681818,0,2025-12-05,2025-12-05,1.045455,46,,,,,facebook,44,1.35,2,7,2,13,5,2
,,,,,,,,,,,,,,,16,,16,,,,16,,6922620509184,12_Tyson_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.149375,0.149375,,,0.149375,,30.253165,30.641026,0,2025-12-05,2025-12-05,1.012821,79,,,,,instagram,78,2.39,,2,,13,2,1
,,,,,,,,,,,,,,,4,,4,,,,4,,6922620509184,12_Tyson_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.0975,0.0975,,,0.0975,,32.5,32.5,0,2025-12-05,2025-12-05,1,12,,,,,threads,12,0.39,1,3,1,2,1,1
,26,,,11,3,3,26,,,,,,,,269,,269,2,2,,256,,6922620631584,02_Eddie_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,10,,1.547273,"[{'action_type': 'outbound_click', 'value': '1.547273'}]",1.547273,5.673333,0.654615,,0.063271,0.063271,8.51,,0.066484,1.702,22.513228,23.638889,1.322751,2025-12-05,2025-12-05,1.05,756,1.455026,11,"[{'action_type': 'outbound_click', 'value': '11'}]","[{'action_type': 'outbound_click', 'value': '1.455026'}]",facebook,720,17.02,19,3,19,204,91,49
,3,,,1,,,3,,,,,,,,96,,96,,,,95,,6922620631584,02_Eddie_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,1,,7.44,"[{'action_type': 'outbound_click', 'value': '7.44'}]",7.44,,2.48,,0.0775,0.0775,,,0.078316,7.44,27.453875,28.505747,0.369004,2025-12-05,2025-12-05,1.038314,271,0.369004,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.369004'}]",instagram,261,7.44,7,3,7,75,27,17
,,,,1,,,,,,,,,,,40,,40,,,,39,,6922620631584,02_Eddie_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,1,,1.14,"[{'action_type': 'outbound_click', 'value': '1.14'}]",1.14,,,,0.0285,0.0285,,,0.029231,1.14,18.387097,18.387097,1.612903,2025-12-05,2025-12-05,1,62,1.612903,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.612903'}]",threads,62,1.14,8,7,9,37,21,12
,,,,,,,,,,,,,,,3,,3,,,,3,,6922620662784,03_Gael_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.236667,0.236667,,,0.236667,,27.307692,27.307692,0,2025-12-05,2025-12-05,1,26,,,,,facebook,26,0.71,1,2,1,3,2,2
,1,,,,,,1,,,,,,,,5,,5,,,,5,,6922620662784,03_Gael_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,1,,,,,,0.43,,0.086,0.086,,,0.086,0.43,11.621622,12.647059,2.702703,2025-12-05,2025-12-05,1.088235,37,,,,,instagram,34,0.43,1,3,1,4,1,1
,,,,,,,,,,,,,,,3,,3,,,,3,,6922620662784,03_Gael_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.096667,0.096667,,,0.096667,,10.357143,10.357143,0,2025-12-05,2025-12-05,1,28,,,,,messenger,28,0.29,2,5,2,2,2,2
,,,,,,,,,,,,,,,31,,31,,,,31,,6922620689584,04_Javier_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.086452,0.086452,,,0.086452,,27.628866,28.817204,0,2025-12-05,2025-12-05,1.043011,97,,,,,facebook,93,2.68,3,3,3,27,10,7
,2,,,1,,,2,,,,,,,,14,,14,,,,13,,6922620689584,04_Javier_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,1,,1.54,"[{'action_type': 'outbound_click', 'value': '1.54'}]",1.54,,0.77,,0.11,0.11,,,0.118462,1.54,32.083333,32.083333,2.083333,2025-12-05,2025-12-05,1,48,2.083333,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '2.083333'}]",instagram,48,1.54,1,3,1,11,5,3
,,,,,,,,,,,,,,,24,,24,,,,24,,6922620718984,05_Jesus_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.061667,0.061667,,,0.061667,,19.473684,19.473684,0,2025-12-05,2025-12-05,1,76,,,,,facebook,76,1.48,1,3,1,19,6,2
,,,,,,,,,,,,,,,18,,18,,,,18,,6922620718984,05_Jesus_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.077778,0.077778,,,0.077778,,25.925926,25.925926,0,2025-12-05,2025-12-05,1,54,,,,,instagram,54,1.4,,2,,12,2,
,,,,,,,,,,,,,,,3,,3,,,,3,,6922620718984,05_Jesus_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.02,0.02,,,0.02,,15,15,0,2025-12-05,2025-12-05,1,4,,,,,threads,4,0.06,,4,,3,,
,,,,,,,,,,,,,,,23,,23,,,,23,,6922621057784,07_Morgan_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.082174,0.082174,,,0.082174,,25.890411,26.619718,0,2025-12-05,2025-12-05,1.028169,73,,,,,facebook,71,1.89,3,3,3,20,4,4
,,,,1,,,,,,,,,,,8,,8,,,,7,,6922621057784,07_Morgan_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,1,,1.42,"[{'action_type': 'outbound_click', 'value': '1.42'}]",1.42,,,,0.1775,0.1775,,,0.202857,1.42,48.965517,48.965517,3.448276,2025-12-05,2025-12-05,1,29,3.448276,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '3.448276'}]",instagram,29,1.42,1,2,1,7,1,1
,,,,,,,,,,,,,,,1,,1,,,,1,,6922621057784,07_Morgan_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.06,0.06,,,0.06,,20,20,0,2025-12-05,2025-12-05,1,3,,,,,threads,3,0.06,,3,,1,1,
,,,,,,,,,,,,,,,9,,9,,,,9,,6922621362584,06_LioneM_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.062222,0.062222,,,0.062222,,13.333333,13.333333,0,2025-12-05,2025-12-05,1,42,,,,,facebook,42,0.56,2,3,2,7,5,4
,,,,,,,,,,,,,,,1,,1,,,,1,,6922621362584,06_LioneM_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,0.62,0.62,,,0.62,,17.222222,19.375,0,2025-12-05,2025-12-05,1.125,36,,,,,instagram,32,0.62,,1,,1,,
,,,,,,,,,,,,,,,,,,,,,,,6922621362584,06_LioneM_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,,,,,,,10,10,0,2025-12-05,2025-12-05,1,1,,,,,threads,1,0.01,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,6922621725384,08_Neymar_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,,,,,,,,,,,,,,27.777778,27.777778,0,2025-12-05,2025-12-05,1,9,,,,,facebook,9,0.25,,1,,,,
