action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,59,,,5,,,59,,,,,,,,439,,439,2,2,,432,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,8,,9.865195,"[{'action_type': 'outbound_click', 'value': '9.865195'}]",9.865195,,0.836033,,0.11236,0.11236,24.662988,,0.114181,6.165747,39.054612,40.866591,0.633413,2025-12-05,2025-12-05,1.046396,1263,0.395883,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '0.395883'}]",instagram,1207,49.325975,27,3,27,369,156,87
,,,,,,,,,,,,,,,16,,16,,,,16,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.052506,0.052506,,,0.052506,,24.708876,25.457629,0,2025-12-05,2025-12-05,1.030303,34,,,,,threads,33,0.840102,3,6,3,15,6,4
,5,,,,,,5,,,,,,,,,,,,,,,,6916177886184,06 fbg og - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,0,0,,,,,facebook,0,0,,,,,,
,1,,,,,,1,,,,,,,,,,,,,,,,6916858590184,02 Eddie_Snoop,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,0,0,,,,,facebook,0,0,,,,,,
,23,,,,,,23,,,,,,,,,,,,,,,,6916864174784,04 Morgan_Gin,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,0,0,,,,,facebook,0,0,,,,,,
,23,,,,1,1,23,,,,,,,,,,,,,,,,6916864174784,04 Morgan_Gin,6916855007184,FB_iOS_itoshi_rap_set2_271125,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,0,0,,,,,,,,,,,2025-12-05,2025-12-05,0,0,,,,,instagram,0,0,,,,,,
,14,,,,2,2,14,,,,,,,,,,,,,,,,6920199460384,03_blackbodysuit_Big energy,6920175379584,Test_F_BigEnergy,6920175379984,FB_iOS_Install_Rap_CreativeTest_251202,0,,,,,0,0,,,,,,,,,,,2025-12-05,2025-12-05,0,0,,,,,facebook,0,0,,,,,,
,1,,,,,,1,,,,,,,,,,,,,,,,6920216907984,11_yellow dress_I like it,6920211227584,Test_F_ILikeIt,6920175379984,FB_iOS_Install_Rap_CreativeTest_251202,0,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,0,0,,,,,facebook,0,0,,,,,,
,1,,,,,,1,,,,,,,,,,,,,,,,6920216907984,11_yellow dress_I like it,6920211227584,Test_F_ILikeIt,6920175379984,FB_iOS_Install_Rap_CreativeTest_251202,0,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,0,0,,,,,instagram,0,0,,,,,,
,22,,,,,,22,,,,,,,,,,,,,,,,6920221871184,02_blackNew_Wap 1,6920220510584,Test_F_Wap1,6920175379984,FB_iOS_Install_Rap_CreativeTest_251202,0,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,0,0,,,,,facebook,0,0,,,,,,
,6,,,,,,6,,,,,,,,,,,,,,,,6920229519184,02_blackNew_Wap 2,6920228641784,Test_F_Wap2,6920175379984,FB_iOS_Install_Rap_CreativeTest_251202,0,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,0,0,,,,,facebook,0,0,,,,,,
,9,,,,,,9,,,,,,,,,,,,,,,,6920251011584,04_MorganF_Nuthin But A G Thang,6920236297184,Test_F_GThang,6920175379984,FB_iOS_Install_Rap_CreativeTest_251202,0,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,0,0,,,,,facebook,0,0,,,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920992821584,04 will_rapGod - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.04,0.04,,,0.04,,40,40,0,2025-12-05,2025-12-05,1,1,,,,,facebook,1,0.04,,12,,1,1,1
,,,,,,,,,,,,,,,1,,1,,,,1,,6920992821584,04 will_rapGod - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-05,2025-12-05,1,1,,,,,instagram,1,0.01,,20,,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,6920992821784,03 Snoop_rapGod - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,20,20,0,2025-12-05,2025-12-05,1,1,,,,,facebook,1,0.02,,3,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920992821784,03 Snoop_rapGod - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.02,0.02,,,0.02,,6.666667,6.666667,0,2025-12-05,2025-12-05,1,3,,,,,instagram,3,0.02,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,6920992821784,03 Snoop_rapGod - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,10,10,0,2025-12-05,2025-12-05,1,1,,,,,threads,1,0.01,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,6920992821984,02 snoop_loseYourself - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,12,12,0,2025-12-05,2025-12-05,1,5,,,,,facebook,5,0.06,,1,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920992821984,02 snoop_loseYourself - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.02,0.02,,,0.02,,10,10,0,2025-12-05,2025-12-05,1,2,,,,,instagram,2,0.02,,2,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920992822184,03 will_loseYourself - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.07,0.07,,,0.07,,35,35,0,2025-12-05,2025-12-05,1,2,,,,,facebook,2,0.07,,3,,1,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920992822184,03 will_loseYourself - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.02,0.02,,,0.02,,20,20,0,2025-12-05,2025-12-05,1,1,,,,,threads,1,0.02,,7,,1,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0,0,,,0,,0,0,0,2025-12-05,2025-12-05,1,1,,,,,audience_network,1,0,,4,,1,,
5,627,11,,277,56,56,627,5,5,,3,3,1,5,3889,5,3889,41,33,5,3571,5,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,265,"[{'action_type': 'subscribe_mobile_app', 'value': '43.713757'}, {'action_type': 'subscribe_total', 'value': '43.713757'}]",0.631246,"[{'action_type': 'outbound_click', 'value': '0.631246'}]",0.631246,3.122411,0.278876,34.971006,0.044961,0.044961,4.264757,34.971006,0.048965,0.65983,19.101489,21.386378,2.894909,2025-12-05,2025-12-05,1.119618,9154,3.026,277,"[{'action_type': 'outbound_click', 'value': '277'}]","[{'action_type': 'outbound_click', 'value': '3.026'}]",facebook,8176,174.855028,501,5,462,3243,1896,1224
2,463,,2,112,46,46,463,2,2,1,4,4,1,2,3386,10,3386,76,60,2,3198,2,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,162,"[{'action_type': 'subscribe_mobile_app', 'value': '85.162578'}, {'action_type': 'subscribe_total', 'value': '85.162578'}]",1.52076,"[{'action_type': 'outbound_click', 'value': '1.52076'}]",1.52076,3.702721,0.367873,85.162578,0.050303,0.050303,2.24112,85.162578,0.05326,1.05139,21.421853,22.282203,2.03748,2025-12-05,2025-12-05,1.040162,7951,1.408628,112,"[{'action_type': 'outbound_click', 'value': '112'}]","[{'action_type': 'outbound_click', 'value': '1.408628'}]",instagram,7644,170.325156,273,4,273,2833,1404,807
,,,,5,,,,,,,,,,,200,,200,1,1,,194,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,5,,1.293963,"[{'action_type': 'outbound_click', 'value': '1.293963'}]",1.293963,,,,0.032349,0.032349,6.469816,,0.03335,1.293963,18.021772,18.021772,1.392758,2025-12-05,2025-12-05,1,359,1.392758,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '1.392758'}]",threads,359,6.469816,27,6,32,169,86,50
,,,,,,,,,,,,,,,3,,3,,,,3,,6920992822784,03 Mike_gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.03,0.03,,,0.03,,11.25,11.25,0,2025-12-05,2025-12-05,1,8,,,,,facebook,8,0.09,1,6,1,3,2,2
,,,,,,,,,,,,,,,2,,2,,,,2,,6920992822784,03 Mike_gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.06,0.06,,,0.06,,15,15,0,2025-12-05,2025-12-05,1,8,,,,,instagram,8,0.12,,3,,2,1,1
,,,,,,,,,,,,,,,,,,,,,,,6920992822984,02 Mike_sicko - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,8,8,0,2025-12-05,2025-12-05,1,5,,,,,facebook,5,0.04,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,6920992822984,02 Mike_sicko - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,10,10,0,2025-12-05,2025-12-05,1,1,,,,,threads,1,0.01,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,6920992823184,03 Snoop_sicko - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,5,5,0,2025-12-05,2025-12-05,1,2,,,,,facebook,2,0.01,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,6920992823184,03 Snoop_sicko - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,20,20,0,2025-12-05,2025-12-05,1,1,,,,,instagram,1,0.02,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,6920992823184,03 Snoop_sicko - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,0,0,0,2025-12-05,2025-12-05,1,2,,,,,messenger,2,0,,,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920992823184,03 Snoop_sicko - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.03,0.03,,,0.03,,15,15,0,2025-12-05,2025-12-05,1,2,,,,,threads,2,0.03,,4,,1,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920992823384,02 Timothy_slim - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.01,0.01,,,0.01,,5,5,0,2025-12-05,2025-12-05,1,2,,,,,instagram,2,0.01,,2,,1,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920992823384,02 Timothy_slim - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.01,0.01,,,0.01,,5,5,0,2025-12-05,2025-12-05,1,2,,,,,threads,2,0.01,,4,,1,1,
,,,,1,,,,,,,,,,,72,,72,,,,71,,6920992823584,02 Eddie_Snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,1,,3.11,"[{'action_type': 'outbound_click', 'value': '3.11'}]",3.11,,,,0.043194,0.043194,,,0.043803,3.11,19.4375,19.935897,0.625,2025-12-05,2025-12-05,1.025641,160,0.625,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.625'}]",facebook,156,3.11,4,4,3,60,26,15
,7,,,8,2,2,7,,,,,,,,274,1,274,4,3,,262,,6920992823584,02 Eddie_Snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,14,,1.79375,"[{'action_type': 'outbound_click', 'value': '1.79375'}]",1.79375,7.175,2.05,,0.052372,0.052372,3.5875,,0.054771,1.025,20.857558,22.043011,2.034884,2025-12-05,2025-12-05,1.056836,688,1.162791,8,"[{'action_type': 'outbound_click', 'value': '8'}]","[{'action_type': 'outbound_click', 'value': '1.162791'}]",instagram,651,14.35,22,4,22,223,98,57
,,,,,,,,,,,,,,,32,,32,,,,32,,6920992823584,02 Eddie_Snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.031563,0.031563,,,0.031563,,17.719298,17.719298,0,2025-12-05,2025-12-05,1,57,,,,,threads,57,1.01,5,6,5,30,18,8
